"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,24900,24900,24900,24900,13553
"4",1990-01-04,25400,25400,25400,25400,13825
"5",1990-01-05,25200,25200,25200,25200,13716
"6",1990-01-06,25100,25100,25100,25100,13662
"7",1990-01-08,24500,24500,24500,24500,13335
"8",1990-01-09,24400,24400,24400,24400,13281
"9",1990-01-10,23400,24400,23400,24400,13281
"10",1990-01-11,24400,24400,24400,24400,13281
"11",1990-01-12,23800,24600,23800,24600,13390
"12",1990-01-13,24600,24700,24500,24700,13444
"13",1990-01-15,24700,24700,24700,24700,13444
"14",1990-01-16,24300,24300,24300,24300,13227
"15",1990-01-17,24000,24000,24000,24000,13063
"16",1990-01-18,23700,23700,23700,23700,12900
"17",1990-01-19,23700,23700,23700,23700,12900
"18",1990-01-20,23700,24500,23700,24500,13335
"19",1990-01-22,24500,24700,24500,24700,13444
"20",1990-01-23,24500,24700,24500,24700,13444
"21",1990-01-24,25000,25000,25000,25000,13608
"22",1990-01-25,25500,25700,25300,25300,13771
"23",1990-01-29,25300,25300,25300,25300,13771
"24",1990-01-30,25300,25700,25300,25700,13989
"25",1990-01-31,25000,25700,25000,25700,13989
"26",1990-02-01,25200,25200,25200,25200,13716
"27",1990-02-02,25000,25000,25000,25000,13608
"28",1990-02-03,24100,25000,24100,25000,13608
"29",1990-02-05,25000,25000,25000,25000,13608
"30",1990-02-06,25000,25000,25000,25000,13608
"31",1990-02-07,24800,24800,24800,24800,13499
"32",1990-02-08,24800,24800,24800,24800,13499
"33",1990-02-09,24800,24800,24800,24800,13499
"34",1990-02-10,24000,24300,24000,24300,13227
"35",1990-02-12,24100,24100,24000,24000,13063
"36",1990-02-13,24000,24100,24000,24100,13118
"37",1990-02-14,25000,25000,25000,25000,13608
"38",1990-02-15,25000,25000,25000,25000,13608
"39",1990-02-16,24600,24600,24600,24600,13390
"40",1990-02-17,24400,24400,24400,24400,13281
"41",1990-02-19,24400,24400,24400,24400,13281
"42",1990-02-20,24400,24400,24400,24400,13281
"43",1990-02-21,24400,24400,24400,24400,13281
"44",1990-02-22,24200,24300,24200,24200,13172
"45",1990-02-23,24000,24300,24000,24300,13227
"46",1990-02-24,24000,24000,24000,24000,13063
"47",1990-02-26,23500,24900,23500,24900,13553
"48",1990-02-27,24500,24600,24500,24600,13390
"49",1990-02-28,24600,24600,24600,24600,13390
"50",1990-03-02,24600,24600,24600,24600,13390
"51",1990-03-03,24100,24100,24100,24100,13118
"52",1990-03-05,24200,24200,24200,24200,13172
"53",1990-03-06,24200,24200,24200,24200,13172
"54",1990-03-07,24000,24000,23200,23900,13009
"55",1990-03-08,24400,24400,24000,24000,13063
"56",1990-03-09,24000,24000,24000,24000,13063
"57",1990-03-12,24000,24000,24000,24000,13063
"58",1990-03-13,23600,23600,23600,23600,12846
"59",1990-03-14,23600,23700,23600,23600,12846
"60",1990-03-15,23600,24000,23600,24000,13063
"61",1990-03-16,23900,23900,23900,23900,13009
"62",1990-03-17,23900,23900,23900,23900,13009
"63",1990-03-19,23900,24600,23900,24600,13390
"64",1990-03-20,24200,24700,24200,24700,13444
"65",1990-03-21,24300,24300,24300,24300,13227
"66",1990-03-22,24200,24500,24200,24500,13335
"67",1990-03-23,24300,24300,23900,23900,13009
"68",1990-03-24,23900,23900,23900,23900,13009
"69",1990-03-26,24100,24100,24100,24100,13118
"70",1990-03-27,24100,24100,24100,24100,13118
"71",1990-03-28,24000,24000,24000,24000,13063
"72",1990-03-29,24000,24000,24000,24000,13063
"73",1990-03-30,24500,24500,24500,24500,13335
"74",1990-03-31,24200,24200,24200,24200,13172
"75",1990-04-02,24200,24200,24200,24200,13172
"76",1990-04-03,24200,24200,24200,24200,13172
"77",1990-04-04,24900,25000,24800,25000,13608
"78",1990-04-06,25300,25300,25300,25300,13771
"79",1990-04-07,25000,25000,25000,25000,13608
"80",1990-04-09,24700,24700,24700,24700,13444
"81",1990-04-10,24400,24400,24400,24400,13281
"82",1990-04-11,24000,24000,24000,24000,13063
"83",1990-04-12,24000,24000,24000,24000,13063
"84",1990-04-13,23800,23800,23800,23800,12954
"85",1990-04-14,23800,23800,23800,23800,12954
"86",1990-04-16,23800,23800,23800,23800,12954
"87",1990-04-17,23800,23800,23800,23800,12954
"88",1990-04-18,23000,23000,23000,23000,12519
"89",1990-04-19,23000,23000,23000,23000,12519
"90",1990-04-20,22500,22700,22500,22700,12356
"91",1990-04-21,22700,22700,22700,22700,12356
"92",1990-04-23,22000,22000,22000,22000,11975
"93",1990-04-24,21300,21300,21300,21300,11594
"94",1990-04-25,21300,21300,21300,21300,11594
"95",1990-04-26,21300,21300,21300,21300,11594
"96",1990-04-27,21300,21300,21300,21300,11594
"97",1990-04-28,20300,20300,20300,20300,11049
"98",1990-04-30,19400,19400,19400,19400,10560
"99",1990-05-01,20200,20200,20200,20200,10995
"100",1990-05-03,21200,21200,21200,21200,11539
"101",1990-05-04,22000,22000,22000,22000,11975
"102",1990-05-07,22000,22000,22000,22000,11975
"103",1990-05-08,22000,22700,22000,22700,12356
"104",1990-05-09,23500,23500,23500,23500,12791
"105",1990-05-10,22500,22500,22500,22500,12247
"106",1990-05-11,22400,22700,22400,22700,12356
"107",1990-05-12,22700,22700,22700,22700,12356
"108",1990-05-14,22500,22500,22500,22500,12247
"109",1990-05-15,22500,22500,22500,22500,12247
"110",1990-05-16,23300,23500,23300,23500,12791
"111",1990-05-17,23700,23700,23700,23700,12900
"112",1990-05-18,23500,23500,23500,23500,12791
"113",1990-05-19,24100,24100,24100,24100,13118
"114",1990-05-21,23900,23900,23900,23900,13009
"115",1990-05-22,23500,23500,23500,23500,12791
"116",1990-05-23,23000,23000,23000,23000,12519
"117",1990-05-24,23000,23000,23000,23000,12519
"118",1990-05-25,24000,24000,24000,24000,13063
"119",1990-05-26,24000,24000,24000,24000,13063
"120",1990-05-28,23500,23500,23500,23500,12791
"121",1990-05-29,23500,23500,23500,23500,12791
"122",1990-05-30,23500,23500,23500,23500,12791
"123",1990-05-31,23500,23500,23500,23500,12791
"124",1990-06-01,23500,23500,23500,23500,12791
"125",1990-06-02,23500,23500,23500,23500,12791
"126",1990-06-04,23500,23500,23500,23500,12791
"127",1990-06-05,23500,23500,23500,23500,12791
"128",1990-06-07,23500,23500,23500,23500,12791
"129",1990-06-08,23300,23500,23300,23500,12791
"130",1990-06-09,23000,23000,23000,23000,12519
"131",1990-06-11,23000,23000,23000,23000,12519
"132",1990-06-12,23500,23500,23500,23500,12791
"133",1990-06-13,23500,23500,23500,23500,12791
"134",1990-06-14,23000,23000,23000,23000,12519
"135",1990-06-15,23000,23000,23000,23000,12519
"136",1990-06-16,23000,23000,23000,23000,12519
"137",1990-06-18,22000,22000,22000,22000,11975
"138",1990-06-19,22000,22000,22000,22000,11975
"139",1990-06-20,22000,22000,22000,22000,11975
"140",1990-06-21,21000,21000,21000,21000,11430
"141",1990-06-22,22000,22000,22000,22000,11975
"142",1990-06-23,22500,22500,22500,22500,12247
"143",1990-06-25,22300,22300,22300,22300,12138
"144",1990-06-26,22300,22300,22300,22300,12138
"145",1990-06-27,22800,22800,22800,22800,12410
"146",1990-06-28,22800,22800,22800,22800,12410
"147",1990-06-29,22800,22800,22800,22800,12410
"148",1990-06-30,22800,22800,22800,22800,12410
"149",1990-07-02,22800,22800,22800,22800,12410
"150",1990-07-03,23000,23800,23000,23400,12737
"151",1990-07-04,23200,23200,23200,23200,12628
"152",1990-07-05,23200,23200,23200,23200,12628
"153",1990-07-06,23000,23000,23000,23000,12519
"154",1990-07-07,22800,22800,22800,22800,12410
"155",1990-07-09,22800,22800,22800,22800,12410
"156",1990-07-10,22800,22800,22800,22800,12410
"157",1990-07-11,22700,22800,22600,22800,12410
"158",1990-07-12,22800,22800,22800,22800,12410
"159",1990-07-13,22800,22800,22800,22800,12410
"160",1990-07-14,22800,22800,22800,22800,12410
"161",1990-07-16,22800,22800,22800,22800,12410
"162",1990-07-18,22800,22800,22800,22800,12410
"163",1990-07-19,21800,21800,21800,21800,11866
"164",1990-07-20,21800,21800,21800,21800,11866
"165",1990-07-21,21800,21800,21800,21800,11866
"166",1990-07-23,22800,22800,22800,22800,12410
"167",1990-07-24,23800,23800,21800,21800,11866
"168",1990-07-25,21800,21800,21800,21800,11866
"169",1990-07-26,21500,21500,21500,21500,11703
"170",1990-07-27,20500,20500,20500,20500,11158
"171",1990-07-28,21500,21500,21500,21500,11703
"172",1990-07-30,22500,22500,22500,22500,12247
"173",1990-07-31,22500,22500,22500,22500,12247
"174",1990-08-01,22500,22500,22500,22500,12247
"175",1990-08-02,22500,22500,22500,22500,12247
"176",1990-08-03,22500,22500,22500,22500,12247
"177",1990-08-04,22500,22500,22500,22500,12247
"178",1990-08-06,21500,21500,21500,21500,11703
"179",1990-08-07,20500,20500,20500,20500,11158
"180",1990-08-08,20000,20000,20000,20000,10886
"181",1990-08-09,20000,20000,20000,20000,10886
"182",1990-08-10,21000,21000,21000,21000,11430
"183",1990-08-11,21000,21000,21000,21000,11430
"184",1990-08-13,21000,21000,21000,21000,11430
"185",1990-08-14,21000,21000,21000,21000,11430
"186",1990-08-16,20000,20000,20000,20000,10886
"187",1990-08-17,20000,20000,20000,20000,10886
"188",1990-08-18,20000,20000,20000,20000,10886
"189",1990-08-20,20000,20000,20000,20000,10886
"190",1990-08-21,20000,20000,20000,20000,10886
"191",1990-08-22,19200,19200,19200,19200,10451
"192",1990-08-23,19200,19200,19200,19200,10451
"193",1990-08-24,19200,19200,19200,19200,10451
"194",1990-08-25,19200,19200,19200,19200,10451
"195",1990-08-27,19500,20000,19500,20000,10886
"196",1990-08-28,20500,21000,20500,21000,11430
"197",1990-08-29,21000,21000,21000,21000,11430
"198",1990-08-30,20500,20500,20500,20500,11158
"199",1990-08-31,20500,20500,20500,20500,11158
"200",1990-09-01,20300,20300,20300,20300,11049
"201",1990-09-03,20200,20500,20100,20500,11158
"202",1990-09-04,20300,20500,20200,20500,11158
"203",1990-09-05,20300,20300,20300,20300,11049
"204",1990-09-06,20300,20300,20300,20300,11049
"205",1990-09-07,20300,20300,20300,20300,11049
"206",1990-09-08,20300,20300,20300,20300,11049
"207",1990-09-10,20300,20300,20300,20300,11049
"208",1990-09-11,20300,20300,20300,20300,11049
"209",1990-09-12,20200,20200,20200,20200,10995
"210",1990-09-13,20200,20200,20200,20200,10995
"211",1990-09-14,20200,20200,20200,20200,10995
"212",1990-09-15,20200,20200,20200,20200,10995
"213",1990-09-17,20000,20000,20000,20000,10886
"214",1990-09-18,20000,20000,20000,20000,10886
"215",1990-09-19,20000,20000,20000,20000,10886
"216",1990-09-20,19600,19600,19600,19600,10668
"217",1990-09-21,19100,19100,19100,19100,10396
"218",1990-09-22,18500,19100,18500,19100,10396
"219",1990-09-24,19100,19100,19100,19100,10396
"220",1990-09-25,19100,19100,19100,19100,10396
"221",1990-09-26,19100,19100,19100,19100,10396
"222",1990-09-27,19100,19100,19100,19100,10396
"223",1990-09-28,19100,19100,19100,19100,10396
"224",1990-09-29,19100,19100,19100,19100,10396
"225",1990-10-05,19100,19100,19100,19100,10396
"226",1990-10-06,19000,19000,19000,19000,10342
"227",1990-10-08,19000,19000,19000,19000,10342
"228",1990-10-10,19100,19100,19100,19100,10396
"229",1990-10-11,19100,19500,19100,19500,10614
"230",1990-10-12,19500,19500,19500,19500,10614
"231",1990-10-13,19500,19500,19500,19500,10614
"232",1990-10-15,19500,19900,19500,19800,10777
"233",1990-10-16,19800,19800,19800,19800,10777
"234",1990-10-17,19700,19700,19700,19700,10723
"235",1990-10-18,19600,19600,19600,19600,10668
"236",1990-10-19,19600,20200,19000,19700,10723
"237",1990-10-20,19800,19800,19700,19700,10723
"238",1990-10-22,19600,19700,19400,19400,10560
"239",1990-10-23,19900,20200,19900,20200,10995
"240",1990-10-24,21200,21200,21000,21200,11539
"241",1990-10-25,21200,21200,20200,20200,10995
"242",1990-10-26,19200,19200,19200,19200,10451
"243",1990-10-27,18400,19200,18400,19200,10451
"244",1990-10-29,20000,20000,18500,18500,10070
"245",1990-10-30,19100,19100,18400,18700,10178
"246",1990-10-31,18400,18400,18000,18000,9797
"247",1990-11-01,17400,18400,17400,18400,10015
"248",1990-11-02,18700,18700,18000,18000,9797
"249",1990-11-03,18000,18000,18000,18000,9797
"250",1990-11-05,18300,18300,18000,18100,9852
"251",1990-11-06,18300,18300,18000,18000,9797
