"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,28500,29000,28500,28900,3916
"4",1990-01-04,28700,29900,28700,29900,4051
"5",1990-01-05,30000,30200,30000,30000,4065
"6",1990-01-06,29400,29400,29400,29400,3984
"7",1990-01-08,29500,29600,29500,29600,4011
"8",1990-01-09,29800,29800,29600,29600,4011
"9",1990-01-10,29800,29800,29500,29500,3997
"10",1990-01-11,29500,29500,29000,29300,3970
"11",1990-01-12,29400,29400,29000,29000,3929
"12",1990-01-13,29000,29000,29000,29000,3929
"13",1990-01-15,28700,28700,28500,28500,3862
"14",1990-01-16,29000,29000,28400,28400,3848
"15",1990-01-17,28300,28400,28100,28400,3848
"16",1990-01-18,28600,28600,28400,28500,3862
"17",1990-01-19,28200,28200,28200,28200,3821
"18",1990-01-20,28200,29000,28200,29000,3929
"19",1990-01-22,29000,29000,28700,29000,3929
"20",1990-01-23,29000,29300,29000,29300,3970
"21",1990-01-24,29300,29700,29000,29700,4024
"22",1990-01-25,29800,30000,29800,29900,4051
"23",1990-01-29,29900,29900,29500,29900,4051
"24",1990-01-30,29900,29900,29900,29900,4051
"25",1990-01-31,29600,29900,29600,29900,4051
"26",1990-02-01,29900,29900,29600,29600,4011
"27",1990-02-02,29200,29200,29200,29200,3956
"28",1990-02-03,29200,29400,29200,29400,3984
"29",1990-02-05,29400,29700,29200,29200,3956
"30",1990-02-06,29400,29800,29300,29300,3970
"31",1990-02-07,28300,29200,28300,29200,3956
"32",1990-02-08,29300,29300,29200,29200,3956
"33",1990-02-09,29300,29300,29300,29300,3970
"34",1990-02-10,29300,29300,29300,29300,3970
"35",1990-02-12,29200,29200,29200,29200,3956
"36",1990-02-13,29200,29200,29200,29200,3956
"37",1990-02-14,29000,29100,29000,29000,3929
"38",1990-02-15,29000,29100,29000,29100,3943
"39",1990-02-16,29500,29500,29000,29200,3956
"40",1990-02-17,29300,29300,29300,29300,3970
"41",1990-02-19,29300,29300,29300,29300,3970
"42",1990-02-20,29300,30200,29300,30100,4078
"43",1990-02-21,30600,31400,30600,31200,4227
"44",1990-02-22,30900,31100,29900,29900,4051
"45",1990-02-23,30100,30100,29200,29600,4011
"46",1990-02-24,29600,29900,29600,29600,4011
"47",1990-02-26,29500,29500,28900,28900,3916
"48",1990-02-27,28700,28900,28700,28900,3916
"49",1990-02-28,29000,29100,28900,29000,3929
"50",1990-03-02,29000,29000,28700,28900,3916
"51",1990-03-03,29000,29100,28700,28700,3889
"52",1990-03-05,28500,28800,28500,28500,3862
"53",1990-03-06,28500,29000,28500,28500,3862
"54",1990-03-07,28500,29000,28500,28800,3902
"55",1990-03-08,28600,29000,28600,28600,3875
"56",1990-03-09,28600,28600,28500,28500,3862
"57",1990-03-12,29000,29000,28300,28400,3848
"58",1990-03-13,28100,28300,28100,28300,3834
"59",1990-03-14,28300,28300,28300,28300,3834
"60",1990-03-15,28100,28300,28100,28300,3834
"61",1990-03-16,28300,28300,28300,28300,3834
"62",1990-03-17,28300,28600,28200,28600,3875
"63",1990-03-19,28600,28600,28300,28600,3875
"64",1990-03-20,28800,29000,28800,28900,3916
"65",1990-03-21,28900,28900,28300,28500,3862
"66",1990-03-22,28900,29000,28300,28600,3875
"67",1990-03-23,28200,28500,28200,28300,3834
"68",1990-03-24,28300,28400,28300,28300,3834
"69",1990-03-26,28300,28600,28300,28600,3875
"70",1990-03-27,28600,28600,28300,28300,3834
"71",1990-03-28,28300,28600,28300,28600,3875
"72",1990-03-29,28900,28900,28900,28900,3916
"73",1990-03-30,28800,28900,28800,28900,3916
"74",1990-03-31,28900,28900,28300,28900,3916
"75",1990-04-02,28500,28900,28300,28900,3916
"76",1990-04-03,28500,28700,28500,28700,3889
"77",1990-04-04,29200,29700,29100,29400,3984
"78",1990-04-06,29600,29700,29400,29500,3997
"79",1990-04-07,29400,29400,29400,29400,3984
"80",1990-04-09,29000,29000,29000,29000,3929
"81",1990-04-10,28800,28800,28800,28800,3902
"82",1990-04-11,28800,28800,28700,28800,3902
"83",1990-04-12,28800,28800,28600,28600,3875
"84",1990-04-13,28800,29000,28700,29000,3929
