"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,26500,27400,26500,27400,605517
"4",1990-01-04,27400,28400,27400,28400,627616
"5",1990-01-05,27900,28800,27900,28000,618776
"6",1990-01-06,28700,29000,28000,28500,629826
"7",1990-01-08,28000,28700,27900,28500,629826
"8",1990-01-09,28000,28400,27600,28400,627616
"9",1990-01-10,28400,28400,27400,28000,618776
"10",1990-01-11,28000,28000,27300,27400,605517
"11",1990-01-12,27500,27600,27000,27300,603307
"12",1990-01-13,27000,27000,26700,26700,590047
"13",1990-01-15,26400,26600,26000,26200,578998
"14",1990-01-16,26000,26000,25800,26000,574578
"15",1990-01-17,26000,26200,25500,26000,574578
"16",1990-01-18,26000,26900,26000,26100,576788
"17",1990-01-19,25200,25800,25200,25500,563528
"18",1990-01-20,25500,26000,25500,25900,572368
"19",1990-01-22,26200,26900,26000,26900,594467
"20",1990-01-23,26700,27200,26700,26700,590047
"21",1990-01-24,26700,27200,26700,27200,601097
"22",1990-01-25,27200,27400,27100,27400,605517
"23",1990-01-29,26800,27200,26800,27000,596677
"24",1990-01-30,27200,27200,26600,26800,592257
"25",1990-01-31,26600,26900,26500,26900,594467
"26",1990-02-01,26500,26900,26000,26700,590047
"27",1990-02-02,25900,26500,25900,26400,583417
"28",1990-02-03,26200,26200,26000,26100,576788
"29",1990-02-05,26300,26300,26100,26100,576788
"30",1990-02-06,26200,26500,26100,26500,585627
"31",1990-02-07,26500,26800,26500,26500,585627
"32",1990-02-08,26300,26600,26000,26500,585627
"33",1990-02-09,26600,26600,26300,26300,581207
"34",1990-02-10,26000,26300,26000,26000,574578
"35",1990-02-12,26000,26700,26000,26300,581207
"36",1990-02-13,26300,26400,26100,26100,576788
"37",1990-02-14,26000,26700,26000,26300,581207
"38",1990-02-15,26000,26600,26000,26600,587837
"39",1990-02-16,26500,26700,26400,26700,590047
"40",1990-02-17,26700,26700,26600,26600,587837
"41",1990-02-19,26000,26100,26000,26100,576788
"42",1990-02-20,26200,26200,26100,26100,576788
"43",1990-02-21,26100,26100,25900,25900,572368
"44",1990-02-22,25900,25900,25500,25900,572368
"45",1990-02-23,25700,25900,25700,25700,567948
"46",1990-02-24,25600,25600,25300,25500,563528
