"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,13100,13700,13100,13600,216771
"4",1990-01-04,13800,14200,13800,14200,226334
"5",1990-01-05,14600,14600,14300,14400,229522
"6",1990-01-06,14500,15000,14400,14800,235898
"7",1990-01-08,15200,15400,15100,15400,245461
"8",1990-01-09,16000,16200,15700,16200,258212
"9",1990-01-10,16500,16700,15900,16300,259806
"10",1990-01-11,16100,16500,15700,15700,250243
"11",1990-01-12,15500,15900,15500,15800,251837
"12",1990-01-13,15800,15800,15500,15500,247055
"13",1990-01-15,15300,15600,15100,15100,240679
"14",1990-01-16,15100,15500,15000,15300,243867
"15",1990-01-17,15400,15500,15100,15200,242273
"16",1990-01-18,15300,15300,15000,15000,239085
"17",1990-01-19,15000,15100,14700,14700,234304
"18",1990-01-20,14500,15000,14500,14900,237491
"19",1990-01-22,15100,15500,15000,15500,247055
"20",1990-01-23,15600,15700,15100,15100,240679
"21",1990-01-24,15300,15500,15300,15400,245461
"22",1990-01-25,15600,15700,15500,15600,248649
"23",1990-01-29,15600,15800,15400,15800,251837
"24",1990-01-30,15300,15800,15300,15800,251837
"25",1990-01-31,15800,16300,15600,16300,259806
"26",1990-02-01,16000,16300,15900,15900,253430
"27",1990-02-02,15600,16200,15600,15900,253430
"28",1990-02-03,16100,16100,15700,15800,251837
"29",1990-02-05,15800,15900,15600,15700,250243
"30",1990-02-06,15700,15900,15600,15900,253430
"31",1990-02-07,16000,16000,15700,15700,250243
"32",1990-02-08,15700,15900,15500,15800,251837
"33",1990-02-09,15900,15900,15700,15900,253430
"34",1990-02-10,16000,16000,15800,15800,251837
"35",1990-02-12,15900,16000,15800,15900,253430
"36",1990-02-13,15700,15800,15600,15700,250243
"37",1990-02-14,15700,16200,15600,16200,258212
"38",1990-02-15,16300,16300,16000,16000,255024
"39",1990-02-16,15900,16000,15700,15800,251837
"40",1990-02-17,15800,15800,15700,15700,250243
"41",1990-02-19,15700,16000,15700,15900,253430
"42",1990-02-20,15800,16000,15700,15800,251837
"43",1990-02-21,15700,15900,15700,15800,251837
"44",1990-02-22,15800,15800,15600,15800,251837
"45",1990-02-23,15800,15900,15600,15600,248649
