"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,29700,29700,29700,29700,10780
"4",1990-01-04,28700,28700,28700,28700,10417
"5",1990-01-05,29000,29000,29000,29000,10526
"6",1990-01-06,28000,28000,28000,28000,10163
"7",1990-01-08,28000,28000,28000,28000,10163
"8",1990-01-09,28000,29000,28000,29000,10526
"9",1990-01-10,29500,29500,29500,29500,10707
"10",1990-01-11,29000,29000,29000,29000,10526
"11",1990-01-12,29500,29500,29500,29500,10707
"12",1990-01-13,29500,29500,29500,29500,10707
"13",1990-01-15,29500,29500,29500,29500,10707
"14",1990-01-16,29500,29500,29500,29500,10707
"15",1990-01-17,29500,29500,29500,29500,10707
"16",1990-01-18,29500,29500,29500,29500,10707
"17",1990-01-19,29500,29500,29500,29500,10707
"18",1990-01-20,28500,28500,28500,28500,10344
"19",1990-01-22,29000,29000,29000,29000,10526
"20",1990-01-23,30000,30000,30000,30000,10889
"21",1990-01-24,30500,30500,30500,30500,11070
"22",1990-01-25,30700,31000,30600,31000,11252
"23",1990-01-29,31000,31500,31000,31500,11433
"24",1990-01-30,32000,32500,31500,32500,11796
"25",1990-01-31,32400,32400,32400,32400,11760
"26",1990-02-01,32200,32200,32200,32200,11687
"27",1990-02-02,32000,32000,31500,32000,11615
"28",1990-02-03,31800,31800,31800,31800,11542
"29",1990-02-05,32000,32000,32000,32000,11615
"30",1990-02-06,32000,32000,32000,32000,11615
"31",1990-02-07,31000,32500,31000,32500,11796
"32",1990-02-08,32500,32900,32500,32900,11941
"33",1990-02-09,32900,32900,32900,32900,11941
"34",1990-02-10,32900,32900,32900,32900,11941
"35",1990-02-12,32500,32500,32500,32500,11796
"36",1990-02-13,32500,32500,32500,32500,11796
"37",1990-02-14,33000,33000,32700,33000,11978
"38",1990-02-15,33000,33000,33000,33000,11978
"39",1990-02-16,32500,32500,31700,32500,11796
"40",1990-02-17,32500,32500,32500,32500,11796
"41",1990-02-19,33000,33000,33000,33000,11978
"42",1990-02-20,32500,32500,32500,32500,11796
"43",1990-02-21,32500,33000,32500,33000,11978
"44",1990-02-22,33000,33000,33000,33000,11978
"45",1990-02-23,32900,32900,32900,32900,11941
"46",1990-02-24,32500,32500,32500,32500,11796
"47",1990-02-26,32500,32500,32500,32500,11796
"48",1990-02-27,32500,33000,32500,33000,11978
"49",1990-02-28,33000,33000,33000,33000,11978
"50",1990-03-02,33500,33500,33000,33000,11978
"51",1990-03-03,33000,33000,33000,33000,11978
"52",1990-03-05,33000,33000,33000,33000,11978
"53",1990-03-06,33000,33000,33000,33000,11978
"54",1990-03-07,33000,33000,33000,33000,11978
"55",1990-03-08,33000,33000,33000,33000,11978
"56",1990-03-09,32900,33000,32900,33000,11978
"57",1990-03-12,33000,33000,33000,33000,11978
"58",1990-03-13,33000,33000,33000,33000,11978
"59",1990-03-14,32800,32800,32800,32800,11905
"60",1990-03-15,32800,32800,32800,32800,11905
"61",1990-03-16,32800,32800,32800,32800,11905
"62",1990-03-17,32800,32800,32800,32800,11905
"63",1990-03-19,32800,32800,32800,32800,11905
"64",1990-03-20,32000,32000,32000,32000,11615
"65",1990-03-21,32000,32000,32000,32000,11615
"66",1990-03-22,32000,32000,32000,32000,11615
"67",1990-03-23,32000,32000,32000,32000,11615
"68",1990-03-24,32000,32000,32000,32000,11615
"69",1990-03-26,32000,32000,32000,32000,11615
"70",1990-03-27,32000,32000,32000,32000,11615
"71",1990-03-28,32000,32000,32000,32000,11615
"72",1990-03-29,31800,31800,31800,31800,11542
"73",1990-03-30,31800,31800,31800,31800,11542
"74",1990-03-31,31800,31800,31800,31800,11542
"75",1990-04-02,31500,31500,31500,31500,11433
"76",1990-04-03,31000,31000,31000,31000,11252
"77",1990-04-04,32000,32000,32000,32000,11615
"78",1990-04-06,32000,32000,32000,32000,11615
"79",1990-04-07,33000,33000,33000,33000,11978
"80",1990-04-09,32800,32800,32800,32800,11905
"81",1990-04-10,32500,32500,32500,32500,11796
"82",1990-04-11,32000,32000,32000,32000,11615
"83",1990-04-12,32000,32000,32000,32000,11615
"84",1990-04-13,32000,32000,32000,32000,11615
