"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,20300,21600,20300,21600,15898
"4",1990-01-04,22000,22500,21600,22300,16413
"5",1990-01-05,22500,22500,21800,21800,16045
"6",1990-01-06,22100,22100,21800,21900,16119
"7",1990-01-08,21900,22400,21900,22400,16487
"8",1990-01-09,22700,23000,22600,22700,16708
"9",1990-01-10,22900,23600,22500,23500,17297
"10",1990-01-11,23000,23200,22700,22700,16708
"11",1990-01-12,22700,22700,22200,22700,16708
"12",1990-01-13,22500,22500,22300,22400,16487
"13",1990-01-15,22000,22000,21600,21600,15898
"14",1990-01-16,21500,21600,21300,21500,15825
"15",1990-01-17,21600,21600,21300,21500,15825
"16",1990-01-18,21500,21500,21300,21500,15825
"17",1990-01-19,21300,21500,21300,21300,15677
"18",1990-01-20,21500,21500,21400,21400,15751
"19",1990-01-22,22400,22400,21500,21800,16045
"20",1990-01-23,21900,22000,21500,22000,16193
"21",1990-01-24,22300,22500,22300,22500,16561
"22",1990-01-25,22600,22700,22000,22500,16561
"23",1990-01-29,22300,22600,22300,22500,16561
"24",1990-01-30,22700,22800,22200,22400,16487
"25",1990-01-31,22300,23000,22000,23000,16929
"26",1990-02-01,22400,22400,22100,22200,16340
"27",1990-02-02,22000,22500,22000,22000,16193
"28",1990-02-03,21500,22000,21500,22000,16193
"29",1990-02-05,21600,22100,21600,22100,16266
"30",1990-02-06,22000,22500,22000,22500,16561
"31",1990-02-07,22600,22600,22200,22200,16340
"32",1990-02-08,22700,22700,22200,22400,16487
"33",1990-02-09,22500,23000,22400,22900,16855
"34",1990-02-10,22900,22900,22400,22500,16561
"35",1990-02-12,22600,22800,22600,22700,16708
"36",1990-02-13,22400,22800,22400,22800,16781
"37",1990-02-14,22800,23100,22800,23100,17002
"38",1990-02-15,23100,23300,23000,23000,16929
"39",1990-02-16,22800,23100,22800,23000,16929
"40",1990-02-17,23100,23100,22900,22900,16855
"41",1990-02-19,22500,22900,22500,22900,16855
"42",1990-02-20,23100,23100,22800,22900,16855
"43",1990-02-21,22800,23300,22800,23200,17076
"44",1990-02-22,23300,23700,23000,23700,17444
"45",1990-02-23,23700,24300,23500,24100,17738
"46",1990-02-24,24100,24100,23800,23900,17591
"47",1990-02-26,23100,23900,23100,23500,17297
"48",1990-02-27,23300,24000,23300,24000,17665
"49",1990-02-28,24000,24000,23500,23500,17297
"50",1990-03-02,23600,24000,23200,24000,17665
"51",1990-03-03,24000,24000,24000,24000,17665
"52",1990-03-05,23800,23800,23400,23400,17223
"53",1990-03-06,23000,23100,22700,23000,16929
"54",1990-03-07,22300,23000,22300,23000,16929
"55",1990-03-08,22800,22800,22600,22600,16634
"56",1990-03-09,22400,22900,22300,22900,16855
"57",1990-03-12,22800,22800,22800,22800,16781
"58",1990-03-13,22800,23000,22400,22700,16708
"59",1990-03-14,22500,22700,22500,22700,16708
"60",1990-03-15,22400,22400,22300,22300,16413
"61",1990-03-16,22600,22600,22300,22600,16634
"62",1990-03-17,22300,22700,22300,22500,16561
"63",1990-03-19,22500,22700,22500,22700,16708
"64",1990-03-20,22700,23100,22500,23100,17002
"65",1990-03-21,23000,23000,22500,22900,16855
"66",1990-03-22,23000,23000,22300,22700,16708
"67",1990-03-23,22400,22700,22300,22600,16634
"68",1990-03-24,22500,22500,22300,22300,16413
"69",1990-03-26,22300,22300,22200,22300,16413
"70",1990-03-27,22200,22300,22000,22300,16413
"71",1990-03-28,22000,22200,22000,22000,16193
"72",1990-03-29,22000,22300,22000,22100,16266
"73",1990-03-30,22200,23000,22200,22800,16781
"74",1990-03-31,22700,22700,22500,22500,16561
"75",1990-04-02,22500,22500,22200,22400,16487
"76",1990-04-03,22200,23000,22200,22900,16855
"77",1990-04-04,23200,23900,23000,23800,17517
"78",1990-04-06,23700,23800,23200,23600,17370
"79",1990-04-07,23200,23500,23200,23300,17149
"80",1990-04-09,23200,23300,22800,22800,16781
"81",1990-04-10,22600,23000,22600,22700,16708
"82",1990-04-11,22700,22900,22700,22800,16781
"83",1990-04-12,23000,23000,22500,22800,16781
"84",1990-04-13,22600,22800,22500,22600,16634
"85",1990-04-14,22600,22600,22400,22400,16487
"86",1990-04-16,22200,22200,22000,22000,16193
"87",1990-04-17,21800,22300,21800,22200,16340
"88",1990-04-18,22100,22200,22000,22000,16193
"89",1990-04-19,22000,22000,21800,21800,16045
"90",1990-04-20,20800,21800,20800,21100,15530
"91",1990-04-21,20800,21500,20800,21200,15604
"92",1990-04-23,21200,21200,20800,20800,15309
"93",1990-04-24,20500,21000,20500,20800,15309
"94",1990-04-25,20600,20600,20500,20500,15089
"95",1990-04-26,20400,20400,19500,19500,14352
"96",1990-04-27,19500,20300,18800,20300,14941
"97",1990-04-28,19300,19300,19300,19300,14205
