"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,26900,28300,26900,28300,12498
"4",1990-01-04,28200,29000,28000,28800,12719
"5",1990-01-05,28000,28700,28000,28400,12542
"6",1990-01-06,28200,28400,28100,28100,12410
"7",1990-01-08,28100,28400,27700,28000,12365
"8",1990-01-09,28400,28600,28100,28300,12498
"9",1990-01-10,28500,28500,27700,28000,12365
"10",1990-01-11,28000,28200,27700,27700,12233
"11",1990-01-12,27500,27700,27200,27700,12233
"12",1990-01-13,27700,27700,27200,27200,12012
"13",1990-01-15,27200,27400,26500,26500,11703
"14",1990-01-16,26500,26900,26400,26700,11791
"15",1990-01-17,26900,26900,26500,26600,11747
"16",1990-01-18,26800,26800,26300,26300,11615
"17",1990-01-19,26600,26600,26100,26200,11570
"18",1990-01-20,26100,26400,26100,26400,11659
"19",1990-01-22,26900,27400,26500,27000,11924
"20",1990-01-23,27000,27400,26800,27100,11968
"21",1990-01-24,27400,28100,27400,28100,12410
"22",1990-01-25,28400,28700,28400,28400,12542
"23",1990-01-29,28400,28400,27800,28000,12365
"24",1990-01-30,28200,28200,27500,28000,12365
"25",1990-01-31,27500,27900,27500,27900,12321
"26",1990-02-01,27900,27900,27200,27200,12012
"27",1990-02-02,27000,27400,27000,27000,11924
"28",1990-02-03,27000,27200,26800,27200,12012
"29",1990-02-05,27200,27400,27000,27400,12100
"30",1990-02-06,27000,28200,27000,28200,12454
"31",1990-02-07,28100,28200,28000,28000,12365
"32",1990-02-08,28000,28300,27700,28200,12454
"33",1990-02-09,28300,28300,28000,28000,12365
"34",1990-02-10,28000,28000,27700,27700,12233
"35",1990-02-12,27700,27900,27400,27400,12100
"36",1990-02-13,27500,27900,27300,27300,12056
"37",1990-02-14,27300,28000,27300,28000,12365
"38",1990-02-15,28000,28500,28000,28500,12586
"39",1990-02-16,28500,28900,28400,28500,12586
"40",1990-02-17,28400,28500,28000,28300,12498
"41",1990-02-19,28300,28500,28100,28100,12410
"42",1990-02-20,28100,28500,28100,28500,12586
"43",1990-02-21,28800,28900,28800,28800,12719
"44",1990-02-22,28900,28900,28400,28800,12719
"45",1990-02-23,28800,28800,28400,28500,12586
"46",1990-02-24,28300,28300,28000,28000,12365
"47",1990-02-26,28000,28000,27400,27400,12100
"48",1990-02-27,27400,28300,27400,28300,12498
"49",1990-02-28,28000,28200,28000,28000,12365
"50",1990-03-02,28000,28800,28000,28400,12542
"51",1990-03-03,28400,28400,28000,28000,12365
"52",1990-03-05,28000,28000,27500,27900,12321
"53",1990-03-06,27700,28000,27500,27800,12277
"54",1990-03-07,27800,28000,27600,27700,12233
"55",1990-03-08,27500,27900,27000,27000,11924
"56",1990-03-09,27300,27500,27000,27200,12012
"57",1990-03-12,27500,27500,27200,27300,12056
"58",1990-03-13,27100,27300,27000,27100,11968
"59",1990-03-14,27100,27200,27100,27100,11968
"60",1990-03-15,27000,27000,26600,26800,11835
"61",1990-03-16,26800,27200,26800,26900,11880
"62",1990-03-17,27000,27100,26900,26900,11880
"63",1990-03-19,27000,27200,27000,27200,12012
"64",1990-03-20,27500,27900,27400,27900,12321
"65",1990-03-21,27900,28000,27600,27800,12277
"66",1990-03-22,27900,27900,27500,27600,12189
"67",1990-03-23,27600,27800,27600,27600,12189
"68",1990-03-24,27600,27600,27400,27400,12100
"69",1990-03-26,27200,27300,27100,27200,12012
"70",1990-03-27,27100,27200,27100,27100,11968
"71",1990-03-28,27100,27100,26700,26700,11791
"72",1990-03-29,26700,27400,26700,27300,12056
"73",1990-03-30,27300,28000,27200,28000,12365
"74",1990-03-31,28300,28300,27600,27600,12189
"75",1990-04-02,27600,27600,27200,27200,12012
"76",1990-04-03,27300,27400,27200,27200,12012
"77",1990-04-04,27200,27900,27100,27100,11968
"78",1990-04-06,27200,27600,27100,27300,12056
"79",1990-04-07,27300,27400,27300,27300,12056
"80",1990-04-09,27000,27300,26900,27000,11924
"81",1990-04-10,27000,27000,26700,26700,11791
"82",1990-04-11,26700,27200,26700,27200,12012
"83",1990-04-12,27100,27300,27000,27000,11924
"84",1990-04-13,26700,26900,26700,26700,11791
"85",1990-04-14,26700,26800,26700,26700,11791
"86",1990-04-16,26200,26500,26200,26200,11570
"87",1990-04-17,26000,26500,26000,26300,11615
"88",1990-04-18,26500,26500,26100,26100,11526
"89",1990-04-19,25800,25800,25100,25200,11129
"90",1990-04-20,25000,25000,24200,24900,10996
"91",1990-04-21,24900,25200,24800,25200,11129
"92",1990-04-23,25200,25200,24600,24700,10908
"93",1990-04-24,24500,24700,24500,24500,10820
"94",1990-04-25,24300,24300,23700,23700,10466
"95",1990-04-26,22800,22800,22800,22800,10069
"96",1990-04-27,22700,23400,22100,23300,10290
"97",1990-04-28,22800,22800,22800,22800,10069
"98",1990-04-30,22300,22300,21800,21800,9627
"99",1990-05-01,22000,22800,21900,22800,10069
"100",1990-05-03,23800,23800,23800,23800,10511
"101",1990-05-04,24700,24800,24500,24800,10952
"102",1990-05-07,24800,25300,24700,24800,10952
"103",1990-05-08,24700,24800,24100,24100,10643
"104",1990-05-09,24500,24500,24000,24200,10687
"105",1990-05-10,24000,24000,24000,24000,10599
"106",1990-05-11,23800,23800,23000,23000,10157
"107",1990-05-12,22900,23000,22300,22500,9936
"108",1990-05-14,22200,22200,21700,21800,9627
"109",1990-05-15,21200,21400,20800,21400,9451
"110",1990-05-16,21800,22400,21600,22400,9892
"111",1990-05-17,22500,23200,22400,22500,9936
"112",1990-05-18,21600,22300,21600,22200,9804
"113",1990-05-19,22200,22800,22100,22500,9936
"114",1990-05-21,22600,23000,22500,23000,10157
"115",1990-05-22,23000,24000,23000,24000,10599
"116",1990-05-23,24000,24400,24000,24100,10643
"117",1990-05-24,24100,24300,24000,24000,10599
"118",1990-05-25,24000,24300,24000,24100,10643
"119",1990-05-26,24200,24300,24000,24000,10599
"120",1990-05-28,24000,24000,23500,23500,10378
"121",1990-05-29,23500,23500,23200,23400,10334
"122",1990-05-30,23400,24400,23300,24000,10599
"123",1990-05-31,24000,24900,24000,24700,10908
"124",1990-06-01,24800,25000,24500,24600,10864
"125",1990-06-02,24600,24600,24500,24500,10820
"126",1990-06-04,24700,25100,24500,25100,11085
