"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,23300,23300,23300,23300,934
"4",1990-01-04,23300,23900,23300,23900,958
"5",1990-01-05,23000,23500,23000,23500,942
"6",1990-01-06,22900,24000,22900,24000,962
"7",1990-01-08,23700,23700,23000,23700,950
"8",1990-01-09,23700,24000,23200,23700,950
"9",1990-01-10,23900,24700,23500,24700,990
"10",1990-01-11,24300,24500,24300,24300,974
"11",1990-01-12,24000,24000,23500,23900,958
"12",1990-01-13,23600,23600,23600,23600,946
"13",1990-01-15,23200,23600,23200,23200,930
"14",1990-01-16,22700,22900,22700,22900,918
"15",1990-01-17,21900,22600,21900,22600,906
"16",1990-01-18,22400,22500,22400,22500,902
"17",1990-01-19,22500,22500,22500,22500,902
"18",1990-01-20,22500,22500,22000,22000,882
"19",1990-01-22,22600,22600,22100,22500,902
"20",1990-01-23,22500,23000,22500,22800,914
"21",1990-01-24,23200,23200,22500,23200,930
"22",1990-01-25,23200,23300,23200,23300,934
"23",1990-01-29,23200,23600,23200,23600,946
"24",1990-01-30,23600,23600,23600,23600,946
"25",1990-01-31,23600,23600,23600,23600,946
"26",1990-02-01,23600,23600,23600,23600,946
"27",1990-02-02,23200,23200,23200,23200,930
"28",1990-02-03,23200,23200,23200,23200,930
"29",1990-02-05,22400,22400,22400,22400,898
"30",1990-02-06,22500,22700,22500,22700,910
"31",1990-02-07,22500,23000,22500,23000,922
"32",1990-02-08,23000,23000,23000,23000,922
"33",1990-02-09,22800,23500,22500,23500,942
"34",1990-02-10,23300,23300,23300,23300,934
"35",1990-02-12,22700,24000,22700,23200,930
"36",1990-02-13,22700,23100,22700,23100,926
"37",1990-02-14,23000,23000,23000,23000,922
"38",1990-02-15,23000,23300,23000,23100,926
"39",1990-02-16,23100,23100,23000,23100,926
"40",1990-02-17,23100,23100,22700,23000,922
"41",1990-02-19,22600,23000,22600,23000,922
"42",1990-02-20,22500,23000,22500,23000,922
"43",1990-02-21,22500,23500,22500,23500,942
