"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,21500,23000,21500,23000,1690
"4",1990-01-04,22500,23700,22500,23500,1727
"5",1990-01-05,23300,23300,23300,23300,1712
"6",1990-01-06,23300,23300,23300,23300,1712
"7",1990-01-08,23300,24300,23300,24300,1786
"8",1990-01-09,24100,24100,23800,23800,1749
"9",1990-01-10,23900,24800,23900,24800,1823
"10",1990-01-11,24700,24700,24400,24400,1793
"11",1990-01-12,23600,24000,23500,24000,1764
"12",1990-01-13,24000,24000,23500,23500,1727
"13",1990-01-15,23000,23000,23000,23000,1690
"14",1990-01-16,22900,22900,22900,22900,1683
"15",1990-01-17,22800,23200,22800,23000,1690
"16",1990-01-18,23100,23100,23000,23000,1690
"17",1990-01-19,22900,22900,22900,22900,1683
"18",1990-01-20,22900,23000,22900,23000,1690
"19",1990-01-22,23400,23400,23200,23200,1705
"20",1990-01-23,23200,23200,22300,23200,1705
"21",1990-01-24,23200,23500,22300,23200,1705
"22",1990-01-25,23300,24000,23300,23800,1749
"23",1990-01-29,23800,24000,23800,24000,1764
"24",1990-01-30,24400,24700,24100,24600,1808
"25",1990-01-31,24500,24500,24300,24400,1793
"26",1990-02-01,24600,24600,24500,24500,1800
"27",1990-02-02,24300,24300,24200,24200,1778
"28",1990-02-03,24200,24200,24200,24200,1778
"29",1990-02-05,24000,24300,24000,24300,1786
"30",1990-02-06,24300,24500,24300,24300,1786
"31",1990-02-07,24700,24700,24000,24000,1764
"32",1990-02-08,24000,24000,24000,24000,1764
"33",1990-02-09,24000,24100,24000,24100,1771
"34",1990-02-10,24200,24200,24200,24200,1778
"35",1990-02-12,24000,24000,24000,24000,1764
"36",1990-02-13,23800,23800,23400,23400,1720
"37",1990-02-14,23600,23600,23600,23600,1734
"38",1990-02-15,24000,24000,23800,24000,1764
"39",1990-02-16,24200,24200,24200,24200,1778
"40",1990-02-17,24200,24200,24200,24200,1778
"41",1990-02-19,24000,24000,24000,24000,1764
"42",1990-02-20,23600,23600,23600,23600,1734
"43",1990-02-21,23700,23700,23400,23400,1720
"44",1990-02-22,23400,23400,23200,23400,1720
"45",1990-02-23,23500,24400,23400,24400,1793
"46",1990-02-24,24700,24900,24400,24800,1823
"47",1990-02-26,24500,24700,24200,24500,1800
"48",1990-02-27,24500,24500,24200,24500,1800
"49",1990-02-28,24300,24500,24000,24000,1764
"50",1990-03-02,23800,24200,23600,24200,1778
"51",1990-03-03,24000,24000,24000,24000,1764
"52",1990-03-05,23800,23800,23600,23600,1734
"53",1990-03-06,23600,24000,23600,23600,1734
"54",1990-03-07,23500,24000,23500,23500,1727
"55",1990-03-08,23200,23300,23200,23300,1712
"56",1990-03-09,23300,23300,23000,23300,1712
"57",1990-03-12,23100,23200,23100,23100,1698
"58",1990-03-13,23300,23300,23100,23100,1698
"59",1990-03-14,23100,23100,23100,23100,1698
"60",1990-03-15,22900,22900,22900,22900,1683
"61",1990-03-16,23000,23900,23000,23900,1756
"62",1990-03-17,23000,23000,23000,23000,1690
"63",1990-03-19,22800,23400,22800,23000,1690
"64",1990-03-20,23200,23300,23200,23300,1712
"65",1990-03-21,23500,23500,23300,23300,1712
"66",1990-03-22,23000,23000,23000,23000,1690
"67",1990-03-23,22600,22600,22500,22600,1661
"68",1990-03-24,23600,23600,23600,23600,1734
"69",1990-03-26,23300,23300,23300,23300,1712
"70",1990-03-27,23000,23000,22900,22900,1683
"71",1990-03-28,22500,22600,22500,22600,1661
"72",1990-03-29,22700,22700,22500,22500,1653
"73",1990-03-30,22900,23500,22900,23400,1720
"74",1990-03-31,23300,23300,23300,23300,1712
"75",1990-04-02,23200,23300,23200,23300,1712
"76",1990-04-03,23300,24000,23100,24000,1764
"77",1990-04-04,23800,24400,23800,23900,1756
"78",1990-04-06,24000,24300,23900,23900,1756
"79",1990-04-07,23600,23600,23000,23000,1690
"80",1990-04-09,22900,22900,22800,22800,1676
"81",1990-04-10,23000,23000,23000,23000,1690
"82",1990-04-11,22900,23100,22900,23100,1698
"83",1990-04-12,22900,22900,22700,22700,1668
"84",1990-04-13,22700,23700,22500,23600,1734
"85",1990-04-14,23500,23500,23500,23500,1727
"86",1990-04-16,23400,23400,23400,23400,1720
"87",1990-04-17,23000,23000,23000,23000,1690
"88",1990-04-18,22900,22900,22900,22900,1683
"89",1990-04-19,22900,22900,22900,22900,1683
"90",1990-04-20,22000,23000,22000,23000,1690
"91",1990-04-21,23100,23100,23100,23100,1698
"92",1990-04-23,23100,23100,23100,23100,1698
"93",1990-04-24,22600,22700,22500,22700,1668
"94",1990-04-25,21800,21800,21700,21700,1595
"95",1990-04-26,21700,21700,21400,21400,1573
"96",1990-04-27,21200,21800,20900,21800,1602
"97",1990-04-28,21800,21800,21800,21800,1602
"98",1990-04-30,20800,20800,20800,20800,1529
"99",1990-05-01,21000,21700,21000,21700,1595
"100",1990-05-03,22500,22700,21500,22700,1668
"101",1990-05-04,22700,22700,22500,22500,1653
"102",1990-05-07,22100,22100,22100,22100,1624
"103",1990-05-08,22100,22100,22100,22100,1624
"104",1990-05-09,21800,21800,21800,21800,1602
"105",1990-05-10,21500,21500,21500,21500,1580
"106",1990-05-11,21500,21500,21500,21500,1580
"107",1990-05-12,22500,22500,22500,22500,1653
"108",1990-05-14,21500,21500,21500,21500,1580
"109",1990-05-15,20500,20500,20500,20500,1507
"110",1990-05-16,19500,21500,19500,21500,1580
"111",1990-05-17,20500,21800,20500,20900,1536
"112",1990-05-18,20100,20100,20100,20100,1477
"113",1990-05-19,20100,20100,20100,20100,1477
"114",1990-05-21,19700,19900,19700,19900,1462
"115",1990-05-22,20000,20500,20000,20200,1484
"116",1990-05-23,20300,20300,19300,20200,1484
"117",1990-05-24,20200,20600,20200,20600,1514
"118",1990-05-25,20800,20800,20700,20800,1529
"119",1990-05-26,20800,20800,20800,20800,1529
"120",1990-05-28,20800,20800,20500,20500,1507
"121",1990-05-29,20500,20500,20200,20200,1484
"122",1990-05-30,20200,20800,20200,20800,1529
"123",1990-05-31,20700,20700,20700,20700,1521
"124",1990-06-01,20700,20700,20500,20500,1507
"125",1990-06-02,20400,20600,20400,20600,1514
"126",1990-06-04,20600,21000,20600,20700,1521
"127",1990-06-05,20700,21000,20600,20700,1521
"128",1990-06-07,21000,21000,21000,21000,1543
"129",1990-06-08,20900,20900,20900,20900,1536
"130",1990-06-09,20300,20300,20300,20300,1492
"131",1990-06-11,20300,20300,20300,20300,1492
"132",1990-06-12,20200,20200,20200,20200,1484
"133",1990-06-13,20200,20200,20200,20200,1484
"134",1990-06-14,20200,20200,20200,20200,1484
"135",1990-06-15,20200,20200,20200,20200,1484
"136",1990-06-16,20200,20200,20200,20200,1484
"137",1990-06-18,20200,20200,20200,20200,1484
"138",1990-06-19,20000,20000,20000,20000,1470
"139",1990-06-20,19500,19500,19500,19500,1433
"140",1990-06-21,19000,19000,19000,19000,1396
"141",1990-06-22,19000,19000,19000,19000,1396
"142",1990-06-23,19000,19000,19000,19000,1396
"143",1990-06-25,18300,18300,18300,18300,1345
"144",1990-06-26,18300,18300,18300,18300,1345
"145",1990-06-27,18300,18300,18300,18300,1345
"146",1990-06-28,17500,19100,17500,19100,1404
"147",1990-06-29,19100,19100,19100,19100,1404
"148",1990-06-30,18300,18300,18300,18300,1345
"149",1990-07-02,18300,18300,18300,18300,1345
"150",1990-07-03,18300,19100,18300,19100,1404
"151",1990-07-04,19300,19300,19100,19100,1404
"152",1990-07-05,19100,19100,19100,19100,1404
"153",1990-07-06,19000,19000,19000,19000,1396
"154",1990-07-07,19000,19000,19000,19000,1396
"155",1990-07-09,18900,18900,18900,18900,1389
"156",1990-07-10,18800,18800,18100,18100,1330
"157",1990-07-11,18000,18000,17800,17800,1308
"158",1990-07-12,17500,17500,17500,17500,1286
"159",1990-07-13,17300,17300,17300,17300,1271
"160",1990-07-14,17300,17300,17300,17300,1271
"161",1990-07-16,17000,17000,17000,17000,1249
"162",1990-07-18,17000,17000,17000,17000,1249
"163",1990-07-19,17000,17000,17000,17000,1249
"164",1990-07-20,16700,16700,16700,16700,1227
"165",1990-07-21,16700,16700,16600,16600,1220
"166",1990-07-23,15800,16300,15800,16300,1198
"167",1990-07-24,16000,16000,16000,16000,1176
"168",1990-07-25,16000,16000,16000,16000,1176
"169",1990-07-26,16700,16700,16700,16700,1227
"170",1990-07-27,15900,15900,15900,15900,1168
"171",1990-07-28,16000,16000,16000,16000,1176
"172",1990-07-30,16000,16000,16000,16000,1176
"173",1990-07-31,16100,16100,15900,16000,1176
"174",1990-08-01,16000,16800,16000,16500,1213
"175",1990-08-02,16500,16500,16500,16500,1213
"176",1990-08-03,16500,16700,15700,16700,1227
"177",1990-08-04,16700,16700,16700,16700,1227
"178",1990-08-06,16700,16700,16700,16700,1227
"179",1990-08-07,16800,16800,16800,16800,1235
"180",1990-08-08,16700,16700,16700,16700,1227
"181",1990-08-09,16500,16700,16500,16500,1213
"182",1990-08-10,16500,17100,16500,17100,1257
"183",1990-08-11,17100,17100,17100,17100,1257
"184",1990-08-13,17000,17000,17000,17000,1249
"185",1990-08-14,16900,16900,16900,16900,1242
"186",1990-08-16,16800,16800,16800,16800,1235
"187",1990-08-17,16800,16800,16800,16800,1235
"188",1990-08-18,16700,16700,16700,16700,1227
"189",1990-08-20,16800,16800,16800,16800,1235
"190",1990-08-21,16800,16800,16800,16800,1235
"191",1990-08-22,16400,16400,16400,16400,1205
"192",1990-08-23,16400,16400,16400,16400,1205
"193",1990-08-24,16400,16400,16400,16400,1205
"194",1990-08-25,15600,15600,15600,15600,1146
"195",1990-08-27,16400,16400,16400,16400,1205
"196",1990-08-28,17200,17200,17200,17200,1264
"197",1990-08-29,17000,17000,16800,16800,1235
"198",1990-08-30,16400,16400,16400,16400,1205
"199",1990-08-31,16200,16200,16200,16200,1191
"200",1990-09-01,16200,16200,16200,16200,1191
"201",1990-09-03,15800,16900,15800,16900,1242
"202",1990-09-04,16900,16900,16900,16900,1242
"203",1990-09-05,16400,16400,16400,16400,1205
"204",1990-09-06,16500,16500,16400,16500,1213
"205",1990-09-07,16600,16600,16600,16600,1220
"206",1990-09-08,16700,16700,16700,16700,1227
"207",1990-09-10,16700,16700,16700,16700,1227
"208",1990-09-11,16800,16800,16800,16800,1235
"209",1990-09-12,16800,16800,16800,16800,1235
"210",1990-09-13,16000,16700,16000,16700,1227
"211",1990-09-14,16800,16800,16800,16800,1235
"212",1990-09-15,16200,16200,16200,16200,1191
"213",1990-09-17,15800,15800,15800,15800,1161
"214",1990-09-18,15800,15800,15800,15800,1161
"215",1990-09-19,16000,16500,16000,16500,1213
"216",1990-09-20,16400,16400,16400,16400,1205
"217",1990-09-21,16500,16500,16500,16500,1213
"218",1990-09-22,16500,16500,16500,16500,1213
"219",1990-09-24,16600,16600,16600,16600,1220
"220",1990-09-25,16700,17400,16700,17400,1279
"221",1990-09-26,17400,17600,17400,17600,1293
"222",1990-09-27,17700,17700,17700,17700,1301
"223",1990-09-28,17700,17800,17700,17800,1308
"224",1990-09-29,17900,17900,17900,17900,1315
"225",1990-10-05,18600,18600,18600,18600,1367
"226",1990-10-06,17800,17800,17800,17800,1308
"227",1990-10-08,17800,17800,17800,17800,1308
"228",1990-10-10,17800,17800,17800,17800,1308
"229",1990-10-11,17800,17800,17800,17800,1308
"230",1990-10-12,17800,17800,17800,17800,1308
"231",1990-10-13,17800,17800,17800,17800,1308
"232",1990-10-15,17800,18400,17800,18400,1352
"233",1990-10-16,18300,18300,18300,18300,1345
"234",1990-10-17,18300,18300,18300,18300,1345
"235",1990-10-18,18300,18300,18300,18300,1345
"236",1990-10-19,18300,19000,18300,19000,1396
"237",1990-10-20,18800,18800,18800,18800,1382
"238",1990-10-22,18000,18000,18000,18000,1323
"239",1990-10-23,18000,18800,18000,18800,1382
"240",1990-10-24,19600,19600,19000,19500,1433
"241",1990-10-25,18700,18700,18700,18700,1374
