"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,27300,28900,27300,28900,9986
"4",1990-01-04,28000,29000,28000,28000,9675
"5",1990-01-05,28000,28000,27600,27600,9537
"6",1990-01-06,26600,27500,26600,27200,9399
"7",1990-01-08,27200,27200,27000,27200,9399
"8",1990-01-09,27200,27500,27200,27500,9503
"9",1990-01-10,27500,28500,27100,28000,9675
"10",1990-01-11,27800,27800,27000,27400,9468
"11",1990-01-12,27000,27500,27000,27500,9503
"12",1990-01-13,27500,27500,26700,26800,9261
"13",1990-01-15,26800,26800,26100,26700,9226
"14",1990-01-16,26500,26500,25700,26400,9123
"15",1990-01-17,26000,26200,26000,26200,9053
"16",1990-01-18,26500,26500,25300,26300,9088
"17",1990-01-19,25600,25600,25400,25400,8777
"18",1990-01-20,25400,25400,25200,25200,8708
"19",1990-01-22,26100,26200,25700,25800,8915
"20",1990-01-23,26000,26200,25900,25900,8950
"21",1990-01-24,25900,26500,25900,26500,9157
"22",1990-01-25,26800,27000,26500,26700,9226
"23",1990-01-29,26000,26200,26000,26200,9053
"24",1990-01-30,26500,27100,26100,26300,9088
"25",1990-01-31,26600,26800,26000,26800,9261
"26",1990-02-01,26700,26700,26100,26600,9192
"27",1990-02-02,26100,26500,26100,26300,9088
"28",1990-02-03,26200,26200,26000,26000,8984
"29",1990-02-05,26000,26400,26000,26400,9123
"30",1990-02-06,26400,26500,26200,26500,9157
"31",1990-02-07,26400,26500,26100,26100,9019
"32",1990-02-08,26000,26400,26000,26400,9123
"33",1990-02-09,25900,26300,25900,26200,9053
"34",1990-02-10,26200,26200,26000,26000,8984
"35",1990-02-12,26000,26000,25700,25700,8881
"36",1990-02-13,25800,25800,25500,25500,8812
"37",1990-02-14,25700,26000,25500,26000,8984
"38",1990-02-15,26200,26200,25800,26100,9019
"39",1990-02-16,25900,26000,25900,25900,8950
"40",1990-02-17,24900,26200,24900,26200,9053
"41",1990-02-19,26200,26500,25900,25900,8950
"42",1990-02-20,25600,25800,25600,25800,8915
"43",1990-02-21,25600,25800,25600,25800,8915
"44",1990-02-22,25600,25800,25600,25800,8915
"45",1990-02-23,25800,25800,25600,25600,8846
"46",1990-02-24,25200,25600,25200,25600,8846
"47",1990-02-26,25600,25600,25000,25500,8812
"48",1990-02-27,25000,25600,25000,25600,8846
"49",1990-02-28,25600,25600,25500,25500,8812
"50",1990-03-02,26500,26500,25500,25700,8881
"51",1990-03-03,25700,25700,25700,25700,8881
"52",1990-03-05,25600,25600,25400,25400,8777
"53",1990-03-06,25200,25500,25200,25200,8708
"54",1990-03-07,25200,25200,25000,25100,8673
"55",1990-03-08,24900,25000,24700,24700,8535
"56",1990-03-09,24600,25000,24600,25000,8639
"57",1990-03-12,25000,25000,24800,24900,8604
"58",1990-03-13,24800,24800,24600,24600,8501
"59",1990-03-14,24800,24800,24400,24400,8431
"60",1990-03-15,24200,24200,24100,24200,8362
"61",1990-03-16,24800,24800,24500,24600,8501
"62",1990-03-17,24800,24800,24500,24500,8466
"63",1990-03-19,25000,25000,24400,24500,8466
"64",1990-03-20,24500,25000,24500,25000,8639
"65",1990-03-21,25100,25100,25000,25000,8639
"66",1990-03-22,25100,25100,24500,24800,8570
"67",1990-03-23,24500,24600,24300,24300,8397
"68",1990-03-24,24200,24300,24200,24200,8362
"69",1990-03-26,24200,24200,24100,24200,8362
"70",1990-03-27,24200,24600,24200,24600,8501
"71",1990-03-28,24600,24600,23800,24300,8397
"72",1990-03-29,24000,24200,24000,24200,8362
"73",1990-03-30,24200,25000,24200,25000,8639
"74",1990-03-31,24900,25000,24900,25000,8639
"75",1990-04-02,24600,24900,24600,24900,8604
"76",1990-04-03,24600,24800,24600,24800,8570
"77",1990-04-04,24600,25000,24400,24700,8535
"78",1990-04-06,24900,24900,24500,24500,8466
"79",1990-04-07,24000,24300,24000,24300,8397
"80",1990-04-09,24100,24500,23800,24500,8466
"81",1990-04-10,24300,24400,24300,24400,8431
"82",1990-04-11,24400,24500,24200,24500,8466
"83",1990-04-12,24500,24500,24200,24400,8431
"84",1990-04-13,24300,24400,24300,24400,8431
"85",1990-04-14,23700,24000,23700,24000,8293
"86",1990-04-16,24000,24000,23500,23500,8120
"87",1990-04-17,23000,23500,23000,23500,8120
"88",1990-04-18,23400,23500,23400,23400,8086
"89",1990-04-19,22500,22700,22400,22400,7740
"90",1990-04-20,22700,22700,22300,22300,7706
"91",1990-04-21,22000,22900,22000,22900,7913
"92",1990-04-23,22600,22600,22400,22500,7775
