"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,25500,25500,25500,25500,2471
"4",1990-01-04,25400,25400,25400,25400,2461
"5",1990-01-05,25400,25400,25400,25400,2461
"6",1990-01-06,25400,25400,25400,25400,2461
"7",1990-01-08,25200,25200,25200,25200,2442
"8",1990-01-09,25000,25000,25000,25000,2422
"9",1990-01-10,24900,25000,24900,25000,2422
"10",1990-01-11,24500,24500,24500,24500,2374
"11",1990-01-12,24500,24500,24500,24500,2374
"12",1990-01-13,24500,24500,24500,24500,2374
"13",1990-01-15,24500,24500,24500,24500,2374
"14",1990-01-16,24500,24500,24500,24500,2374
"15",1990-01-17,24500,24500,24500,24500,2374
"16",1990-01-18,24500,24500,24500,24500,2374
"17",1990-01-19,24500,24500,24500,24500,2374
"18",1990-01-20,24300,24300,24300,24300,2354
"19",1990-01-22,25200,25200,25200,25200,2442
"20",1990-01-23,25000,25000,25000,25000,2422
"21",1990-01-24,25500,25500,25300,25500,2471
"22",1990-01-25,25600,26000,25600,26000,2519
"23",1990-01-29,26000,26200,26000,26000,2519
"24",1990-01-30,26000,26200,26000,26200,2539
"25",1990-01-31,26300,26600,26300,26600,2577
"26",1990-02-01,26000,26000,26000,26000,2519
"27",1990-02-02,26000,26000,26000,26000,2519
"28",1990-02-03,25400,25400,25400,25400,2461
"29",1990-02-05,26000,26000,26000,26000,2519
"30",1990-02-06,25900,26600,25900,26500,2568
"31",1990-02-07,26700,26700,26700,26700,2587
"32",1990-02-08,26700,26700,26700,26700,2587
"33",1990-02-09,26700,26800,26700,26800,2597
"34",1990-02-10,26500,26500,26500,26500,2568
"35",1990-02-12,26500,27000,26500,27000,2616
"36",1990-02-13,27000,27000,27000,27000,2616
"37",1990-02-14,27000,27000,27000,27000,2616
"38",1990-02-15,27000,27000,27000,27000,2616
"39",1990-02-16,26700,26700,26700,26700,2587
"40",1990-02-17,26300,26500,26300,26500,2568
"41",1990-02-19,26500,26500,26500,26500,2568
"42",1990-02-20,26500,26500,26500,26500,2568
"43",1990-02-21,26400,26400,26400,26400,2558
"44",1990-02-22,26000,26000,26000,26000,2519
"45",1990-02-23,26000,26000,26000,26000,2519
"46",1990-02-24,25500,25500,25500,25500,2471
"47",1990-02-26,25100,25100,25100,25100,2432
"48",1990-02-27,25100,25100,25100,25100,2432
"49",1990-02-28,25100,25100,25100,25100,2432
"50",1990-03-02,25100,25100,25100,25100,2432
"51",1990-03-03,25100,25100,25100,25100,2432
"52",1990-03-05,25100,25100,25100,25100,2432
"53",1990-03-06,25200,25200,25200,25200,2442
"54",1990-03-07,25400,26000,25400,26000,2519
"55",1990-03-08,26000,26000,26000,26000,2519
"56",1990-03-09,26000,26000,26000,26000,2519
"57",1990-03-12,26000,26000,26000,26000,2519
"58",1990-03-13,26000,26000,26000,26000,2519
"59",1990-03-14,25900,26000,25900,26000,2519
"60",1990-03-15,25700,25700,25700,25700,2490
"61",1990-03-16,26000,26000,26000,26000,2519
"62",1990-03-17,26000,26000,26000,26000,2519
"63",1990-03-19,26000,26000,26000,26000,2519
"64",1990-03-20,26200,26200,26200,26200,2539
"65",1990-03-21,26200,26200,26200,26200,2539
"66",1990-03-22,26200,26200,26200,26200,2539
"67",1990-03-23,26500,26600,26500,26600,2577
"68",1990-03-24,26500,26500,26500,26500,2568
"69",1990-03-26,26500,26500,26500,26500,2568
"70",1990-03-27,26500,26500,26500,26500,2568
"71",1990-03-28,26500,26500,26500,26500,2568
"72",1990-03-29,26500,26500,26500,26500,2568
"73",1990-03-30,26200,26500,26200,26500,2568
"74",1990-03-31,26600,26600,26600,26600,2577
"75",1990-04-02,26700,26700,26700,26700,2587
"76",1990-04-03,26700,26700,26700,26700,2587
"77",1990-04-04,26700,26700,26700,26700,2587
"78",1990-04-06,26700,26900,26700,26900,2606
"79",1990-04-07,26900,27000,26900,27000,2616
"80",1990-04-09,27100,27100,27100,27100,2626
"81",1990-04-10,27100,27100,27100,27100,2626
"82",1990-04-11,27100,27100,27100,27100,2626
"83",1990-04-12,27100,27100,27100,27100,2626
"84",1990-04-13,27100,27100,27100,27100,2626
"85",1990-04-14,27100,27100,27100,27100,2626
"86",1990-04-16,27100,27100,27100,27100,2626
"87",1990-04-17,27100,27100,27100,27100,2626
"88",1990-04-18,27100,27100,27100,27100,2626
"89",1990-04-19,27100,27100,27100,27100,2626
"90",1990-04-20,27000,27000,27000,27000,2616
"91",1990-04-21,27000,27000,27000,27000,2616
"92",1990-04-23,27000,27000,27000,27000,2616
"93",1990-04-24,26500,26500,26500,26500,2568
"94",1990-04-25,26500,26500,26500,26500,2568
"95",1990-04-26,25500,25500,25500,25500,2471
"96",1990-04-27,24500,24500,24500,24500,2374
"97",1990-04-28,24500,24500,24500,24500,2374
"98",1990-04-30,23500,23500,23500,23500,2277
"99",1990-05-01,23500,23500,23500,23500,2277
"100",1990-05-03,24500,24500,24500,24500,2374
"101",1990-05-04,24500,24500,24500,24500,2374
"102",1990-05-07,24500,24500,24500,24500,2374
"103",1990-05-08,24500,24500,24500,24500,2374
