"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,33000,35500,33000,35500,25967
"4",1990-01-04,35500,36200,35500,35800,26186
"5",1990-01-05,35600,35900,35100,35200,25747
"6",1990-01-06,35200,35500,35000,35100,25674
"7",1990-01-08,35200,35500,34500,35000,25601
"8",1990-01-09,35000,35000,34700,34800,25455
"9",1990-01-10,34800,35000,34400,34400,25162
"10",1990-01-11,34400,34800,34200,34300,25089
"11",1990-01-12,34300,34400,33900,34200,25016
"12",1990-01-13,34200,34200,33800,33800,24723
"13",1990-01-15,33700,33900,33300,33500,24504
"14",1990-01-16,33500,33700,33100,33500,24504
"15",1990-01-17,33500,33500,33200,33200,24284
"16",1990-01-18,25700,26300,25600,25700,18798
"17",1990-01-19,25700,25900,25400,25500,18652
"18",1990-01-20,25500,25700,25400,25700,18798
"19",1990-01-22,26200,26700,26000,26700,19530
"20",1990-01-23,26700,26900,26300,26500,19384
"21",1990-01-24,26500,26800,26300,26400,19310
"22",1990-01-25,26400,26500,25800,26100,19091
"23",1990-01-29,25700,26000,25400,25500,18652
"24",1990-01-30,25300,25500,25000,25000,18286
"25",1990-01-31,24700,25600,24500,25600,18725
"26",1990-02-01,25600,25600,25000,25100,18360
"27",1990-02-02,25000,25700,24600,24900,18213
"28",1990-02-03,24600,25100,24600,25000,18286
"29",1990-02-05,25100,25500,25000,25200,18433
"30",1990-02-06,25100,25300,25000,25200,18433
"31",1990-02-07,25200,25300,25000,25100,18360
"32",1990-02-08,24900,25000,24700,24900,18213
"33",1990-02-09,24900,25000,24500,24500,17921
"34",1990-02-10,24500,24600,24200,24300,17774
"35",1990-02-12,24000,24200,23700,23700,17335
"36",1990-02-13,23700,24200,23600,23800,17409
"37",1990-02-14,23900,24200,23800,24100,17628
"38",1990-02-15,24100,24500,24100,24100,17628
"39",1990-02-16,23900,24100,23600,23800,17409
"40",1990-02-17,23600,23800,23400,23400,17116
"41",1990-02-19,23400,23400,22800,22800,16677
"42",1990-02-20,22700,23000,22700,22800,16677
"43",1990-02-21,22800,23100,22700,22700,16604
"44",1990-02-22,22700,22700,22400,22600,16531
"45",1990-02-23,22800,22900,22400,22400,16385
"46",1990-02-24,22400,22400,21700,22000,16092
"47",1990-02-26,21800,22000,21500,21600,15799
"48",1990-02-27,21500,22600,21400,22600,16531
"49",1990-02-28,22600,23600,22600,23600,17262
"50",1990-03-02,24600,24600,24600,24600,17994
"51",1990-03-03,25600,25600,25400,25500,18652
"52",1990-03-05,25000,25500,24600,24600,17994
"53",1990-03-06,24300,24600,23600,24100,17628
"54",1990-03-07,23900,24000,23200,23400,17116
"55",1990-03-08,23200,24300,23200,23700,17335
"56",1990-03-09,23700,24200,23600,24200,17701
"57",1990-03-12,24200,24500,24000,24300,17774
"58",1990-03-13,24400,24400,23800,24000,17555
"59",1990-03-14,24000,24300,23700,23800,17409
"60",1990-03-15,23800,23800,23500,23700,17335
"61",1990-03-16,23700,24000,23500,23500,17189
"62",1990-03-17,23500,23600,22700,23100,16897
"63",1990-03-19,23200,23500,23100,23300,17043
"64",1990-03-20,23400,23600,23000,23400,17116
"65",1990-03-21,24000,24000,23400,23600,17262
"66",1990-03-22,23800,23800,23300,23400,17116
"67",1990-03-23,23200,23400,23100,23200,16970
"68",1990-03-24,23200,23400,23100,23100,16897
"69",1990-03-26,23100,23100,22700,22800,16677
"70",1990-03-27,22800,22800,22400,22400,16385
"71",1990-03-28,22300,22400,21900,22100,16165
"72",1990-03-29,22100,22800,22100,22700,16604
"73",1990-03-30,21500,22000,21400,22000,16092
"74",1990-03-31,21900,21900,21500,21700,15873
"75",1990-04-02,21700,22200,21500,21900,16019
"76",1990-04-03,22000,22000,21500,21700,15873
"77",1990-04-04,21700,21800,21000,21300,15580
"78",1990-04-06,21200,21800,20800,21800,15946
"79",1990-04-07,21600,21600,20900,21000,15361
"80",1990-04-09,21000,21500,20900,21000,15361
"81",1990-04-10,21000,21100,20800,20900,15287
"82",1990-04-11,20900,21200,20900,20900,15287
"83",1990-04-12,20900,21000,20500,20900,15287
"84",1990-04-13,20800,21100,20600,20600,15068
"85",1990-04-14,20600,20700,20000,20200,14775
"86",1990-04-16,20000,20200,19600,19800,14483
"87",1990-04-17,19800,20600,19600,20600,15068
"88",1990-04-18,20600,21100,20000,20000,14629
"89",1990-04-19,20100,20600,19800,19900,14556
"90",1990-04-20,20200,20400,20000,20200,14775
"91",1990-04-21,20200,20600,20200,20600,15068
"92",1990-04-23,20600,20600,20200,20400,14922
"93",1990-04-24,20400,20500,20200,20200,14775
"94",1990-04-25,20300,20300,19800,19800,14483
"95",1990-04-26,19700,19700,19000,19000,13898
"96",1990-04-27,18800,19700,18800,19700,14410
"97",1990-04-28,19100,19300,18900,18900,13824
"98",1990-04-30,18500,18500,18100,18100,13239
"99",1990-05-01,18400,18900,18400,18900,13824
"100",1990-05-03,19700,19700,19700,19700,14410
"101",1990-05-04,20500,20500,20500,20500,14995
"102",1990-05-07,21400,21500,21000,21300,15580
"103",1990-05-08,21100,22100,21100,22000,16092
"104",1990-05-09,22000,22300,21500,21700,15873
"105",1990-05-10,21500,21500,21000,21000,15361
"106",1990-05-11,21000,21500,20500,20800,15214
"107",1990-05-12,20800,21000,20500,20500,14995
"108",1990-05-14,20300,20500,20000,20100,14702
"109",1990-05-15,19900,20200,19200,20200,14775
"110",1990-05-16,20400,21200,20400,21200,15507
"111",1990-05-17,21800,22100,21200,21500,15726
"112",1990-05-18,21300,21500,21000,21000,15361
"113",1990-05-19,20800,21300,20800,21000,15361
"114",1990-05-21,21000,21300,21000,21100,15434
"115",1990-05-22,21100,21800,21100,21500,15726
"116",1990-05-23,21500,21700,21400,21500,15726
"117",1990-05-24,21100,21500,21100,21400,15653
"118",1990-05-25,21400,21700,21300,21500,15726
"119",1990-05-26,21400,21500,21100,21100,15434
"120",1990-05-28,21000,21100,20800,20800,15214
"121",1990-05-29,20800,21200,20800,20800,15214
"122",1990-05-30,20900,21400,20900,21000,15361
"123",1990-05-31,21000,21400,21000,21100,15434
"124",1990-06-01,21300,21500,21000,21100,15434
"125",1990-06-02,21100,21300,21100,21100,15434
"126",1990-06-04,21200,21400,21000,21400,15653
"127",1990-06-05,21500,21700,21200,21200,15507
"128",1990-06-07,21200,21200,20900,20900,15287
"129",1990-06-08,20700,21200,20700,20900,15287
"130",1990-06-09,20900,21000,20700,21000,15361
"131",1990-06-11,20800,20800,20600,20600,15068
"132",1990-06-12,20400,20600,20300,20300,14849
"133",1990-06-13,20400,20500,20000,20000,14629
"134",1990-06-14,19900,19900,19500,19500,14263
"135",1990-06-15,19500,19500,19200,19300,14117
"136",1990-06-16,19300,19500,19200,19300,14117
"137",1990-06-18,19300,19300,18800,18800,13751
"138",1990-06-19,18800,19300,18500,18600,13605
"139",1990-06-20,18500,18700,18300,18300,13386
"140",1990-06-21,18300,18500,18100,18200,13312
"141",1990-06-22,18000,18500,17900,18200,13312
"142",1990-06-23,18200,18300,18200,18200,13312
"143",1990-06-25,18000,18000,17700,17700,12947
"144",1990-06-26,17500,17800,17400,17700,12947
"145",1990-06-27,17700,17900,17600,17900,13093
"146",1990-06-28,18000,18000,17500,17500,12800
"147",1990-06-29,17500,17600,17100,17100,12508
"148",1990-06-30,16900,17200,16600,16800,12288
"149",1990-07-02,16800,17100,16800,17100,12508
"150",1990-07-03,17100,17900,17100,17900,13093
"151",1990-07-04,18300,18400,17600,17700,12947
"152",1990-07-05,17500,17900,17100,17100,12508
"153",1990-07-06,17100,17500,16800,16800,12288
"154",1990-07-07,16800,16900,16600,16700,12215
"155",1990-07-09,16700,16900,16700,16900,12362
"156",1990-07-10,17000,17100,16900,17000,12435
"157",1990-07-11,17000,17100,16800,16800,12288
"158",1990-07-12,16500,16800,16300,16600,12142
"159",1990-07-13,16600,16600,16300,16300,11923
"160",1990-07-14,16300,16700,16300,16300,11923
"161",1990-07-16,16200,16300,16000,16100,11776
"162",1990-07-18,16400,16900,16300,16500,12069
"163",1990-07-19,16600,16900,16300,16400,11996
"164",1990-07-20,16700,16700,16400,16600,12142
"165",1990-07-21,16600,16600,16400,16500,12069
"166",1990-07-23,16400,16600,16300,16300,11923
"167",1990-07-24,16300,16500,16100,16300,11923
"168",1990-07-25,16400,16700,16400,16500,12069
"169",1990-07-26,16500,16500,16300,16300,11923
"170",1990-07-27,16300,16400,16200,16200,11850
"171",1990-07-28,16100,16600,16100,16400,11996
"172",1990-07-30,16400,16400,16200,16200,11850
"173",1990-07-31,16200,16300,16100,16200,11850
"174",1990-08-01,16300,16700,16200,16400,11996
"175",1990-08-02,16500,16500,16300,16300,11923
"176",1990-08-03,16100,16100,15800,16000,11703
"177",1990-08-04,15900,15900,15500,15600,11411
"178",1990-08-06,15200,15400,15000,15000,10972
"179",1990-08-07,14700,14800,14300,14800,10826
"180",1990-08-08,14700,14700,14200,14200,10387
"181",1990-08-09,14200,14500,13600,14200,10387
"182",1990-08-10,14300,14700,14100,14500,10606
"183",1990-08-11,14500,14500,14300,14400,10533
"184",1990-08-13,14500,14500,14200,14200,10387
"185",1990-08-14,14000,14000,13700,13700,10021
"186",1990-08-16,13700,14000,13300,13700,10021
"187",1990-08-17,13500,14000,13400,13800,10094
"188",1990-08-18,13900,14100,13900,14000,10240
"189",1990-08-20,13900,14100,13900,13900,10167
"190",1990-08-21,13800,14200,13500,13600,9948
"191",1990-08-22,13700,13900,13400,13700,10021
"192",1990-08-23,13700,13800,13400,13700,10021
"193",1990-08-24,13600,13700,13100,13600,9948
"194",1990-08-25,13100,13400,13100,13300,9728
"195",1990-08-27,13900,13900,13900,13900,10167
"196",1990-08-28,14500,14500,14500,14500,10606
"197",1990-08-29,15100,15100,14400,15100,11045
"198",1990-08-30,15000,15400,14600,14700,10752
"199",1990-08-31,14400,14600,14100,14100,10314
"200",1990-09-01,14200,14300,14000,14100,10314
"201",1990-09-03,14100,14700,14100,14700,10752
"202",1990-09-04,14700,15200,14400,14700,10752
"203",1990-09-05,14800,14800,14400,14400,10533
"204",1990-09-06,14300,14400,14100,14400,10533
"205",1990-09-07,14200,14400,14000,14200,10387
"206",1990-09-08,14000,14400,14000,14100,10314
"207",1990-09-10,14100,14300,14000,14000,10240
"208",1990-09-11,14000,14200,14000,14100,10314
"209",1990-09-12,14000,14100,13800,14100,10314
"210",1990-09-13,13900,14100,13800,14000,10240
"211",1990-09-14,14000,14000,13700,14000,10240
"212",1990-09-15,13800,13800,13400,13400,9801
"213",1990-09-17,13000,13100,12800,12800,9363
"214",1990-09-18,12300,13400,12300,13400,9801
"215",1990-09-19,13700,13800,13200,13600,9948
"216",1990-09-20,13700,13700,13200,13500,9875
"217",1990-09-21,13000,13600,13000,13600,9948
"218",1990-09-22,13600,13700,13500,13600,9948
"219",1990-09-24,13700,13800,13500,13800,10094
"220",1990-09-25,13800,13900,13600,13900,10167
"221",1990-09-26,14000,14100,13800,14000,10240
"222",1990-09-27,13900,14100,13800,13900,10167
"223",1990-09-28,13900,14000,13800,14000,10240
"224",1990-09-29,14000,14200,14000,14200,10387
"225",1990-10-05,14400,14800,14400,14800,10826
"226",1990-10-06,14900,15000,14500,14700,10752
"227",1990-10-08,14700,14700,14300,14400,10533
"228",1990-10-10,14500,14500,14000,14300,10460
"229",1990-10-11,14100,14800,14100,14600,10679
"230",1990-10-12,14600,15000,14600,14900,10899
"231",1990-10-13,14900,15000,14700,14700,10752
"232",1990-10-15,14700,15300,14700,15300,11191
"233",1990-10-16,15500,15800,15100,15100,11045
"234",1990-10-17,14800,15900,14800,15900,11630
"235",1990-10-18,16200,16700,16000,16700,12215
"236",1990-10-19,16800,17500,16800,17500,12800
"237",1990-10-20,18000,18300,17900,18300,13386
"238",1990-10-22,18400,19100,18400,19100,13971
"239",1990-10-23,19900,19900,19900,19900,14556
"240",1990-10-24,20700,20700,20700,20700,15141
"241",1990-10-25,20700,20700,19800,20200,14775
"242",1990-10-26,20000,20000,19200,19200,14044
"243",1990-10-27,20000,20000,19600,20000,14629
"244",1990-10-29,21000,21000,19000,19200,14044
"245",1990-10-30,18900,19600,18400,18700,13678
"246",1990-10-31,18400,18600,17900,17900,13093
"247",1990-11-01,18000,18700,18000,18700,13678
"248",1990-11-02,19200,19500,18000,19200,14044
"249",1990-11-03,19500,19900,19400,19400,14190
"250",1990-11-05,19400,19800,19000,19500,14263
"251",1990-11-06,19400,19700,19100,19100,13971
"252",1990-11-07,19200,19900,18900,19900,14556
"253",1990-11-08,20200,20400,19500,19600,14337
"254",1990-11-09,19600,20000,19300,19300,14117
