"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,21600,22300,21600,22300,90415
"4",1990-01-04,22300,23300,22300,23000,93253
"5",1990-01-05,22600,23000,22600,22600,91631
"6",1990-01-06,22500,22500,22200,22500,91226
"7",1990-01-08,22500,22900,22200,22900,92847
"8",1990-01-09,22500,22900,22500,22900,92847
"9",1990-01-10,22800,22900,22500,22600,91631
"10",1990-01-11,22500,22500,22100,22100,89604
"11",1990-01-12,22000,22400,21800,22100,89604
"12",1990-01-13,21200,21700,21200,21700,87982
"13",1990-01-15,21400,21500,21400,21400,86766
"14",1990-01-16,21100,21400,21000,21300,86360
"15",1990-01-17,21500,21600,21300,21600,87577
"16",1990-01-18,21500,21500,20600,21500,87171
"17",1990-01-19,21400,21400,20800,21000,85144
"18",1990-01-20,21000,21200,20800,21200,85955
"19",1990-01-22,21400,22100,21400,21700,87982
"20",1990-01-23,21500,21900,21300,21700,87982
"21",1990-01-24,21800,22000,21800,22000,89198
"22",1990-01-25,22100,22300,21500,21500,87171
"23",1990-01-29,21500,21700,21400,21500,87171
"24",1990-01-30,21500,21700,21300,21400,86766
"25",1990-01-31,21400,22200,21300,22200,90009
"26",1990-02-01,21500,22000,21500,21800,88387
"27",1990-02-02,21300,21600,21300,21500,87171
"28",1990-02-03,21200,21500,21200,21400,86766
"29",1990-02-05,21400,21700,21300,21500,87171
"30",1990-02-06,21500,21800,21400,21800,88387
"31",1990-02-07,21800,21800,21200,21400,86766
"32",1990-02-08,21400,21800,21400,21800,88387
"33",1990-02-09,21800,21900,21600,21800,88387
"34",1990-02-10,21800,21800,21500,21500,87171
"35",1990-02-12,21200,21800,21200,21400,86766
"36",1990-02-13,21300,21900,21300,21700,87982
"37",1990-02-14,21700,21800,21400,21700,87982
"38",1990-02-15,21800,21800,21500,21700,87982
"39",1990-02-16,21600,21800,21600,21600,87577
"40",1990-02-17,21600,21600,21500,21500,87171
"41",1990-02-19,21600,21600,21300,21400,86766
"42",1990-02-20,21400,21500,21400,21400,86766
"43",1990-02-21,21400,21600,21400,21500,87171
"44",1990-02-22,21500,21700,21300,21400,86766
"45",1990-02-23,21500,21600,21200,21200,85955
"46",1990-02-24,21100,21200,21100,21100,85549
"47",1990-02-26,21000,21000,20800,20800,84333
"48",1990-02-27,20600,21500,20300,21500,87171
"49",1990-02-28,21500,21500,21000,21200,85955
"50",1990-03-02,21000,21800,21000,21500,87171
"51",1990-03-03,21500,21500,21000,21100,85549
"52",1990-03-05,20700,21100,20700,20800,84333
"53",1990-03-06,20800,21100,20800,20800,84333
"54",1990-03-07,20800,20800,20500,20800,84333
"55",1990-03-08,20600,21000,20400,20600,83522
"56",1990-03-09,20600,20800,20600,20800,84333
"57",1990-03-12,20600,20700,20500,20500,83117
"58",1990-03-13,20600,20600,20400,20500,83117
"59",1990-03-14,20600,20600,20300,20300,82306
"60",1990-03-15,20100,20300,20100,20300,82306
"61",1990-03-16,20500,20800,20300,20800,84333
"62",1990-03-17,20000,20700,20000,20600,83522
"63",1990-03-19,20700,20700,20300,20500,83117
"64",1990-03-20,20800,21000,20800,21000,85144
"65",1990-03-21,21300,21300,21000,21000,85144
"66",1990-03-22,20900,21000,20700,21000,85144
"67",1990-03-23,20800,20800,20500,20500,83117
"68",1990-03-24,20600,20600,20400,20400,82711
"69",1990-03-26,20400,20700,20400,20400,82711
"70",1990-03-27,20600,20600,20200,20200,81900
"71",1990-03-28,20000,20200,20000,20100,81495
"72",1990-03-29,20000,20300,20000,20100,81495
"73",1990-03-30,20100,20700,20100,20700,83927
"74",1990-03-31,20900,21000,20800,20800,84333
"75",1990-04-02,20800,20800,20100,20500,83117
"76",1990-04-03,20500,20500,20200,20400,82711
"77",1990-04-04,20500,20800,20200,20400,82711
"78",1990-04-06,20400,20700,20300,20500,83117
"79",1990-04-07,20200,20300,20200,20300,82306
"80",1990-04-09,20200,20500,20100,20100,81495
"81",1990-04-10,20100,20200,20000,20000,81089
"82",1990-04-11,20000,20300,20000,20300,82306
"83",1990-04-12,20300,20300,20000,20000,81089
"84",1990-04-13,20000,20200,20000,20100,81495
"85",1990-04-14,20100,20100,19900,19900,80684
"86",1990-04-16,19700,19700,19300,19300,78251
"87",1990-04-17,19500,19500,19200,19500,79062
"88",1990-04-18,19500,19500,19200,19200,77846
"89",1990-04-19,19200,19200,18400,19000,77035
"90",1990-04-20,19000,19000,18300,18300,74197
"91",1990-04-21,18300,18700,18300,18400,74602
"92",1990-04-23,18300,18400,17900,18200,73791
"93",1990-04-24,18200,18200,18000,18200,73791
"94",1990-04-25,18200,18200,17700,17700,71764
"95",1990-04-26,16900,17100,16900,16900,68521
"96",1990-04-27,16500,17400,16300,17400,70548
"97",1990-04-28,16800,17100,16800,16800,68115
"98",1990-04-30,16000,16200,16000,16200,65682
"99",1990-05-01,15700,17000,15700,17000,68926
"100",1990-05-03,17500,17800,17500,17800,72170
"101",1990-05-04,17800,18600,17800,18600,75413
"102",1990-05-07,18600,18600,18000,18000,72980
"103",1990-05-08,18000,18000,17300,17500,70953
"104",1990-05-09,17500,17500,17000,17300,70142
"105",1990-05-10,17000,17100,16500,16600,67304
"106",1990-05-11,16600,16700,16600,16600,67304
"107",1990-05-12,16600,16600,16000,16000,64871
"108",1990-05-14,16000,16000,15500,15600,63250
"109",1990-05-15,15600,15600,14800,14900,60412
"110",1990-05-16,15200,15500,15200,15500,62844
"111",1990-05-17,16000,16200,15700,15700,63655
"112",1990-05-18,15700,15800,15600,15700,63655
"113",1990-05-19,15500,16100,15500,16000,64871
"114",1990-05-21,16000,16200,16000,16200,65682
"115",1990-05-22,16400,16900,16400,16800,68115
"116",1990-05-23,17000,17200,16900,17100,69331
"117",1990-05-24,17000,17100,16800,17100,69331
"118",1990-05-25,17300,17500,17300,17500,70953
"119",1990-05-26,17400,17400,17000,17000,68926
"120",1990-05-28,17100,17100,16800,17000,68926
"121",1990-05-29,16700,17000,16700,17000,68926
"122",1990-05-30,17100,17400,16900,17200,69737
"123",1990-05-31,17500,17800,17200,17700,71764
"124",1990-06-01,17800,18200,17800,18200,73791
"125",1990-06-02,18100,18400,18000,18400,74602
"126",1990-06-04,18400,19200,18300,19200,77846
"127",1990-06-05,19200,19200,18600,18900,76629
"128",1990-06-07,18800,19200,18700,18900,76629
"129",1990-06-08,18900,18900,18100,18400,74602
"130",1990-06-09,18000,18200,18000,18200,73791
"131",1990-06-11,18000,18000,17500,17500,70953
"132",1990-06-12,17500,17600,17400,17400,70548
"133",1990-06-13,17400,17600,17000,17200,69737
"134",1990-06-14,17100,17100,16700,16800,68115
"135",1990-06-15,17000,17300,17000,17000,68926
"136",1990-06-16,17000,17100,17000,17000,68926
"137",1990-06-18,17000,17000,16500,16500,66899
"138",1990-06-19,16300,16900,16200,16500,66899
"139",1990-06-20,16300,16500,16200,16200,65682
"140",1990-06-21,16000,16500,16000,16400,66493
"141",1990-06-22,16300,16800,16300,16800,68115
"142",1990-06-23,16900,17100,16900,16900,68521
"143",1990-06-25,16600,16800,16600,16600,67304
"144",1990-06-26,16500,16500,16300,16300,66088
"145",1990-06-27,16300,16500,16300,16500,66899
"146",1990-06-28,16500,16500,16000,16200,65682
"147",1990-06-29,15400,16000,15400,15400,62439
"148",1990-06-30,15200,15200,14900,14900,60412
"149",1990-07-02,15100,15200,14900,15200,61628
"150",1990-07-03,15300,16000,15300,16000,64871
"151",1990-07-04,16400,16400,16000,16200,65682
"152",1990-07-05,16000,16000,15500,15600,63250
"153",1990-07-06,15000,15500,15000,15500,62844
"154",1990-07-07,15000,15500,15000,15200,61628
"155",1990-07-09,15400,15400,15000,15000,60817
"156",1990-07-10,15000,15200,15000,15200,61628
"157",1990-07-11,15000,15400,15000,15000,60817
"158",1990-07-12,15000,15000,14300,14300,57979
"159",1990-07-13,14000,14200,14000,14100,57168
"160",1990-07-14,14000,14300,13800,14100,57168
"161",1990-07-16,13800,14000,13800,13800,55952
"162",1990-07-18,14000,14400,14000,14400,58384
"163",1990-07-19,14200,14800,14000,14300,57979
"164",1990-07-20,14300,14300,14000,14100,57168
"165",1990-07-21,14000,14200,14000,14100,57168
"166",1990-07-23,14100,14100,14000,14000,56763
"167",1990-07-24,13900,13900,13700,13800,55952
"168",1990-07-25,13800,14300,13800,13900,56357
"169",1990-07-26,14000,14000,13800,13800,55952
"170",1990-07-27,13900,13900,13800,13900,56357
"171",1990-07-28,14000,14000,13500,13900,56357
"172",1990-07-30,13900,13900,13800,13800,55952
"173",1990-07-31,13800,13900,13800,13900,56357
"174",1990-08-01,14000,14500,14000,14500,58790
"175",1990-08-02,14500,14800,14500,14600,59195
"176",1990-08-03,14500,15000,14500,14600,59195
"177",1990-08-04,14400,14800,14400,14800,60006
"178",1990-08-06,14500,14800,14400,14400,58384
"179",1990-08-07,14100,14700,13900,14500,58790
"180",1990-08-08,14400,14700,14300,14600,59195
"181",1990-08-09,14800,15200,14800,15200,61628
"182",1990-08-10,15600,15700,15400,15500,62844
"183",1990-08-11,15700,15700,15500,15500,62844
"184",1990-08-13,15500,15800,15200,15500,62844
"185",1990-08-14,15500,15600,15000,15300,62033
"186",1990-08-16,15300,15400,14500,15000,60817
"187",1990-08-17,14300,15200,14300,14700,59601
"188",1990-08-18,14700,15100,14700,15000,60817
"189",1990-08-20,15000,15000,14800,14800,60006
"190",1990-08-21,14900,15200,14300,15200,61628
"191",1990-08-22,15300,15300,14600,15200,61628
"192",1990-08-23,15300,15700,15300,15500,62844
"193",1990-08-24,15600,15700,14700,15700,63655
"194",1990-08-25,15500,15500,15100,15100,61222
"195",1990-08-27,15500,15900,15500,15900,64466
"196",1990-08-28,16300,16700,16300,16700,67710
"197",1990-08-29,16700,16700,16000,16300,66088
"198",1990-08-30,16000,16000,15500,15500,62844
"199",1990-08-31,14900,15400,14800,15000,60817
"200",1990-09-01,14600,15000,14600,15000,60817
"201",1990-09-03,15000,15800,14800,15800,64061
"202",1990-09-04,15400,16200,15400,15500,62844
