"","date","Open","High","Low","Close","Adj_Close"
"3",1990-01-03,20700,21700,20700,21700,14506
"4",1990-01-04,21700,22700,21500,22700,15175
"5",1990-01-05,22700,23000,22700,22700,15175
"6",1990-01-06,22000,23000,22000,23000,15375
"7",1990-01-08,23000,23400,23000,23400,15643
"8",1990-01-09,23700,23900,23600,23600,15776
"9",1990-01-10,23800,24600,23800,24600,16445
"10",1990-01-11,24700,25600,24700,25600,17113
"11",1990-01-12,25900,25900,24600,24800,16579
"12",1990-01-13,24500,25000,24400,25000,16712
"13",1990-01-15,24900,25000,24900,24900,16645
"14",1990-01-16,24800,24900,24100,24100,16111
"15",1990-01-17,24000,24000,24000,24000,16044
"16",1990-01-18,23600,24000,23600,24000,16044
"17",1990-01-19,24000,24200,23800,24200,16178
"18",1990-01-20,24300,24400,24300,24300,16244
"19",1990-01-22,24000,25300,24000,24700,16512
"20",1990-01-23,24000,24700,24000,24500,16378
"21",1990-01-24,24500,25000,24500,25000,16712
"22",1990-01-25,25500,25500,25000,25000,16712
"23",1990-01-29,25000,25200,25000,25000,16712
"24",1990-01-30,25000,26000,25000,26000,17381
"25",1990-01-31,27000,27000,26800,26900,17982
"26",1990-02-01,26500,26500,26200,26300,17581
"27",1990-02-02,25500,25900,25500,25500,17047
"28",1990-02-03,25800,25800,25400,25400,16980
"29",1990-02-05,25400,26200,25400,26200,17515
"30",1990-02-06,25900,27000,25900,27000,18049
"31",1990-02-07,27500,27500,26800,27000,18049
"32",1990-02-08,26500,27000,26300,27000,18049
"33",1990-02-09,26800,26800,26600,26800,17916
"34",1990-02-10,26400,26800,26400,26800,17916
"35",1990-02-12,26900,27100,26800,26800,17916
"36",1990-02-13,26300,26800,26300,26800,17916
"37",1990-02-14,26700,26800,26700,26800,17916
"38",1990-02-15,26500,26800,26500,26800,17916
"39",1990-02-16,26800,27800,26800,27800,18584
"40",1990-02-17,27500,28800,27500,28800,19253
"41",1990-02-19,28800,29600,28800,29000,19386
"42",1990-02-20,28800,29200,28600,28800,19253
"43",1990-02-21,29000,29200,28700,28700,19186
"44",1990-02-22,28700,29100,28400,28400,18985
"45",1990-02-23,28100,29400,28100,29400,19654
"46",1990-02-24,29800,29800,29300,29500,19721
"47",1990-02-26,29700,29700,29300,29500,19721
"48",1990-02-27,29500,29600,29300,29600,19787
"49",1990-02-28,29600,29600,29400,29600,19787
"50",1990-03-02,29500,29500,28700,29100,19453
"51",1990-03-03,29000,29000,29000,29000,19386
"52",1990-03-05,28500,28800,28500,28500,19052
"53",1990-03-06,28100,28700,27600,27900,18651
"54",1990-03-07,28600,28600,28000,28400,18985
"55",1990-03-08,28400,28400,27600,28400,18985
"56",1990-03-09,28400,28400,27900,28200,18851
"57",1990-03-12,28400,28700,28200,28200,18851
"58",1990-03-13,28200,28400,28200,28400,18985
"59",1990-03-14,28400,28400,28200,28200,18851
"60",1990-03-15,28100,28200,28100,28200,18851
"61",1990-03-16,28200,28300,27500,27500,18384
"62",1990-03-17,27700,28200,27700,28200,18851
"63",1990-03-19,28200,28200,28100,28200,18851
"64",1990-03-20,28400,28900,28400,28900,19319
"65",1990-03-21,28900,28900,28400,28800,19253
"66",1990-03-22,28700,28700,28400,28500,19052
"67",1990-03-23,28400,28500,28200,28200,18851
"68",1990-03-24,28200,28200,28200,28200,18851
"69",1990-03-26,28200,28600,28000,28600,19119
"70",1990-03-27,29100,29300,29000,29200,19520
"71",1990-03-28,29200,29200,28800,29000,19386
"72",1990-03-29,28500,29000,28200,29000,19386
"73",1990-03-30,29000,29000,28200,28700,19186
"74",1990-03-31,28800,29000,28200,28500,19052
"75",1990-04-02,28400,28400,28300,28400,18985
"76",1990-04-03,28400,28500,28400,28400,18985
"77",1990-04-04,28500,28900,28400,28700,19186
"78",1990-04-06,28900,29500,28800,29500,19721
"79",1990-04-07,29500,29500,29200,29300,19587
"80",1990-04-09,29500,30300,29500,30300,20255
"81",1990-04-10,30800,31600,30800,31300,20924
"82",1990-04-11,31300,31300,30800,31000,20723
"83",1990-04-12,31000,31100,30600,30700,20523
"84",1990-04-13,30700,31000,30700,30800,20590
"85",1990-04-14,30800,31000,30700,30700,20523
"86",1990-04-16,30700,30700,30200,30300,20255
"87",1990-04-17,30400,30400,29600,29800,19921
"88",1990-04-18,29800,30300,29600,29700,19854
"89",1990-04-19,30000,30000,29300,29300,19587
"90",1990-04-20,29700,29700,29300,29300,19587
"91",1990-04-21,29600,29600,29500,29500,19721
"92",1990-04-23,29500,30000,29300,30000,20055
"93",1990-04-24,30300,30300,29900,29900,19988
"94",1990-04-25,29800,29800,29000,29000,19386
"95",1990-04-26,29300,29300,28200,28200,18851
"96",1990-04-27,29000,29000,27900,28500,19052
