"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,14979,1252,0,0
"4",2000-01-05,14979,1252,0,0
"5",2000-01-06,14355,1200,0,0
"6",2000-01-07,14407,1204,0,0
"7",2000-01-10,13835,1156,0,0
"8",2000-01-11,14355,1200,0,0
"9",2000-01-12,14407,1204,0,0
"10",2000-01-13,14563,1217,0,0
"11",2000-01-14,14875,1243,0,0
"12",2000-01-17,14875,1243,0,0
"13",2000-01-18,14563,1217,0,0
"14",2000-01-19,14355,1200,0,0
"15",2000-01-20,14407,1204,0,0
"16",2000-01-21,14355,1200,0,0
"17",2000-01-24,14147,1182,0,0
"18",2000-01-25,14199,1187,0,0
"19",2000-01-26,14251,1191,0,0
"20",2000-01-27,14459,1208,0,0
"21",2000-01-28,14563,1217,0,0
"22",2000-01-31,14355,1200,0,0
"23",2000-02-01,14355,1200,0,0
"24",2000-02-02,14459,1208,0,0
"25",2000-02-03,15031,1256,0,0
"26",2000-02-07,15604,1304,0,0
"27",2000-02-08,15083,1260,0,0
"28",2000-02-09,16124,1347,0,0
"29",2000-02-10,18048,1508,0,0
"30",2000-02-11,20181,1686,0,0
"31",2000-02-14,18620,1556,0,0
"32",2000-02-15,18100,1513,0,0
"33",2000-02-16,17944,1499,0,0
"34",2000-02-17,16436,1373,0,0
"35",2000-02-18,16436,1373,0,0
"36",2000-02-21,18360,1534,0,0
"37",2000-02-22,20545,1717,0,0
"38",2000-02-23,22989,1921,0,0
"39",2000-02-24,25746,2151,0,0
"40",2000-02-25,28815,2408,0,0
"41",2000-02-28,32247,2695,0,0
"42",2000-02-29,36096,3016,416,0
"43",2000-03-02,40413,3377,15496,0
"44",2000-03-03,45250,3781,14900,0
"45",2000-03-06,39841,3329,28342,0
"46",2000-03-07,35108,2934,15188,0
"47",2000-03-08,33080,2764,-14949,0
"48",2000-03-09,37032,3095,-11299,0
"49",2000-03-10,34328,2869,-1280,0
"50",2000-03-13,30219,2525,2006,0
"51",2000-03-14,29959,2503,10756,0
"52",2000-03-15,33548,2803,-12763,0
"53",2000-03-16,30375,2538,93,0
"54",2000-03-17,27878,2330,0,0
"55",2000-03-20,24550,2051,0,0
"56",2000-03-21,22885,1912,10204,0
"57",2000-03-22,25590,2138,-11393,0
"58",2000-03-23,28659,2395,-23142,0
"59",2000-03-24,30063,2512,-4275,0
"60",2000-03-27,32143,2686,0,0
"61",2000-03-28,30167,2521,0,0
"62",2000-03-29,26578,2221,-142,0
"63",2000-03-30,28607,2390,-165,0
"64",2000-03-31,32039,2677,0,0
"65",2000-04-03,29439,2460,-4718,0
"66",2000-04-04,26006,2173,-13,0
"67",2000-04-06,25226,2108,0,0
"68",2000-04-07,28242,2360,0,0
"69",2000-04-10,31623,2643,0,0
"70",2000-04-11,29231,2443,0,0
"71",2000-04-12,32715,2734,0,0
"72",2000-04-14,36616,3060,0,0
"73",2000-04-17,32247,2695,0,0
"74",2000-04-18,31727,2651,0,0
"75",2000-04-19,35524,2969,0,0
"76",2000-04-20,39737,3321,0,0
"77",2000-04-21,35004,2925,19,0
"78",2000-04-24,34120,2851,0,0
"79",2000-04-25,30999,2590,0,0
"80",2000-04-26,29543,2469,0,0
"81",2000-04-27,31207,2608,0,0
"82",2000-04-28,29543,2469,0,0
"83",2000-05-02,30219,2525,0,0
"84",2000-05-03,32195,2690,0,0
"85",2000-05-04,32143,2686,0,0
"86",2000-05-08,32195,2690,0,0
"87",2000-05-09,33080,2764,0,0
"88",2000-05-10,37032,3095,0,0
"89",2000-05-12,37032,3095,0,0
"90",2000-05-15,32611,2725,0,0
"91",2000-05-16,32039,2677,0,0
"92",2000-05-17,30063,2512,0,0
"93",2000-05-18,30063,2512,0,0
"94",2000-05-19,30063,2512,0,0
"95",2000-05-22,26526,2217,0,0
"96",2000-05-23,23405,1956,0,0
"97",2000-05-24,20597,1721,0,0
"98",2000-05-25,22989,1921,0,0
"99",2000-05-26,20285,1695,0,0
"100",2000-05-29,19244,1608,0,0
"101",2000-05-30,20077,1678,0,0
"102",2000-05-31,22157,1852,0,0
"103",2000-06-01,21533,1799,0,0
"104",2000-06-02,21429,1791,0,0
"105",2000-06-05,23925,1999,0,0
"106",2000-06-07,24446,2043,0,0
"107",2000-06-08,22885,1912,0,0
"108",2000-06-09,23925,1999,4598,0
"109",2000-06-12,26734,2234,-2365,0
"110",2000-06-13,29855,2495,0,0
"111",2000-06-14,33392,2790,0,0
"112",2000-06-15,33808,2825,-3140,0
"113",2000-06-16,35992,3008,0,0
"114",2000-06-19,39529,3303,26932,0
"115",2000-06-20,34848,2912,0,0
"116",2000-06-21,34016,2842,0,0
"117",2000-06-22,33080,2764,-16218,0
"118",2000-06-23,36512,3051,-6292,0
"119",2000-06-26,40881,3416,0,0
"120",2000-06-27,45770,3825,8545,0
"121",2000-06-28,42546,3555,0,0
"122",2000-06-29,42962,3590,0,0
"123",2000-06-30,42650,3564,0,0
"124",2000-07-03,40569,3390,0,0
"125",2000-07-04,39425,3294,0,0
"126",2000-07-05,34744,2903,0,0
"127",2000-07-06,37449,3129,0,0
"128",2000-07-07,36928,3086,0,0
