"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,9872,862,0,0
"4",2000-01-05,9558,835,0,0
"5",2000-01-06,9366,818,0,0
"6",2000-01-07,10125,884,0,0
"7",2000-01-10,11036,964,0,0
"8",2000-01-11,11036,964,0,0
"9",2000-01-12,9720,849,0,0
"10",2000-01-13,10479,915,0,0
"11",2000-01-14,9325,814,0,0
"12",2000-01-17,10004,874,0,0
"13",2000-01-18,9619,840,0,0
"14",2000-01-19,9204,804,0,0
"15",2000-01-20,9204,804,0,0
"16",2000-01-21,9194,803,0,0
"17",2000-01-24,9518,831,0,0
"18",2000-01-25,9315,814,0,0
"19",2000-01-26,9214,805,0,0
"20",2000-01-27,8900,777,0,0
"21",2000-01-28,8880,776,0,0
"22",2000-01-31,8880,776,0,0
"23",2000-02-01,9619,840,0,0
"24",2000-02-02,9619,840,0,0
"25",2000-02-03,10581,924,0,0
"26",2000-02-07,10176,889,0,0
"27",2000-02-08,9983,872,0,0
"28",2000-02-09,9588,837,0,0
"29",2000-02-10,9113,796,0,0
"30",2000-02-11,10054,878,0,0
"31",2000-02-14,10024,875,0,0
"32",2000-02-15,9862,861,0,0
"33",2000-02-16,10733,937,0,0
"34",2000-02-17,11846,1035,0,0
"35",2000-02-18,12555,1096,0,0
"36",2000-02-21,11340,990,0,0
"37",2000-02-22,12555,1096,0,0
"38",2000-02-23,12960,1132,0,0
"39",2000-02-24,12504,1092,0,0
"40",2000-02-25,11897,1039,0,0
"41",2000-02-28,12656,1105,0,0
"42",2000-02-29,14175,1238,0,0
"43",2000-03-02,15846,1384,0,0
"44",2000-03-03,17213,1503,0,0
"45",2000-03-06,19238,1680,0,0
"46",2000-03-07,20858,1822,0,0
"47",2000-03-08,19339,1689,0,0
"48",2000-03-09,19136,1671,0,0
"49",2000-03-10,21161,1848,0,0
"50",2000-03-13,23693,2069,0,0
"51",2000-03-14,26528,2317,0,0
"52",2000-03-15,29565,2582,0,0
"53",2000-03-16,26021,2273,0,0
"54",2000-03-17,22933,2003,0,0
"55",2000-03-20,20199,1764,0,0
"56",2000-03-21,17820,1556,0,0
"57",2000-03-22,15795,1379,0,0
"58",2000-03-23,15795,1379,0,0
"59",2000-03-24,14378,1256,0,0
"60",2000-03-27,16099,1406,0,0
"61",2000-03-28,18023,1574,0,0
"62",2000-03-29,20149,1760,0,0
"63",2000-03-30,18225,1592,0,0
"64",2000-03-31,17213,1503,0,0
"65",2000-04-03,19238,1680,0,0
"66",2000-04-04,19136,1671,0,0
"67",2000-04-06,18377,1605,0,0
"68",2000-04-07,18630,1627,0,0
"69",2000-04-10,20858,1822,0,0
"70",2000-04-11,23338,2038,0,0
"71",2000-04-12,26123,2281,0,0
"72",2000-04-14,29211,2551,0,0
"73",2000-04-17,25718,2246,0,0
"74",2000-04-18,28755,2511,0,0
"75",2000-04-19,32198,2812,0,0
"76",2000-04-20,36045,3148,0,0
"77",2000-04-21,31742,2772,97,0
"78",2000-04-24,31388,2741,0,0
"79",2000-04-25,27641,2414,-83,0
"80",2000-04-26,24351,2127,0,0
"81",2000-04-27,24806,2166,0,0
"82",2000-04-28,21870,1910,0,0
"83",2000-05-02,20554,1795,0,0
"84",2000-05-03,21060,1839,0,0
"85",2000-05-04,21161,1848,0,0
"86",2000-05-08,21769,1901,0,0
"87",2000-05-09,22174,1937,0,0
"88",2000-05-10,23288,2034,0,0
"89",2000-05-12,26072,2277,0,0
"90",2000-05-15,23693,2069,0,0
"91",2000-05-16,20858,1822,0,0
"92",2000-05-17,22781,1990,0,0
"93",2000-05-18,21263,1857,0,0
"94",2000-05-19,18731,1636,0,0
"95",2000-05-22,19035,1662,0,0
"96",2000-05-23,17213,1503,0,0
"97",2000-05-24,15188,1326,0,0
"98",2000-05-25,15896,1388,0,0
"99",2000-05-26,17769,1552,0,0
"100",2000-05-29,19896,1738,0,0
"101",2000-05-30,22275,1945,0,0
"102",2000-05-31,24908,2175,0,0
"103",2000-06-01,27894,2436,0,0
"104",2000-06-02,31236,2728,0,0
"105",2000-06-05,30476,2662,0,0
"106",2000-06-07,33666,2940,0,0
"107",2000-06-08,29666,2591,0,0
"108",2000-06-09,26325,2299,0,0
"109",2000-06-12,29464,2573,0,0
"110",2000-06-13,32856,2869,0,0
"111",2000-06-14,28958,2529,0,0
"112",2000-06-15,25515,2228,0,0
"113",2000-06-16,24300,2122,0,0
"114",2000-06-19,21414,1870,0,0
"115",2000-06-20,21060,1839,0,0
"116",2000-06-21,21769,1901,0,0
"117",2000-06-22,21161,1848,0,0
"118",2000-06-23,20858,1822,0,0
"119",2000-06-26,20756,1813,0,0
"120",2000-06-27,20554,1795,0,0
"121",2000-06-28,20604,1799,0,0
"122",2000-06-29,19946,1742,0,0
"123",2000-06-30,19440,1698,0,0
"124",2000-07-03,19440,1698,0,0
"125",2000-07-04,21769,1901,0,0
"126",2000-07-05,20149,1760,0,0
"127",2000-07-06,18833,1645,0,0
"128",2000-07-07,18731,1636,0,0
"129",2000-07-10,20959,1830,0,0
"130",2000-07-11,19744,1724,0,0
"131",2000-07-12,19744,1724,0,0
"132",2000-07-13,19136,1671,0,0
"133",2000-07-14,19035,1662,0,0
"134",2000-07-18,21313,1861,0,0
"135",2000-07-19,22022,1923,0,0
"136",2000-07-20,22275,1945,0,0
"137",2000-07-21,24908,2175,0,0
"138",2000-07-24,27894,2436,0,0
"139",2000-07-25,25819,2255,0,0
"140",2000-07-26,26831,2343,0,0
"141",2000-07-27,28249,2467,0,2854
"142",2000-07-28,24908,2175,0,0
"143",2000-07-31,22275,1945,0,0
"144",2000-08-01,24908,2175,0,0
"145",2000-08-02,23541,2056,0,0
"146",2000-08-03,23693,2069,0,0
"147",2000-08-04,22376,1954,0,0
"148",2000-08-07,25059,2189,0,0
"149",2000-08-08,25313,2211,0,0
"150",2000-08-09,25211,2202,0,0
"151",2000-08-10,25718,2246,0,0
"152",2000-08-11,23338,2038,0,0
"153",2000-08-14,23389,2043,0,0
"154",2000-08-16,23389,2043,0,0
"155",2000-08-17,26173,2286,0,0
"156",2000-08-18,26426,2308,0,0
"157",2000-08-21,26274,2295,1637,0
"158",2000-08-22,26325,2299,-1712,0
"159",2000-08-23,26578,2321,1033,0
"160",2000-08-24,25161,2197,0,0
"161",2000-08-25,24806,2166,-967,0
"162",2000-08-28,27236,2379,0,0
"163",2000-08-29,26933,2352,0,0
"164",2000-08-30,27287,2383,0,0
"165",2000-08-31,24300,2122,0,0
"166",2000-09-01,23895,2087,0,0
"167",2000-09-04,23237,2029,0,0
"168",2000-09-05,21263,1857,0,0
"169",2000-09-06,20048,1751,0,0
"170",2000-09-07,19136,1671,0,0
"171",2000-09-08,17213,1503,0,0
"172",2000-09-14,17213,1503,0,0
"173",2000-09-15,17111,1494,0,0
"174",2000-09-18,15593,1362,0,0
"175",2000-09-19,15491,1353,0,0
"176",2000-09-20,16403,1433,0,0
"177",2000-09-21,14985,1309,0,0
"178",2000-09-22,13568,1185,0,0
"179",2000-09-25,13213,1154,0,0
"180",2000-09-26,14783,1291,0,0
"181",2000-09-27,16554,1446,0,0
"182",2000-09-28,17061,1490,0,0
"183",2000-09-29,16048,1402,0,0
"184",2000-10-02,16200,1415,0,0
"185",2000-10-04,18124,1583,0,0
"186",2000-10-05,20250,1769,0,0
"187",2000-10-06,22680,1981,0,0
"188",2000-10-09,19997,1746,0,0
"189",2000-10-10,18630,1627,0,0
