"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,325500,8138,0,0
"4",2000-01-05,286500,7163,0,-1910
"5",2000-01-06,252300,6308,0,250
"6",2000-01-07,230400,5760,53631,-153
"7",2000-01-10,229200,5730,77200,-38
"8",2000-01-11,224100,5603,51793,-148
"9",2000-01-12,224400,5610,232018,-52
"10",2000-01-13,204000,5100,77900,0
"11",2000-01-14,203700,5093,0,0
"12",2000-01-17,215400,5385,-7859,0
"13",2000-01-18,214200,5355,69555,-18
"14",2000-01-19,195000,4875,60555,0
"15",2000-01-20,182400,4560,64962,0
"16",2000-01-21,185700,4643,73600,10931
"17",2000-01-24,207900,5198,7614,0
"18",2000-01-25,207000,5175,13941,0
"19",2000-01-26,209100,5228,16889,0
"20",2000-01-27,207000,5175,18386,0
"21",2000-01-28,207000,5175,31941,-587
"22",2000-01-31,213000,5325,70759,-47412
"23",2000-02-01,232500,5813,0,0
"24",2000-02-02,228600,5715,13775,0
"25",2000-02-03,227700,5693,0,0
"26",2000-02-07,233400,5835,0,0
"27",2000-02-08,247500,6188,285097,0
"28",2000-02-09,277200,6930,0,0
"29",2000-02-10,285000,7125,43197,0
"30",2000-02-11,288000,7200,-61146,0
"31",2000-02-14,281400,7035,-9142,0
"32",2000-02-15,275700,6893,15483,0
"33",2000-02-16,242700,6068,0,0
"34",2000-02-17,241500,6038,42288,0
"35",2000-02-18,242400,6060,19899,0
"36",2000-02-21,242700,6068,39402,0
"37",2000-02-22,231000,5775,60194,0
"38",2000-02-23,232500,5813,96303,0
"39",2000-02-24,249000,6225,26729,0
"40",2000-02-25,278700,6968,-230181,139468
"41",2000-02-28,263700,6593,13307,0
"42",2000-02-29,265500,6638,35393,-7
"43",2000-03-02,297300,7433,101096,-991
"44",2000-03-03,297000,7425,44732,0
"45",2000-03-06,331500,8288,68941,65718
"46",2000-03-07,304500,7613,123367,0
"47",2000-03-08,307500,7688,0,167927
"48",2000-03-09,330000,8250,-6995,49879
"49",2000-03-10,339000,8475,462175,0
"50",2000-03-13,324000,8100,-40380,30
"51",2000-03-14,306000,7650,271832,-9986
"52",2000-03-15,303000,7575,233028,0
"53",2000-03-16,288600,7215,311163,0
"54",2000-03-17,254100,6353,-46246,9956
"55",2000-03-20,227100,5678,44760,0
"56",2000-03-21,220800,5520,-64656,0
"57",2000-03-22,234000,5850,-61866,54568
"58",2000-03-23,228000,5700,-15144,771
"59",2000-03-24,225000,5625,-37432,0
"60",2000-03-27,236700,5918,-11276,0
"61",2000-03-28,228300,5708,0,0
"62",2000-03-29,234000,5850,-61553,0
"63",2000-03-30,234000,5850,42059,0
"64",2000-03-31,233400,5835,-3077,0
"65",2000-04-03,205500,5138,0,0
"66",2000-04-04,183600,4590,0,-49380
"67",2000-04-06,183000,4575,0,0
"68",2000-04-07,193500,4838,0,-248
"69",2000-04-10,215400,5385,0,0
"70",2000-04-11,189600,4740,0,0
"71",2000-04-12,189600,4740,0,-9
"72",2000-04-14,181500,4538,1815,0
"73",2000-04-17,159900,3998,-1177,0
"74",2000-04-18,160800,4020,218091,-218658
"75",2000-04-19,169200,4230,49493,-29518
"76",2000-04-20,160400,4010,0,0
"77",2000-04-21,179600,4490,0,0
"78",2000-04-24,161600,4040,0,0
"79",2000-04-25,162800,4070,-40465,0
"80",2000-04-26,153600,3840,0,-2
"81",2000-04-27,145200,3630,0,0
"82",2000-04-28,140400,3510,0,0
"83",2000-05-02,141600,3540,0,0
"84",2000-05-03,133600,3340,0,0
"85",2000-05-04,138400,3460,0,0
"86",2000-05-08,154800,3870,0,2965
"87",2000-05-09,162000,4050,784,0
"88",2000-05-10,156000,3900,0,0
"89",2000-05-12,150000,3750,-326,-2963
"90",2000-05-15,144000,3600,0,0
"91",2000-05-16,136000,3400,-1209,0
"92",2000-05-17,132000,3300,-24151,63852
"93",2000-05-18,120000,3000,-6735,0
"94",2000-05-19,114000,2850,-275,-16
"95",2000-05-22,100400,2510,-6535,0
"96",2000-05-23,91200,2280,-289,0
"97",2000-05-24,95600,2390,-1330,0
"98",2000-05-25,106800,2670,0,30485
"99",2000-05-26,119200,2980,0,113212
"100",2000-05-29,122800,3070,0,0
"101",2000-05-30,119600,2990,0,2
"102",2000-05-31,130400,3260,0,0
"103",2000-06-01,130000,3250,0,27649
"104",2000-06-02,128000,3200,660,0
"105",2000-06-05,136800,3420,-670,0
"106",2000-06-07,153200,3830,0,0
"107",2000-06-08,145600,3640,33206,0
"108",2000-06-09,135600,3390,7229,0
"109",2000-06-12,137600,3440,-8548,0
"110",2000-06-13,122000,3050,-17801,0
"111",2000-06-14,122000,3050,-10577,0
"112",2000-06-15,114800,2870,0,41849
"113",2000-06-16,116000,2900,2604,-21590
"114",2000-06-19,111600,2790,0,0
"115",2000-06-20,112000,2800,6359,0
"116",2000-06-21,114400,2860,0,-465
"117",2000-06-22,113200,2830,7239,0
"118",2000-06-23,110000,2750,7094,0
"119",2000-06-26,111600,2790,17357,0
"120",2000-06-27,116000,2900,10534,0
"121",2000-06-28,117200,2930,40274,0
"122",2000-06-29,120800,3020,56217,0
"123",2000-06-30,127600,3190,73528,0
"124",2000-07-03,132400,3310,44202,0
"125",2000-07-04,125600,3140,0,0
"126",2000-07-05,122000,3050,26198,0
"127",2000-07-06,120800,3020,54274,-31834
"128",2000-07-07,134000,3350,15513,0
"129",2000-07-10,150000,3750,-92614,0
"130",2000-07-11,132000,3300,18318,29
"131",2000-07-12,134800,3370,-67702,0
"132",2000-07-13,126000,3150,-11305,0
"133",2000-07-14,121200,3030,24252,0
"134",2000-07-18,123600,3090,617,0
"135",2000-07-19,119200,2980,54587,0
"136",2000-07-20,123600,3090,11543,0
"137",2000-07-21,124000,3100,0,0
"138",2000-07-24,114400,2860,0,0
"139",2000-07-25,114800,2870,12017,0
"140",2000-07-26,115200,2880,17356,0
"141",2000-07-27,116000,2900,14359,0
"142",2000-07-28,110000,2750,0,0
"143",2000-07-31,107200,2680,0,0
"144",2000-08-01,111200,2780,0,0
"145",2000-08-02,111600,2790,-7547,0
"146",2000-08-03,118800,2970,0,288
"147",2000-08-04,114400,2860,0,179
"148",2000-08-07,109600,2740,0,0
"149",2000-08-08,109600,2740,-6638,0
"150",2000-08-09,113200,2830,28721,0
"151",2000-08-10,111600,2790,0,0
"152",2000-08-11,110800,2770,0,0
"153",2000-08-14,110800,2770,-11097,0
"154",2000-08-16,111200,2780,-6942,139
"155",2000-08-17,110000,2750,-7110,0
