"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,511,3216945,0,0
"4",2000-01-05,566,3564723,0,0
"5",2000-01-06,580,3651668,0,0
"6",2000-01-07,552,3477779,0,0
"7",2000-01-10,490,3086529,0,0
"8",2000-01-11,518,3260418,0,0
"9",2000-01-12,455,2869167,0,0
"10",2000-01-13,504,3173473,0,0
"11",2000-01-14,559,3521251,0,0
"12",2000-01-17,593,3738612,0,0
"13",2000-01-18,621,3912501,0,0
"14",2000-01-19,552,3477779,0,0
"15",2000-01-20,490,3086529,0,0
"16",2000-01-21,490,3086529,0,0
"17",2000-01-24,524,3303890,0,0
"18",2000-01-25,483,3043056,0,0
"19",2000-01-26,490,3086529,0,0
"20",2000-01-27,531,3347362,0,0
"21",2000-01-28,593,3738612,0,0
"22",2000-01-31,662,4173334,0,0
"23",2000-02-01,587,3695140,0,0
"24",2000-02-02,545,3434306,0,0
"25",2000-02-03,607,3825557,0,0
"26",2000-02-07,656,4129862,0,0
"27",2000-02-08,725,4564585,0,0
"28",2000-02-09,807,5086251,0,0
"29",2000-02-10,711,4477640,0,0
"30",2000-02-11,628,3955973,0,0
"31",2000-02-14,566,3564723,0,0
"32",2000-02-15,531,3347362,0,0
"33",2000-02-16,538,3390834,0,0
"34",2000-02-17,511,3216945,0,0
"35",2000-02-18,545,3434306,0,0
"36",2000-02-21,518,3260418,0,0
"37",2000-02-22,531,3347362,0,0
"38",2000-02-23,490,3086529,0,0
"39",2000-02-24,545,3434306,0,0
"40",2000-02-25,587,3695140,0,0
"41",2000-02-28,656,4129862,0,0
"42",2000-02-29,731,4608057,0,0
"43",2000-03-02,814,5129724,0,0
"44",2000-03-03,890,5607918,0,0
"45",2000-03-06,994,6260002,0,0
"46",2000-03-07,1111,6999030,0,0
"47",2000-03-08,980,6173057,0,0
"48",2000-03-09,1097,6912085,0,0
"49",2000-03-10,1104,6955557,0,0
"50",2000-03-13,1235,7781530,0,0
"51",2000-03-14,1380,8694447,0,0
"52",2000-03-15,1546,9737780,0,0
"53",2000-03-16,1546,9737780,0,0
"54",2000-03-17,1546,9737780,0,0
"55",2000-03-20,1546,9737780,0,0
"56",2000-03-21,1546,9737780,0,0
"57",2000-03-22,1546,9737780,0,0
"58",2000-03-23,1546,9737780,0,0
"59",2000-03-24,1546,9737780,0,0
"60",2000-03-27,1546,9737780,0,0
"61",2000-03-28,1546,9737780,0,0
"62",2000-03-29,1546,9737780,0,0
"63",2000-03-30,1546,9737780,0,0
"64",2000-03-31,1546,9737780,0,0
"65",2000-04-03,1546,9737780,0,0
"66",2000-04-04,1546,9737780,0,0
"67",2000-04-06,1546,9737780,0,0
"68",2000-04-07,1546,9737780,0,0
"69",2000-04-10,1394,8781391,0,0
"70",2000-04-11,1228,7738058,0,0
"71",2000-04-12,1374,8659669,0,0
"72",2000-04-14,1539,9694308,0,0
"73",2000-04-17,1718,10824586,0,0
"74",2000-04-18,1918,12085281,0,0
"75",2000-04-19,2146,13519865,0,0
"76",2000-04-20,2401,15128337,0,0
"77",2000-04-21,2684,16910699,0,0
"78",2000-04-24,2367,14910976,-33953,0
"79",2000-04-25,20172,13128615,-15,0
"80",2000-04-26,17767,11563614,0,0
"81",2000-04-27,15696,10215975,0,0
"82",2000-04-28,13826,8998752,-182141,0
"83",2000-05-02,12223,7955419,-38467,0
"84",2000-05-03,13626,8868336,-121178,0
"85",2000-05-04,12023,7825002,-18547,0
"86",2000-05-08,11462,7459835,-8316,0
"87",2000-05-09,11342,7381585,0,0
"88",2000-05-10,10620,6912085,0,0
"89",2000-05-12,11889,7738058,-8900,0
"90",2000-05-15,11221,7303335,0,0
"91",2000-05-16,9885,6433891,0,0
"92",2000-05-17,10153,6607779,-4800,0
"93",2000-05-18,8937,5816585,0,0
"94",2000-05-19,7868,5121029,0,0
"95",2000-05-22,6933,4512418,0,0
"96",2000-05-23,6105,3973362,0,0
"97",2000-05-24,5384,3503862,0,0
"98",2000-05-25,5477,3564723,0,0
"99",2000-05-26,4822,3138695,0,0
"100",2000-05-29,4248,2764834,0,0
"101",2000-05-30,4756,3095223,0,0
"102",2000-05-31,5317,3460390,0,0
"103",2000-06-01,5945,3869029,0,0
"104",2000-06-02,5878,3825557,0,0
"105",2000-06-05,6011,3912501,-18489,0
"106",2000-06-07,5290,3443001,-4759,0
"107",2000-06-08,4662,3034362,-12738,0
"108",2000-06-09,5210,3390834,0,0
"109",2000-06-12,5023,3269112,0,0
"110",2000-06-13,4542,2956112,0,0
"111",2000-06-14,5076,3303890,0,0
"112",2000-06-15,5009,3260418,0,0
"113",2000-06-16,4729,3077834,0,0
"114",2000-06-19,4355,2834390,0,0
"115",2000-06-20,4368,2843084,0,0
"116",2000-06-21,4448,2895251,0,0
"117",2000-06-22,4489,2921334,0,0
"118",2000-06-23,4301,2799612,0,0
"119",2000-06-26,4796,3121306,0,0
"120",2000-06-27,4809,3130001,0,0
"121",2000-06-28,5384,3503862,0,0
"122",2000-06-29,6025,3921195,0,0
"123",2000-06-30,6746,4390696,0,0
"124",2000-07-03,7548,4912362,0,0
"125",2000-07-04,8443,5494890,-18720,-8
"126",2000-07-05,7441,4842807,0,0
"127",2000-07-06,8322,5416640,0,0
"128",2000-07-07,9311,6060029,-13940,0
"129",2000-07-10,10420,6781668,0,0
"130",2000-07-11,10162,6007863,0,0
"131",2000-07-12,8956,5294918,0,0
"132",2000-07-13,10030,5929613,0,0
"133",2000-07-14,14142,6573002,0,0
"134",2000-07-18,13281,6173057,0,0
"135",2000-07-19,14553,6764280,0,0
"136",2000-07-20,12814,5955696,0,0
"137",2000-07-21,12159,5651390,0,0
"138",2000-07-24,13618,6329557,0,382
"139",2000-07-25,15245,7085974,0,0
"140",2000-07-26,17060,7929335,0,0
"141",2000-07-27,19080,8868336,-117493,-1
"142",2000-07-28,18332,8520558,-17659,557
"143",2000-07-31,16143,7503307,0,-1002
"144",2000-08-01,14404,6694724,0,0
"145",2000-08-02,13655,6346946,0,0
"146",2000-08-03,13655,6346946,0,0
"147",2000-08-04,12533,5825279,0,0
"148",2000-08-07,11953,5555751,0,0
"149",2000-08-08,12664,5886140,0,0
"150",2000-08-09,11149,5181890,0,0
"151",2000-08-10,10924,5077557,0,0
"152",2000-08-11,9615,4468946,0,0
"153",2000-08-14,8979,4173334,0,0
