"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,165791,277154,-42625,0
"4",2000-01-05,170911,285712,30164,0
"5",2000-01-06,165397,276495,20700,0
"6",2000-01-07,163822,273862,159068,0
"7",2000-01-10,170911,285712,1119,0
"8",2000-01-11,183512,306778,0,0
"9",2000-01-12,161853,270570,0,0
"10",2000-01-13,142557,238313,0,0
"11",2000-01-14,125623,210005,-25440,1780
"12",2000-01-17,113809,190255,-3975,-843
"13",2000-01-18,123260,206055,15275,-760
"14",2000-01-19,108690,181697,-42645,0
"15",2000-01-20,95694,159972,131973,0
"16",2000-01-21,98451,164581,-1300,0
"17",2000-01-24,110265,184330,-1555,0
"18",2000-01-25,112628,188280,64498,0
"19",2000-01-26,108690,181697,2879,0
"20",2000-01-27,108690,181697,0,0
"21",2000-01-28,108690,181697,0,0
"22",2000-01-31,115778,193547,106749,0
"23",2000-02-01,129561,216588,66701,0
"24",2000-02-02,144526,241604,-61580,0
"25",2000-02-03,144920,242263,147976,0
"26",2000-02-07,162247,271229,-51596,0
"27",2000-02-08,142950,238971,40701,3
"28",2000-02-09,144132,240946,94277,0
"29",2000-02-10,161065,269254,267178,0
"30",2000-02-11,180362,301512,-68722,4580
"31",2000-02-14,169335,283079,101801,0
"32",2000-02-15,165397,276495,163750,0
"33",2000-02-16,169335,283079,6676,0
"34",2000-02-17,189419,316653,-15271,-4530
"35",2000-02-18,204778,342328,62348,962
"36",2000-02-21,201627,337061,104773,0
"37",2000-02-22,180362,301512,133990,-925
"38",2000-02-23,172880,289003,95428,0
"39",2000-02-24,185087,309411,-176824,0
"40",2000-02-25,200840,335744,331819,-440
"41",2000-02-28,188238,314678,36631,0
"42",2000-02-29,210685,352202,-98365,-93
"43",2000-03-02,235888,394335,-1634768,2995
"44",2000-03-03,222892,372610,-51854,0
"45",2000-03-06,196508,328503,-15475,0
"46",2000-03-07,189025,315995,-138449,0
"47",2000-03-08,192570,321920,-43522,0
"48",2000-03-09,215410,360102,-193123,0
"49",2000-03-10,210291,351544,217811,0
"50",2000-03-13,235494,393677,82545,59700
"51",2000-03-14,244158,408160,77640,-66581
"52",2000-03-15,222892,372610,24137,0
"53",2000-03-16,207140,346278,45801,-2721
"54",2000-03-17,183512,306778,-101467,2450
"55",2000-03-20,161853,270570,-31639,0
"56",2000-03-21,145707,243579,-139367,910
"57",2000-03-22,163034,272545,-67822,0
"58",2000-03-23,166185,277812,23276,0
"59",2000-03-24,181149,302828,87192,0
"60",2000-03-27,202809,339036,1974,51411
"61",2000-03-28,196114,327844,-33558,0
"62",2000-03-29,176424,294928,-3332,0
"63",2000-03-30,192963,322578,78666,0
"64",2000-03-31,178787,298878,42002,0
"65",2000-04-03,159884,267279,-60731,28000
