"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,102000,8908,13639,0
"4",2000-01-05,90000,7860,-28048,0
"5",2000-01-06,84000,7336,-3425,0
"6",2000-01-07,81000,7074,3835,0
"7",2000-01-10,86400,7546,0,0
"8",2000-01-11,86400,7546,0,0
"9",2000-01-12,78000,6812,0,0
"10",2000-01-13,69600,6078,0,0
"11",2000-01-14,63000,5502,-27551,0
"12",2000-01-17,65700,5738,0,0
"13",2000-01-18,73500,6419,0,0
"14",2000-01-19,80400,7022,-14799,0
"15",2000-01-20,76200,6655,-12911,0
"16",2000-01-21,77400,6760,2285,0
"17",2000-01-24,75900,6629,-3862,0
"18",2000-01-25,72600,6340,-3390,11642
"19",2000-01-26,72000,6288,0,0
"20",2000-01-27,68400,5974,0,0
"21",2000-01-28,70800,6183,-5854,0
"22",2000-01-31,71400,6236,-230,0
"23",2000-02-01,73500,6419,-1098,0
"24",2000-02-02,82200,7179,-14613,0
"25",2000-02-03,88800,7755,-1312,0
"26",2000-02-07,99300,8672,-7955,0
"27",2000-02-08,107400,9380,40723,-17087
"28",2000-02-09,108600,9485,30790,0
"29",2000-02-10,109800,9589,12908,0
"30",2000-02-11,122700,10716,-74909,0
"31",2000-02-14,137400,12000,-82509,21
"32",2000-02-15,121200,10585,-30857,0
"33",2000-02-16,114000,9956,1842,0
"34",2000-02-17,127500,11135,0,0
"35",2000-02-18,137400,12000,5202,0
"36",2000-02-21,153600,13415,-1986,-23
"37",2000-02-22,149400,13048,-52704,13
"38",2000-02-23,131700,11502,-9504,0
"39",2000-02-24,140400,12262,-70294,0
"40",2000-02-25,131400,11476,-1079,0
"41",2000-02-28,147000,12838,2450,0
"42",2000-02-29,148200,12943,-31346,1270
"43",2000-03-02,143400,12524,36036,-638
"44",2000-03-03,144600,12629,0,-553
"45",2000-03-06,153600,13415,0,0
"46",2000-03-07,139800,12209,-35720,0
"47",2000-03-08,156300,13650,150566,0
"48",2000-03-09,172800,13722,-19997,0
"49",2000-03-10,168300,13364,109484,0
"50",2000-03-13,179100,14222,180965,512
"51",2000-03-14,193500,15366,156053,-529
"52",2000-03-15,192600,15294,72248,0
"53",2000-03-16,174600,13865,-6061,0
"54",2000-03-17,153900,12221,-26449,0
"55",2000-03-20,135450,10756,-5569,0
"56",2000-03-21,119700,9505,8418,0
"57",2000-03-22,122400,9720,-202829,0
"58",2000-03-23,112500,8933,-80325,0
"59",2000-03-24,111600,8862,-14418,0
"60",2000-03-27,124650,9898,-78875,0
"61",2000-03-28,129600,10291,-44487,-16
"62",2000-03-29,114750,9112,0,0
"63",2000-03-30,107100,8505,0,0
"64",2000-03-31,108900,8648,0,0
"65",2000-04-03,95850,7611,0,0
"66",2000-04-04,85500,6789,-67,0
"67",2000-04-06,86400,6861,0,0
"68",2000-04-07,96750,7683,0,2897
"69",2000-04-10,108000,8576,0,0
"70",2000-04-11,95400,7576,0,0
"71",2000-04-12,96300,7647,0,0
"72",2000-04-14,91800,7290,-686,0
"73",2000-04-17,81000,6432,0,0
"74",2000-04-18,75420,5989,0,0
"75",2000-04-19,78300,6218,735,0
"76",2000-04-20,87660,6961,-748,0
"77",2000-04-21,93150,7397,5946,0
"78",2000-04-24,84600,6718,0,0
"79",2000-04-25,84150,6682,0,0
"80",2000-04-26,84510,6711,0,0
"81",2000-04-27,81000,6432,0,0
"82",2000-04-28,81900,6504,0,-2614
"83",2000-05-02,85140,6761,19009,0
"84",2000-05-03,82800,6575,18157,0
"85",2000-05-04,84870,6739,8893,0
"86",2000-05-08,94950,7540,-21100,0
"87",2000-05-09,106200,8433,-16427,0
"88",2000-05-10,117000,9291,3080,1220
"89",2000-05-12,118800,9434,14250,-1321
"90",2000-05-15,104850,8326,27868,-2
"91",2000-05-16,110250,8755,-20491,0
"92",2000-05-17,117000,9291,91707,0
"93",2000-05-18,103050,8183,-24908,12100
"94",2000-05-19,92700,7361,28868,-10405
"95",2000-05-22,81900,6504,-13911,0
"96",2000-05-23,72090,5725,4203,1640
"97",2000-05-24,68400,5432,-9977,-1412
"98",2000-05-25,76590,6082,0,0
"99",2000-05-26,71100,5646,-5431,48631
"100",2000-05-29,79560,6318,0,0
"101",2000-05-30,82980,6589,4874,0
"102",2000-05-31,89100,7075,-19809,0
"103",2000-06-01,81450,6468,28983,0
"104",2000-06-02,77940,6189,-13272,0
"105",2000-06-05,87210,6925,-12525,0
"106",2000-06-07,89100,7075,-15097,0
"107",2000-06-08,78480,6232,-62804,92
"108",2000-06-09,80820,6418,29289,0
"109",2000-06-12,82620,6561,11934,-89
"110",2000-06-13,76320,6060,0,501
"111",2000-06-14,74430,5910,-4130,0
"112",2000-06-15,68850,5467,10979,0
"113",2000-06-16,69210,5496,-858,0
"114",2000-06-19,67050,5324,0,-76
"115",2000-06-20,68490,5439,0,0
"116",2000-06-21,70200,5574,-16269,0
"117",2000-06-22,71550,5682,0,0
"118",2000-06-23,69210,5496,0,0
"119",2000-06-26,70200,5574,0,0
"120",2000-06-27,78570,6239,33143,0
"121",2000-06-28,83700,6647,5110,-452
"122",2000-06-29,81000,6432,57611,0
"123",2000-06-30,83160,6604,19315,0
"124",2000-07-03,88380,7018,-69952,0
"125",2000-07-04,86400,6861,115692,6158
"126",2000-07-05,88380,7018,24314,0
"127",2000-07-06,85050,6754,10292,0
"128",2000-07-07,79740,6332,20,0
"129",2000-07-10,81450,6468,20302,0
"130",2000-07-11,81000,6432,83942,0
"131",2000-07-12,81450,6468,-11014,0
"132",2000-07-13,79200,6289,0,0
"133",2000-07-14,76410,6068,0,0
"134",2000-07-18,72000,5717,0,0
"135",2000-07-19,69300,5503,15270,0
"136",2000-07-20,67500,5360,0,0
"137",2000-07-21,66510,5281,0,0
"138",2000-07-24,58770,4667,0,0
"139",2000-07-25,57150,4538,0,0
"140",2000-07-26,60210,4781,0,0
"141",2000-07-27,58140,4617,0,0
"142",2000-07-28,58500,4645,0,0
"143",2000-07-31,57060,4531,-12578,0
"144",2000-08-01,60660,4817,0,100
"145",2000-08-02,61200,4860,0,7
"146",2000-08-03,65430,5196,0,-107
"147",2000-08-04,62730,4981,0,0
"148",2000-08-07,58950,4681,0,0
"149",2000-08-08,60750,4824,1134,0
"150",2000-08-09,59850,4753,0,66
"151",2000-08-10,61200,4860,0,13
"152",2000-08-11,60210,4781,0,0
"153",2000-08-14,60390,4795,1680,0
"154",2000-08-16,67590,5367,2128,50006
"155",2000-08-17,65160,5174,-12047,0
"156",2000-08-18,61650,4896,2775,14
"157",2000-08-21,60660,4817,0,0
"158",2000-08-22,61020,4846,-810,0
"159",2000-08-23,61650,4896,0,0
"160",2000-08-24,59040,4688,3304,0
"161",2000-08-25,58410,4638,0,0
"162",2000-08-28,63000,5003,0,0
"163",2000-08-29,60300,4788,0,0
"164",2000-08-30,59580,4731,0,0
"165",2000-08-31,58500,4645,0,0
"166",2000-09-01,57960,4603,0,0
"167",2000-09-04,56160,4460,0,0
"168",2000-09-05,56430,4481,0,0
"169",2000-09-06,58320,4631,-37530,0
"170",2000-09-07,54990,4367,0,0
"171",2000-09-08,52560,4174,0,0
"172",2000-09-14,49770,3952,0,0
"173",2000-09-15,44100,3502,0,51
"174",2000-09-18,38880,3087,0,0
"175",2000-09-19,34290,2723,0,0
"176",2000-09-20,36180,2873,0,-40
"177",2000-09-21,31860,2530,0,0
"178",2000-09-22,28080,2230,0,32
"179",2000-09-25,30420,2416,0,-33
"180",2000-09-26,32940,2616,0,0
"181",2000-09-27,36810,2923,-24540,0
"182",2000-09-28,41220,3273,-21747,0
"183",2000-09-29,42030,3338,-23765,0
"184",2000-10-02,39960,3173,0,-23
"185",2000-10-04,40500,3216,0,0
"186",2000-10-05,42660,3388,-7050,0
"187",2000-10-06,44100,3502,0,0
"188",2000-10-09,43560,3459,0,0
"189",2000-10-10,42300,3359,89,0
"190",2000-10-11,37260,2959,0,0
"191",2000-10-12,33570,2666,-38467,0
"192",2000-10-13,31950,2537,0,0
"193",2000-10-16,35730,2837,0,0
"194",2000-10-17,32760,2601,0,0
"195",2000-10-18,32310,2566,0,0
"196",2000-10-19,32850,2609,0,0
"197",2000-10-20,33300,2644,0,0
"198",2000-10-23,31590,2509,0,0
"199",2000-10-24,32220,2559,0,0
"200",2000-10-25,31500,2501,0,0
"201",2000-10-26,30600,2430,0,0
"202",2000-10-27,30960,2458,0,0
"203",2000-10-30,29160,2316,0,0
"204",2000-10-31,29700,2358,-935,0
"205",2000-11-01,31680,2516,0,0
"206",2000-11-02,35460,2816,-14261,0
"207",2000-11-03,34200,2716,-3945,0
"208",2000-11-06,37260,2959,-5026,26677
"209",2000-11-07,36450,2894,-8045,802
"210",2000-11-08,36360,2887,-2527,1084
"211",2000-11-09,36450,2894,-47,9193
"212",2000-11-10,40770,3237,0,0
"213",2000-11-13,38610,3066,-4701,0
"214",2000-11-14,39780,3159,-32,0
"215",2000-11-15,40500,3216,8553,0
"216",2000-11-16,41040,3259,897,0
"217",2000-11-17,39600,3145,0,0
"218",2000-11-20,37350,2966,-8583,0
"219",2000-11-21,36990,2937,6010,9100
"220",2000-11-22,38160,3030,-6350,0
"221",2000-11-23,35100,2787,0,0
"222",2000-11-24,35280,2802,0,0
"223",2000-11-27,39510,3137,0,0
"224",2000-11-28,36540,2902,0,-22689
"225",2000-11-29,33750,2680,0,-388
"226",2000-11-30,31950,2537,0,0
"227",2000-12-01,31500,2501,0,-25086
"228",2000-12-04,32940,2616,0,-43526
"229",2000-12-05,33480,2659,0,0
"230",2000-12-06,33210,2637,0,0
"231",2000-12-07,31230,2480,0,0
"232",2000-12-08,31410,2494,0,0
"233",2000-12-11,31500,2501,0,0
"234",2000-12-12,31140,2473,0,0
"235",2000-12-13,30870,2451,0,0
"236",2000-12-14,31680,2516,0,0
"237",2000-12-15,30240,2401,0,0
"238",2000-12-18,29700,2358,0,0
"239",2000-12-19,27270,2165,-455,0
"240",2000-12-20,24300,1930,0,0
"241",2000-12-21,22320,1772,0,0
"242",2000-12-22,21330,1694,0,0
"243",2000-12-26,21600,1715,0,0
"244",2001-01-02,23400,1858,0,0
"245",2001-01-03,24660,1958,0,0
"246",2001-01-04,27000,2144,0,0
"247",2001-01-05,26100,2073,0,0
"248",2001-01-08,26550,2108,0,0
"249",2001-01-09,28710,2280,0,0
"250",2001-01-10,25290,2008,-165,435
"251",2001-01-11,27810,2208,0,0
"252",2001-01-12,28440,2258,0,0
"253",2001-01-15,31500,2501,0,0
"254",2001-01-16,29250,2323,0,0
"255",2001-01-17,27000,2144,0,0
"256",2001-01-18,28800,2287,0,0
"257",2001-01-19,28710,2280,0,0
"258",2001-01-22,30960,2458,0,0
"259",2001-01-26,32040,2544,0,0
"260",2001-01-29,35820,2844,0,-597
"261",2001-01-30,37440,2973,-9630,0
"262",2001-01-31,35640,2830,0,0
"263",2001-02-01,35550,2823,0,0
"264",2001-02-02,33570,2666,0,0
"265",2001-02-05,29700,2358,0,0
"266",2001-02-06,30420,2416,0,0
"267",2001-02-07,28800,2287,0,0
"268",2001-02-08,29970,2380,0,0
"269",2001-02-09,30330,2408,0,0
"270",2001-02-12,30780,2444,0,0
"271",2001-02-13,33480,2659,0,0
