"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,491265,29499,-11324,0
"4",2000-01-05,483684,29044,-32553,-554022
"5",2000-01-06,509460,30592,-91205,528855
"6",2000-01-07,448810,26950,-25,-600399
"7",2000-01-10,436680,26222,28510,106871
"8",2000-01-11,477619,28680,-30504,303908
"9",2000-01-12,427583,25675,8426,128915
"10",2000-01-13,392709,23581,101413,-650
"11",2000-01-14,357835,21487,197910,-564038
"12",2000-01-17,368449,22124,64446,-21755
"13",2000-01-18,371481,22307,976,0
"14",2000-01-19,344189,20668,-139999,90910
"15",2000-01-20,354803,21305,10089,118584
"16",2000-01-21,360868,21669,44559,-11473
"17",2000-01-24,398774,23945,23278,92196
"18",2000-01-25,366933,22033,-27729,-129256
"19",2000-01-26,358593,21533,19629,-24078
"20",2000-01-27,342673,20577,40543,-1386
"21",2000-01-28,342673,20577,330528,-160317
"22",2000-01-31,356319,21396,152985,-14735
"23",2000-02-01,398774,23945,40554,121868
"24",2000-02-02,446536,26813,163358,130018
"25",2000-02-03,499604,30000,12179,734277
"26",2000-02-07,556500,33600,-50736,174152
"27",2000-02-08,622750,37600,-172746,970577
"28",2000-02-09,612813,37000,-240000,4221
"29",2000-02-10,548219,33100,-14373,-174334
"30",2000-02-11,587969,35500,294277,-122213
"31",2000-02-14,528344,31900,176072,2025
"32",2000-02-15,472031,28500,-268152,-615820
"33",2000-02-16,511781,30900,87630,-531
"34",2000-02-17,564781,34100,378848,18152
"35",2000-02-18,592938,35800,1185031,20426
"36",2000-02-21,564781,34100,809737,-485807
"37",2000-02-22,543250,32800,254211,1923
"38",2000-02-23,496875,30000,-74845,58009
"39",2000-02-24,556500,33600,-162362,146447
"40",2000-02-25,622750,37600,-330157,280656
"41",2000-02-28,599563,36200,342693,266656
"42",2000-02-29,670781,40500,684563,752
"43",2000-03-02,718813,43400,695283,75424
"44",2000-03-03,634344,38300,743381,11687
"45",2000-03-06,588797,35550,-627863,-106466
"46",2000-03-07,579688,35000,148673,-7181
"47",2000-03-08,581344,35100,-40703,-17148
"48",2000-03-09,589625,35600,269182,0
"49",2000-03-10,596250,36000,434368,57099
"50",2000-03-13,560641,33850,-16116,-43660
"51",2000-03-14,518406,31300,-118323,-110359
"52",2000-03-15,521719,31500,128812,-159269
"53",2000-03-16,490250,29600,-102421,-48904
"54",2000-03-17,497703,30050,-277219,775434
"55",2000-03-20,447188,27000,-5494,-3700
"56",2000-03-21,447188,27000,-149539,249140
"57",2000-03-22,490250,29600,-156560,166015
"58",2000-03-23,486938,29400,-168828,406888
"59",2000-03-24,486109,29350,-17133,131875
"60",2000-03-27,512609,30950,24429,580
"61",2000-03-28,500188,30200,94189,-1236
"62",2000-03-29,510125,30800,-11536,6489
"63",2000-03-30,480313,29000,-328823,-47547
"64",2000-03-31,467063,28200,-82793,316174
"65",2000-04-03,411578,24850,-70366,-141217
"66",2000-04-04,362719,21900,-1095,-51810
"67",2000-04-06,370172,22350,-966,224233
"68",2000-04-07,414063,25000,-128329,193617
"69",2000-04-10,463750,28000,80768,213753
"70",2000-04-11,408266,24650,-55396,-136111
"71",2000-04-12,407438,24600,-163399,-15825
"72",2000-04-14,375141,22650,-3526,-28549
"73",2000-04-17,330422,19950,4435,-5596
"74",2000-04-18,326281,19700,-128368,-392917
"75",2000-04-19,332906,20100,-73338,-144277
"76",2000-04-20,306406,18500,5105,-150869
"77",2000-04-21,342844,20700,8227,0
"78",2000-04-24,316344,19100,-27906,-3223
"79",2000-04-25,322969,19500,46882,16033
"80",2000-04-26,321313,19400,-30764,15016
"81",2000-04-27,301438,18200,12629,-225413
"82",2000-04-28,308063,18600,-12464,5298
"83",2000-05-02,322969,19500,128563,197
"84",2000-05-03,313859,18950,-2484,505
"85",2000-05-04,322969,19500,22996,5640
