"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,5986,38472,0,0
"4",2000-01-05,6849,44018,0,0
"5",2000-01-06,7335,47137,0,0
"6",2000-01-07,6580,42285,0,0
"7",2000-01-10,7119,45751,-1,0
"8",2000-01-11,7065,45404,0,0
"9",2000-01-12,6472,41591,0,0
"10",2000-01-13,6256,40205,-1,0
"11",2000-01-14,6094,39165,0,0
"12",2000-01-17,6148,39512,0,0
"13",2000-01-18,6256,40205,0,0
"14",2000-01-19,6040,38819,0,0
"15",2000-01-20,5393,34660,0,0
"16",2000-01-21,5393,34660,0,0
"17",2000-01-24,5717,36739,0,0
"18",2000-01-25,5609,36046,0,0
"19",2000-01-26,5717,36739,0,0
"20",2000-01-27,5771,37086,0,0
"21",2000-01-28,6202,39858,0,0
"22",2000-01-31,7119,45751,0,0
"23",2000-02-01,6903,44364,0,0
"24",2000-02-02,7227,46444,0,0
"25",2000-02-03,7227,46444,0,0
"26",2000-02-07,7065,45404,0,0
"27",2000-02-08,7065,45404,0,0
"28",2000-02-09,6741,43324,0,0
"29",2000-02-10,6256,40205,0,0
"30",2000-02-11,6040,38819,0,0
"31",2000-02-14,5986,38472,0,0
"32",2000-02-15,5932,38125,0,0
"33",2000-02-16,5986,38472,0,0
"34",2000-02-17,6040,38819,0,7
"35",2000-02-18,5932,38125,0,0
"36",2000-02-21,5932,38125,0,0
"37",2000-02-22,5771,37086,0,-89
"38",2000-02-23,6364,40898,0,0
"39",2000-02-24,5932,38125,-1,0
"40",2000-02-25,5932,38125,0,0
"41",2000-02-28,6148,39512,-1,0
"42",2000-02-29,6472,41591,0,0
"43",2000-03-02,6526,41938,0,0
"44",2000-03-03,7335,47137,0,0
"45",2000-03-06,7335,47137,0,0
"46",2000-03-07,8359,53722,0,0
"47",2000-03-08,8198,52682,0,0
"48",2000-03-09,7982,51296,0,0
"49",2000-03-10,7442,47830,0,0
"50",2000-03-13,8521,54762,0,0
"51",2000-03-14,8629,55455,0,0
"52",2000-03-15,8413,54069,0,0
"53",2000-03-16,7227,46444,0,0
"54",2000-03-17,7658,49217,0,0
"55",2000-03-20,7550,48523,0,0
"56",2000-03-21,7227,46444,0,0
