"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,15688,11017,0,0
"4",2000-01-05,14840,10421,0,0
"5",2000-01-06,15052,10570,0,0
"6",2000-01-07,14628,10273,0,0
"7",2000-01-10,14681,10310,0,0
"8",2000-01-11,14098,9900,0,0
"9",2000-01-12,13780,9677,0,0
"10",2000-01-13,13621,9565,0,0
"11",2000-01-14,13780,9677,0,0
"12",2000-01-17,13356,9379,0,0
"13",2000-01-18,13992,9826,0,0
"14",2000-01-19,13621,9565,0,0
"15",2000-01-20,12826,9007,0,0
"16",2000-01-21,12826,9007,0,0
"17",2000-01-24,13462,9454,0,0
"18",2000-01-25,13303,9342,0,0
"19",2000-01-26,13462,9454,0,0
"20",2000-01-27,13780,9677,-88,0
"21",2000-01-28,13780,9677,-88,0
"22",2000-01-31,13780,9677,0,0
"23",2000-02-01,13780,9677,0,0
"24",2000-02-02,13356,9379,0,0
"25",2000-02-03,13356,9379,0,0
"26",2000-02-07,13356,9379,0,126
"27",2000-02-08,13674,9603,-89,0
"28",2000-02-09,13674,9603,0,0
"29",2000-02-10,13038,9156,0,-123
"30",2000-02-11,13250,9305,0,0
"31",2000-02-14,13250,9305,0,0
"32",2000-02-15,11713,8225,0,0
"33",2000-02-16,12720,8933,0,0
"34",2000-02-17,12614,8858,0,0
"35",2000-02-18,12614,8858,0,0
"36",2000-02-21,11130,7816,0,0
"37",2000-02-22,11448,8039,0,0
"38",2000-02-23,11978,8412,-1014,0
"39",2000-02-24,10812,7593,0,0
"40",2000-02-25,12402,8709,0,0
"41",2000-02-28,14257,10012,0,0
"42",2000-02-29,13568,9528,0,0
"43",2000-03-02,13462,9454,0,0
"44",2000-03-03,13091,9193,0,0
"45",2000-03-06,14310,10049,-179,0
"46",2000-03-07,13727,9640,0,0
"47",2000-03-08,13780,9677,0,0
"48",2000-03-09,14310,10049,0,0
"49",2000-03-10,13356,9379,0,0
"50",2000-03-13,15317,10756,0,0
"51",2000-03-14,15688,11017,0,0
"52",2000-03-15,15370,10794,0,0
"53",2000-03-16,15370,10794,0,0
"54",2000-03-17,15264,10719,0,0
"55",2000-03-20,15158,10645,0,0
"56",2000-03-21,13780,9677,0,0
"57",2000-03-22,14257,10012,0,0
"58",2000-03-23,13356,9379,0,0
"59",2000-03-24,13886,9751,0,0
"60",2000-03-27,13992,9826,0,0
"61",2000-03-28,13992,9826,-39,0
"62",2000-03-29,13250,9305,-37,0
"63",2000-03-30,13674,9603,0,0
"64",2000-03-31,12508,8784,0,0
"65",2000-04-03,12190,8560,-34,0
"66",2000-04-04,11872,8337,0,0
"67",2000-04-06,11872,8337,0,0
"68",2000-04-07,11872,8337,0,0
"69",2000-04-10,12932,9082,0,0
"70",2000-04-11,12826,9007,0,0
"71",2000-04-12,12455,8747,0,0
"72",2000-04-14,11660,8188,0,0
"73",2000-04-17,9911,6960,0,0
"74",2000-04-18,10070,7072,-47,0
"75",2000-04-19,10653,7481,0,0
"76",2000-04-20,10918,7667,0,0
"77",2000-04-21,10812,7593,0,0
"78",2000-04-24,10653,7481,0,0
"79",2000-04-25,10494,7369,0,0
"80",2000-04-26,10187,7154,0,0
"81",2000-04-27,10271,7213,0,0
"82",2000-04-28,10081,7079,-67,0
"83",2000-05-02,10112,7101,0,0
"84",2000-05-03,10282,7221,0,0
"85",2000-05-04,10600,7444,0,0
"86",2000-05-08,10971,7704,-10,0
"87",2000-05-09,10918,7667,-10,0
"88",2000-05-10,10483,7362,0,0
"89",2000-05-12,10812,7593,0,0
"90",2000-05-15,10314,7243,-10,0
"91",2000-05-16,10812,7593,0,0
"92",2000-05-17,10070,7072,-10,0
"93",2000-05-18,10144,7124,0,0
"94",2000-05-19,9243,6491,0,0
"95",2000-05-22,9529,6692,0,0
"96",2000-05-23,9264,6506,0,0
"97",2000-05-24,9741,6841,-8,0
"98",2000-05-25,9805,6886,-9,0
"99",2000-05-26,8660,6082,0,0
"100",2000-05-29,8618,6052,-23,0
"101",2000-05-30,9233,6484,0,0
"102",2000-05-31,9487,6662,0,0
"103",2000-06-01,9529,6692,0,0
"104",2000-06-02,9678,6796,0,0
"105",2000-06-05,10388,7295,10,0
"106",2000-06-07,10059,7064,0,0
"107",2000-06-08,9964,6997,0,0
"108",2000-06-09,9381,6588,-18,0
"109",2000-06-12,9625,6759,0,0
"110",2000-06-13,9222,6476,0,0
"111",2000-06-14,9201,6461,-9,0
"112",2000-06-15,9010,6327,0,0
"113",2000-06-16,9042,6350,0,0
"114",2000-06-19,9264,6506,0,0
"115",2000-06-20,8915,6260,0,0
"116",2000-06-21,9116,6402,0,0
"117",2000-06-22,8968,6298,0,0
"118",2000-06-23,9010,6327,-59,0
"119",2000-06-26,9763,6856,0,0
"120",2000-06-27,9943,6982,0,0
"121",2000-06-28,9540,6699,19,0
"122",2000-06-29,9540,6699,0,0
"123",2000-06-30,9233,6484,0,0
"124",2000-07-03,10059,7064,-9,0
