"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,12498,53484,0,0
"4",2000-01-05,14365,61473,0,0
"5",2000-01-06,16510,70652,0,0
"6",2000-01-07,17899,76594,0,0
"7",2000-01-10,18516,79235,4440,0
"8",2000-01-11,19750,84518,0,0
"9",2000-01-12,18979,81216,0,0
"10",2000-01-13,19905,85178,-12,0
"11",2000-01-14,19905,85178,0,0
"12",2000-01-17,19442,83197,0,0
"13",2000-01-18,18824,80556,0,0
"14",2000-01-19,18207,77915,0,0
"15",2000-01-20,18207,77915,0,0
"16",2000-01-21,18362,78575,0,0
"17",2000-01-24,19750,84518,0,0
"18",2000-01-25,19596,83857,0,0
"19",2000-01-26,21370,91451,0,0
"20",2000-01-27,21448,91781,1385,0
"21",2000-01-28,21293,91121,0,0
"22",2000-01-31,20676,88479,0,0
"23",2000-02-01,21139,90460,0,0
"24",2000-02-02,21602,92441,0,0
"25",2000-02-03,22065,94422,0,0
"26",2000-02-07,21602,92441,0,0
"27",2000-02-08,21216,90790,0,0
"28",2000-02-09,19905,85178,0,0
"29",2000-02-10,22836,97724,-25,0
"30",2000-02-11,19750,84518,-42,0
"31",2000-02-14,17127,73293,-3207,0
"32",2000-02-15,15893,68010,-2240,0
"33",2000-02-16,16201,69331,0,0
"34",2000-02-17,16973,72632,0,0
"35",2000-02-18,17281,73953,0,0
"36",2000-02-21,16047,68671,0,0
"37",2000-02-22,16433,70321,0,0
"38",2000-02-23,16664,71312,0,0
"39",2000-02-24,16356,69991,-21,0
"40",2000-02-25,15893,68010,0,0
"41",2000-02-28,16973,72632,0,0
"42",2000-02-29,16664,71312,0,0
"43",2000-03-02,16279,69661,0,0
"44",2000-03-03,16819,71972,0,0
"45",2000-03-06,17436,74613,-2320,0
"46",2000-03-07,17899,76594,-12,0
"47",2000-03-08,18670,79896,0,0
"48",2000-03-09,21448,91781,0,0
"49",2000-03-10,20059,85838,0,0
"50",2000-03-13,21293,91121,-28,0
"51",2000-03-14,18824,80556,-13,0
"52",2000-03-15,19210,82207,0,0
"53",2000-03-16,18053,77254,0,0
"54",2000-03-17,18130,77585,0,0
"55",2000-03-20,17667,75604,0,0
"56",2000-03-21,17281,73953,0,0
"57",2000-03-22,17127,73293,0,0
"58",2000-03-23,18053,77254,0,0
"59",2000-03-24,18516,79235,-48,0
"60",2000-03-27,19519,83527,0,0
"61",2000-03-28,18670,79896,-10152,0
"62",2000-03-29,18284,78245,0,0
"63",2000-03-30,17015,72656,0,0
"64",2000-03-31,16852,71957,-41,0
"65",2000-04-03,16852,71957,0,0
"66",2000-04-04,15543,66368,0,0
"67",2000-04-06,14398,61478,0,0
"68",2000-04-07,14888,63574,0,0
"69",2000-04-10,15494,66159,0,0
"70",2000-04-11,15036,64203,0,0
"71",2000-04-12,14561,62177,0,0
"72",2000-04-14,14381,61408,0,0
"73",2000-04-17,12631,53933,0,0
"74",2000-04-18,13334,56937,-8,0
"75",2000-04-19,15330,65460,0,0
"76",2000-04-20,14398,61478,457,0
"77",2000-04-21,14676,62666,-9,0
"78",2000-04-24,14398,61478,0,0
"79",2000-04-25,14398,61478,0,0
"80",2000-04-26,14365,61338,4411,0
"81",2000-04-27,14398,61478,5526,0
"82",2000-04-28,13907,59382,0,0
"83",2000-05-02,13989,59732,0,0
"84",2000-05-03,13907,59382,0,0
"85",2000-05-04,14250,60849,-471,0
"86",2000-05-08,14398,61478,0,0
"87",2000-05-09,14479,61827,0,0
"88",2000-05-10,14479,61827,0,0
"89",2000-05-12,14152,60430,0,0
"90",2000-05-15,13907,59382,0,0
"91",2000-05-16,13089,55889,0,0
"92",2000-05-17,12516,53444,0,0
"93",2000-05-18,11453,48903,0,0
"94",2000-05-19,10798,46109,0,0
"95",2000-05-22,9817,41917,0,0
"96",2000-05-23,9653,41218,0,0
"97",2000-05-24,10144,43314,0,0
"98",2000-05-25,10962,46807,0,0
"99",2000-05-26,9751,41637,0,0
"100",2000-05-29,10029,42825,0,0
"101",2000-05-30,10635,45410,0,0
"102",2000-05-31,11436,48833,-7,0
"103",2000-06-01,10684,45620,0,0
"104",2000-06-02,11093,47366,0,0
"105",2000-06-05,11927,50929,0,0
"106",2000-06-07,13710,58544,0,0
"107",2000-06-08,13252,56588,0,0
"108",2000-06-09,12271,52396,0,0
"109",2000-06-12,12385,52885,0,0
"110",2000-06-13,11780,50300,0,0
"111",2000-06-14,11763,50230,0,0
"112",2000-06-15,11436,48833,0,0
"113",2000-06-16,10962,46807,0,0
"114",2000-06-19,10798,46109,0,0
"115",2000-06-20,11044,47157,0,0
"116",2000-06-21,12696,54213,0,0
"117",2000-06-22,12680,54143,0,0
"118",2000-06-23,12123,51767,0,0
"119",2000-06-26,13416,57286,0,0
"120",2000-06-27,13056,55749,0,0
"121",2000-06-28,14152,60430,0,0
"122",2000-06-29,13252,56588,0,0
"123",2000-06-30,13580,57985,-16,0
"124",2000-07-03,13580,57985,0,0
"125",2000-07-04,13661,58334,0,0
"126",2000-07-05,13252,56588,0,0
"127",2000-07-06,13089,55889,0,0
"128",2000-07-07,13252,56588,0,0
"129",2000-07-10,13367,57077,0,0
"130",2000-07-11,13089,55889,0,0
"131",2000-07-12,12761,54492,0,0
"132",2000-07-13,12696,54213,0,0
"133",2000-07-14,12336,52676,-458,0
"134",2000-07-18,12193,52047,0,0
"135",2000-07-19,11620,49602,-97,0
"136",2000-07-20,11129,47506,-86,0
"137",2000-07-21,11211,47855,0,0
"138",2000-07-24,10638,45410,0,0
"139",2000-07-25,10621,45340,-13,0
"140",2000-07-26,10801,46109,-20,0
"141",2000-07-27,10769,45969,-6,0
"142",2000-07-28,10360,44222,0,0
"143",2000-07-31,10409,44432,0,0
"144",2000-08-01,11096,47366,-176,0
"145",2000-08-02,10867,46388,0,0
"146",2000-08-03,10965,46807,0,0
"147",2000-08-04,11014,47017,-13,0
"148",2000-08-07,10441,44572,0,0
"149",2000-08-08,10147,43314,-384,0
"150",2000-08-09,10556,45061,-13,0
"151",2000-08-10,10801,46109,-6,0
"152",2000-08-11,10965,46807,0,0
"153",2000-08-14,11554,49322,0,94
"154",2000-08-16,11571,49392,-21,0
"155",2000-08-17,11292,48204,-14,-90
"156",2000-08-18,11227,47925,0,0
"157",2000-08-21,10720,45759,-7,0
"158",2000-08-22,10638,45410,0,0
"159",2000-08-23,10752,45899,0,0
"160",2000-08-24,10785,46039,0,0
"161",2000-08-25,10965,46807,0,0
"162",2000-08-28,11440,48833,0,0
"163",2000-08-29,11783,50300,0,0
"164",2000-08-30,11227,47925,-55,0
"165",2000-08-31,10965,46807,-14,0
"166",2000-09-01,12013,51278,-7,0
"167",2000-09-04,13813,58963,-24,0
"168",2000-09-05,12913,55121,740,0
"169",2000-09-06,12978,55400,-809,0
"170",2000-09-07,13404,57217,0,0
"171",2000-09-08,12127,51767,-16,0
"172",2000-09-14,11456,48903,0,0
"173",2000-09-15,11636,49672,-7,0
"174",2000-09-18,11292,48204,0,0
"175",2000-09-19,12274,52396,0,0
"176",2000-09-20,13502,57636,-88,0
"177",2000-09-21,13911,59382,-8,0
"178",2000-09-22,13420,57286,-18,0
"179",2000-09-25,14729,62875,-8,0
"180",2000-09-26,13829,59033,-27,0
"181",2000-09-27,13175,56239,-9,0
"182",2000-09-28,13256,56588,0,0
"183",2000-09-29,13093,55889,0,0
"184",2000-10-02,12847,54841,0,0
"185",2000-10-04,13976,59662,-8,0
"186",2000-10-05,13747,58684,0,0
"187",2000-10-06,12945,55260,0,-119
"188",2000-10-09,12618,53863,0,0
"189",2000-10-10,12111,51698,0,0
"190",2000-10-11,11440,48833,-15,0
"191",2000-10-12,11783,50300,-7,0
"192",2000-10-13,11096,47366,-13,0
"193",2000-10-16,11702,49951,0,0
"194",2000-10-17,11538,49252,-7,0
"195",2000-10-18,11194,47785,-7,0
"196",2000-10-19,11145,47576,0,0
"197",2000-10-20,11538,49252,-7,0
"198",2000-10-23,11783,50300,0,0
"199",2000-10-24,11292,48204,0,0
"200",2000-10-25,10867,46388,0,0
"201",2000-10-26,10720,45759,0,0
"202",2000-10-27,10556,45061,-13,0
"203",2000-10-30,9820,41917,0,0
"204",2000-10-31,9656,41218,0,0
"205",2000-11-01,9983,42616,0,0
"206",2000-11-02,9721,41498,0,0
"207",2000-11-03,9509,40590,0,0
"208",2000-11-06,10147,43314,0,0
"209",2000-11-07,9934,42406,-13,0
"210",2000-11-08,9918,42336,-6,0
"211",2000-11-09,9869,42126,0,0
"212",2000-11-10,9836,41987,0,0
"213",2000-11-13,9869,42126,0,0
"214",2000-11-14,9901,42266,-12,0
"215",2000-11-15,9852,42057,0,0
"216",2000-11-16,9820,41917,0,0
"217",2000-11-17,9934,42406,-6,0
"218",2000-11-20,9770,41707,0,0
"219",2000-11-21,9820,41917,0,0
"220",2000-11-22,9934,42406,-72,0
"221",2000-11-23,9820,41917,0,0
"222",2000-11-24,10311,44013,0,0
"223",2000-11-27,10311,44013,0,0
"224",2000-11-28,10065,42965,-6,0
"225",2000-11-29,9918,42336,0,0
"226",2000-11-30,10311,44013,0,0
"227",2000-12-01,11440,48833,0,0
"228",2000-12-04,12929,55191,683,0
"229",2000-12-05,11129,47506,2397,0
"230",2000-12-06,10392,44362,-193,0
"231",2000-12-07,10343,44152,163,0
"232",2000-12-08,9918,42336,0,0
"233",2000-12-11,9885,42196,186,0
"234",2000-12-12,9820,41917,-6,0
"235",2000-12-13,10081,43035,244,0
"236",2000-12-14,9901,42266,-616,0
"237",2000-12-15,9885,42196,0,0
"238",2000-12-18,9770,41707,-6,0
"239",2000-12-19,10294,43943,-6,0
"240",2000-12-20,9656,41218,0,0
"241",2000-12-21,8936,38144,0,0
"242",2000-12-22,8003,34162,0,0
