"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,27049,6655,1435,0
"4",2000-01-05,25667,6315,0,0
"5",2000-01-06,24483,6024,0,0
"6",2000-01-07,25667,6315,-24,0
"7",2000-01-10,25568,6291,0,0
"8",2000-01-11,24680,6072,0,0
"9",2000-01-12,25174,6194,0,0
"10",2000-01-13,25075,6169,-12,0
"11",2000-01-14,26852,6607,-51,0
"12",2000-01-17,27642,6801,1444,0
"13",2000-01-18,25075,6169,0,0
"14",2000-01-19,23397,5756,0,0
"15",2000-01-20,22212,5465,0,0
"16",2000-01-21,22113,5441,0,0
"17",2000-01-24,23199,5708,-43879,2369
"18",2000-01-25,21324,5246,-10085,0
"19",2000-01-26,21225,5222,-15919,-645
"20",2000-01-27,22706,5586,0,0
"21",2000-01-28,22508,5538,0,0
"22",2000-01-31,23100,5684,2375,0
"23",2000-02-01,23693,5829,2443,0
"24",2000-02-02,25766,6339,1276,0
"25",2000-02-03,24976,6145,-4556,0
"26",2000-02-07,24680,6072,1258,0
"27",2000-02-08,23594,5805,598,0
"28",2000-02-09,22508,5538,0,0
"29",2000-02-10,22113,5441,0,0
"30",2000-02-11,22508,5538,-11,0
"31",2000-02-14,19843,4882,503,0
"32",2000-02-15,20731,5101,-2996,0
"33",2000-02-16,19468,4790,0,0
"34",2000-02-17,18757,4615,-13873,0
"35",2000-02-18,18737,4610,-913,270
"36",2000-02-21,17454,4294,0,0
"37",2000-02-22,17276,4251,0,0
"38",2000-02-23,19843,4882,1005,0
"39",2000-02-24,18362,4518,2687,0
"40",2000-02-25,20139,4955,0,0
"41",2000-02-28,23100,5684,2240,-331
"42",2000-02-29,26260,6461,2590,0
"43",2000-03-02,26062,6412,4695,-1799
"44",2000-03-03,25470,6267,3690,0
"45",2000-03-06,29221,7189,14815,0
"46",2000-03-07,29122,7165,4396,0
"47",2000-03-08,27444,6752,10630,0
"48",2000-03-09,25667,6315,4660,0
"49",2000-03-10,27642,6801,12462,0
"50",2000-03-13,31788,7821,8000,0
"51",2000-03-14,30801,7578,2190,0
"52",2000-03-15,30011,7384,0,0
"53",2000-03-16,27642,6801,5403,0
"54",2000-03-17,25272,6218,-8357,0
"55",2000-03-20,26358,6485,-2387,0
"56",2000-03-21,23693,5829,-5213,0
"57",2000-03-22,25174,6194,0,0
"58",2000-03-23,24779,6096,0,0
"59",2000-03-24,25470,6267,-9051,0
"60",2000-03-27,26062,6412,-41,0
"61",2000-03-28,26556,6534,-13284,0
"62",2000-03-29,26457,6509,-4890,0
"63",2000-03-30,24088,5926,0,0
"64",2000-03-31,23495,5781,-71,0
"65",2000-04-03,21718,5344,0,0
"66",2000-04-04,20040,4931,-11,0
"67",2000-04-06,20238,4979,-2579,0
"68",2000-04-07,20336,5003,-9779,0
"69",2000-04-10,22409,5514,0,0
"70",2000-04-11,20731,5101,0,0
"71",2000-04-12,20139,4955,2633,0
"72",2000-04-14,20139,4955,0,0
