"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,31200,3900,0,0
"4",2000-01-05,31200,3900,0,0
"5",2000-01-06,29680,3710,0,0
"6",2000-01-07,30000,3750,0,0
"7",2000-01-10,28960,3620,0,0
"8",2000-01-11,29200,3650,-10950,0
"9",2000-01-12,32800,4100,97590,0
"10",2000-01-13,32000,4000,1998,0
"11",2000-01-14,32000,4000,520,0
"12",2000-01-17,32000,4000,200,0
"13",2000-01-18,31120,3890,0,0
"14",2000-01-19,29600,3700,0,0
"15",2000-01-20,28080,3510,-2808,0
"16",2000-01-21,28000,3500,-4536,0
"17",2000-01-24,28000,3500,-1752,0
"18",2000-01-25,28560,3570,0,0
"19",2000-01-26,28480,3560,0,0
"20",2000-01-27,29600,3700,0,0
"21",2000-01-28,30320,3790,1145,0
"22",2000-01-31,30320,3790,2621,0
"23",2000-02-01,31200,3900,0,0
"24",2000-02-02,31200,3900,-5264,0
"25",2000-02-03,31200,3900,-508,0
"26",2000-02-07,31200,3900,0,0
"27",2000-02-08,30080,3760,0,0
"28",2000-02-09,30000,3750,-1918,0
"29",2000-02-10,28800,3600,-75,0
"30",2000-02-11,27920,3490,-2290,0
"31",2000-02-14,28000,3500,-15175,17137
"32",2000-02-15,26400,3300,-1700,0
"33",2000-02-16,27840,3480,-3300,0
"34",2000-02-17,25360,3170,0,0
"35",2000-02-18,25920,3240,-3952,0
"36",2000-02-21,25920,3240,0,0
"37",2000-02-22,25600,3200,0,0
"38",2000-02-23,24800,3100,0,0
"39",2000-02-24,24800,3100,-3893,0
"40",2000-02-25,26400,3300,-3929,0
"41",2000-02-28,29040,3630,-1685,0
"42",2000-02-29,26800,3350,0,0
"43",2000-03-02,26800,3350,-1690,0
"44",2000-03-03,26560,3320,0,0
"45",2000-03-06,27280,3410,-3400,0
"46",2000-03-07,26480,3310,-10662,0
"47",2000-03-08,25760,3220,-32763,0
