"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,927,149813,0,0
"4",2000-01-05,4066,163763,-3,0
"5",2000-01-06,3779,152239,0,0
"6",2000-01-07,4216,169828,0,0
"7",2000-01-10,3584,144354,0,0
"8",2000-01-11,3087,124338,0,0
"9",2000-01-12,2635,106143,0,0
"10",2000-01-13,2259,90979,-2,0
"11",2000-01-14,1927,77636,0,0
"12",2000-01-17,2063,83094,-1,0
"13",2000-01-18,1882,75816,-1,0
"14",2000-01-19,1604,64595,-1,0
"15",2000-01-20,1378,55497,0,0
"16",2000-01-21,1566,63079,0,0
"17",2000-01-24,1799,72480,0,0
"18",2000-01-25,1807,72783,0,0
"19",2000-01-26,1882,75816,0,0
"20",2000-01-27,1807,72783,0,0
"21",2000-01-28,1845,74300,0,0
"22",2000-01-31,1882,75816,-1,0
"23",2000-02-01,1914,75816,0,0
"24",2000-02-02,1991,78849,0,0
"25",2000-02-03,1914,75816,0,0
"26",2000-02-07,1991,78849,-1,0
"27",2000-02-08,1960,77636,-1,0
"28",2000-02-09,1960,77636,0,0
"29",2000-02-10,1929,76423,0,0
"30",2000-02-11,1684,66718,-1,0
"31",2000-02-14,1684,66718,0,0
"32",2000-02-15,1547,61259,0,0
"33",2000-02-16,1769,70054,0,0
"34",2000-02-17,1883,74603,0,0
"35",2000-02-18,1608,63686,0,0
"36",2000-02-21,1524,60350,0,0
"37",2000-02-22,1317,52161,0,0
"38",2000-02-23,1485,58833,0,0
"39",2000-02-24,1455,57620,-4,0
"40",2000-02-25,1378,54588,0,0
"41",2000-02-28,1447,57317,0,0
"42",2000-02-29,1371,54284,0,0
"43",2000-03-02,1332,52768,-83,0
"44",2000-03-03,1348,53375,0,0
"45",2000-03-06,1547,61259,-1,0
"46",2000-03-07,1776,70357,0,0
"47",2000-03-08,2037,80668,0,0
"48",2000-03-09,2335,92496,0,0
"49",2000-03-10,2680,106143,0,0
"50",2000-03-13,3078,121912,-2181,0
"51",2000-03-14,3537,140108,0,0
"52",2000-03-15,4066,161033,0,0
"53",2000-03-16,4517,178926,-3,0
"54",2000-03-17,3966,157091,-5,0
"55",2000-03-20,3376,133740,0,0
"56",2000-03-21,2879,114027,-6,0
"57",2000-03-22,3308,131010,-4,0
"58",2000-03-23,3798,150419,0,0
"59",2000-03-24,4364,172861,0,0
"60",2000-03-27,5007,198335,0,0
"61",2000-03-28,4257,168615,-3,0
"62",2000-03-29,4425,175287,-3,0
"63",2000-03-30,4425,175287,0,0
"64",2000-03-31,4900,194089,-3,0
"65",2000-04-03,5053,200155,-7,0
"66",2000-04-04,4594,181959,-3,0
"67",2000-04-06,4594,181959,0,0
"68",2000-04-07,4987,155271,0,0
"69",2000-04-10,5240,163156,0,0
"70",2000-04-11,4461,138895,0,0
"71",2000-04-12,4052,126158,0,0
"72",2000-04-14,4383,136469,0,0
"73",2000-04-17,3799,118273,0,0
"74",2000-04-18,3799,118273,0,0
"75",2000-04-19,4363,135862,0,0
"76",2000-04-20,4578,142534,0,0
"77",2000-04-21,4276,133133,-2,0
"78",2000-04-24,3643,113421,0,0
"79",2000-04-25,3584,111601,0,0
"80",2000-04-26,3214,100077,-2,0
"81",2000-04-27,3195,99471,-2,0
"82",2000-04-28,3312,103110,0,0
"83",2000-05-02,3662,114027,0,0
"84",2000-05-03,3312,103110,-2,0
"85",2000-05-04,3312,103110,0,0
"86",2000-05-08,3019,94012,0,0
"87",2000-05-09,3273,101897,0,0
"88",2000-05-10,2786,86734,0,0
"89",2000-05-12,2552,79455,0,0
"90",2000-05-15,2338,72783,0,0
"91",2000-05-16,2152,67021,0,0
"92",2000-05-17,2143,66718,0,0
"93",2000-05-18,1851,57620,0,0
"94",2000-05-19,1656,51555,0,0
"95",2000-05-22,1851,57620,0,0
"96",2000-05-23,1656,51555,0,0
"97",2000-05-24,1519,47309,0,0
"98",2000-05-25,1743,54284,0,0
"99",2000-05-26,1997,62169,0,0
"100",2000-05-29,2289,71267,0,0
"101",2000-05-30,2630,81881,0,0
"102",2000-05-31,3019,94012,0,0
"103",2000-06-01,2844,88553,0,0
"104",2000-06-02,2435,75816,0,0
"105",2000-06-05,2532,78849,0,0
"106",2000-06-07,2425,75513,-1,0
"107",2000-06-08,2221,69144,0,0
"108",2000-06-09,2552,79455,-2,0
"109",2000-06-12,2932,91283,0,0
"110",2000-06-13,3292,102503,0,0
"111",2000-06-14,3779,117667,0,0
"112",2000-06-15,3740,116454,0,0
"113",2000-06-16,4091,127371,-2,0
"114",2000-06-19,4052,126158,0,0
"115",2000-06-20,3974,123732,0,0
"116",2000-06-21,3380,105233,0,0
"117",2000-06-22,2873,89463,0,0
"118",2000-06-23,2532,78849,0,0
"119",2000-06-26,2250,70054,0,0
"120",2000-06-27,2338,72783,0,0
"121",2000-06-28,2513,78242,0,0
"122",2000-06-29,2377,73997,0,0
"123",2000-06-30,2299,71570,0,0
