"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,6726,1047,0,0
"4",2000-01-05,6300,981,0,0
"5",2000-01-06,6811,1060,-4,0
"6",2000-01-07,6573,1023,-7,0
"7",2000-01-10,6811,1060,0,0
"8",2000-01-11,6471,1007,0,0
"9",2000-01-12,6130,954,0,0
"10",2000-01-13,6777,1055,-4,0
"11",2000-01-14,7067,1100,0,0
"12",2000-01-17,6760,1052,0,0
"13",2000-01-18,6300,981,0,0
"14",2000-01-19,6471,1007,0,0
"15",2000-01-20,5943,925,0,0
"16",2000-01-21,6522,1015,0,0
"17",2000-01-24,5960,928,0,0
"18",2000-01-25,5960,928,0,0
"19",2000-01-26,6215,967,-7,0
"20",2000-01-27,6198,965,0,0
"21",2000-01-28,6215,967,0,0
"22",2000-01-31,5789,901,0,0
"23",2000-02-01,5755,896,0,0
"24",2000-02-02,6130,954,0,0
"25",2000-02-03,5909,920,0,0
"26",2000-02-07,6445,1003,0,0
"27",2000-02-08,6130,954,-4,0
"28",2000-02-09,6215,967,0,0
"29",2000-02-10,5960,928,0,0
"30",2000-02-11,5619,875,0,0
"31",2000-02-14,5449,848,0,0
"32",2000-02-15,5440,847,0,0
"33",2000-02-16,5279,822,0,0
"34",2000-02-17,5108,795,0,0
"35",2000-02-18,5176,806,0,0
"36",2000-02-21,4768,742,0,0
"37",2000-02-22,5091,792,0,0
"38",2000-02-23,5023,782,0,0
"39",2000-02-24,5091,792,-6,0
"40",2000-02-25,5849,910,0,0
"41",2000-02-28,5977,930,0,0
"42",2000-02-29,5789,901,0,0
"43",2000-03-02,5960,928,-6,0
"44",2000-03-03,5449,848,0,0
"45",2000-03-06,5466,851,0,0
"46",2000-03-07,5534,861,0,0
"47",2000-03-08,6283,978,0,0
"48",2000-03-09,5789,901,-4,0
"49",2000-03-10,5789,901,0,0
"50",2000-03-13,5943,925,0,0
"51",2000-03-14,6215,967,0,0
"52",2000-03-15,5960,928,0,0
"53",2000-03-16,5960,928,0,0
"54",2000-03-17,5279,822,-18,0
"55",2000-03-20,5108,795,0,0
"56",2000-03-21,5262,819,0,0
"57",2000-03-22,5364,835,0,0
"58",2000-03-23,5534,861,-3,0
"59",2000-03-24,5602,872,-3,0
"60",2000-03-27,5619,875,0,0
"61",2000-03-28,5670,883,0,0
"62",2000-03-29,5364,835,-19,0
"63",2000-03-30,6130,954,0,0
"64",2000-03-31,5977,930,-4,0
"65",2000-04-03,5653,880,-4,0
"66",2000-04-04,5449,848,0,0
"67",2000-04-06,6266,975,0,0
"68",2000-04-07,6334,986,0,0
"69",2000-04-10,6402,996,0,0
"70",2000-04-11,6283,978,0,0
"71",2000-04-12,5977,930,0,0
"72",2000-04-14,5704,888,0,0
"73",2000-04-17,5023,782,-3,0
"74",2000-04-18,5398,840,-3,0
"75",2000-04-19,5628,876,0,0
"76",2000-04-20,5960,928,0,0
"77",2000-04-21,5619,875,-17,0
"78",2000-04-24,5330,829,0,0
"79",2000-04-25,5364,835,0,0
"80",2000-04-26,5372,836,0,0
"81",2000-04-27,5228,814,0,0
"82",2000-04-28,5057,787,0,0
"83",2000-05-02,5057,787,-3,0
"84",2000-05-03,4938,769,0,0
"85",2000-05-04,5108,795,-3,0
"86",2000-05-08,4964,773,0,0
"87",2000-05-09,5074,790,0,0
"88",2000-05-10,5279,822,0,0
"89",2000-05-12,4921,766,0,0
"90",2000-05-15,4597,716,0,0
"91",2000-05-16,4240,660,0,0
"92",2000-05-17,3610,562,0,0
"93",2000-05-18,3406,530,0,0
"94",2000-05-19,3235,504,0,0
"95",2000-05-22,2793,435,0,0
"96",2000-05-23,2878,448,0,0
"97",2000-05-24,3048,474,0,0
"98",2000-05-25,3406,530,0,0
"99",2000-05-26,3406,530,0,0
"100",2000-05-29,3406,530,0,0
"101",2000-05-30,3831,596,0,0
"102",2000-05-31,3525,549,-2,0
"103",2000-06-01,3831,596,0,0
"104",2000-06-02,3508,546,0,0
"105",2000-06-05,3661,570,0,0
"106",2000-06-07,4163,648,0,0
"107",2000-06-08,4257,663,0,0
"108",2000-06-09,4700,731,-2,0
"109",2000-06-12,4938,769,-3,0
"110",2000-06-13,4938,769,0,0
"111",2000-06-14,4427,689,0,0
"112",2000-06-15,4427,689,0,0
"113",2000-06-16,4257,663,0,0
"114",2000-06-19,4257,663,0,0
"115",2000-06-20,3797,591,0,0
