"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,23400,2435,-81,0
"4",2000-01-05,22800,2373,57,0
"5",2000-01-06,21900,2279,64,0
"6",2000-01-07,21840,2273,118,0
"7",2000-01-10,21600,2248,-180,0
"8",2000-01-11,20760,2160,-21,0
"9",2000-01-12,21180,2204,-35,0
"10",2000-01-13,19620,2042,30,0
"11",2000-01-14,20460,2129,-72,0
"12",2000-01-17,20460,2129,-35,0
"13",2000-01-18,19440,2023,390,0
"14",2000-01-19,18180,1892,-186,0
"15",2000-01-20,18000,1873,-6,0
"16",2000-01-21,18420,1917,-219,0
"17",2000-01-24,18300,1904,-6,0
"18",2000-01-25,17220,1792,40,0
"19",2000-01-26,18000,1873,-43,0
"20",2000-01-27,18570,1932,24,0
"21",2000-01-28,18900,1967,271,0
"22",2000-01-31,18900,1967,-40,0
"23",2000-02-01,18930,1970,-53,0
"24",2000-02-02,18780,1954,-40,0
"25",2000-02-03,18900,1967,305,0
"26",2000-02-07,18180,1892,-122,0
"27",2000-02-08,17730,1845,84,0
"28",2000-02-09,17400,1811,-200,0
"29",2000-02-10,16890,1758,-92,0
"30",2000-02-11,16590,1726,-31,0
"31",2000-02-14,15900,1655,0,0
"32",2000-02-15,14400,1498,-2870,0
"33",2000-02-16,14880,1548,-6224,0
"34",2000-02-17,14580,1517,-37,0
"35",2000-02-18,13800,1436,-12286,0
"36",2000-02-21,12360,1286,8,0
"37",2000-02-22,11400,1186,-5757,0
"38",2000-02-23,13110,1364,-10595,0
"39",2000-02-24,13320,1386,-150,0
"40",2000-02-25,13320,1386,-10190,0
"41",2000-02-28,15300,1592,-7048,0
"42",2000-02-29,17580,1829,-3,0
"43",2000-03-02,20190,2101,-13191,0
"44",2000-03-03,21000,2185,-3836,0
"45",2000-03-06,20400,2123,-15,0
"46",2000-03-07,19800,2060,0,0
"47",2000-03-08,18480,1923,-10,0
"48",2000-03-09,21240,2210,-3,0
"49",2000-03-10,22080,2298,-304,0
"50",2000-03-13,24480,2547,-22,0
"51",2000-03-14,23130,2407,-28,0
"52",2000-03-15,21030,2188,-4,0
"53",2000-03-16,19500,2029,-11,0
"54",2000-03-17,20400,2123,-7,0
"55",2000-03-20,20400,2123,0,0
"56",2000-03-21,18930,1970,0,0
"57",2000-03-22,18150,1889,-3,0
"58",2000-03-23,17820,1854,0,0
"59",2000-03-24,20490,2132,0,0
"60",2000-03-27,23550,2451,-7,338
"61",2000-03-28,22500,2341,-51,0
"62",2000-03-29,20100,2092,-52,0
"63",2000-03-30,20100,2092,0,0
"64",2000-03-31,19140,1992,-3,0
"65",2000-04-03,20400,2123,-3,0
"66",2000-04-04,18600,1936,-3,0
"67",2000-04-06,18000,1873,0,0
"68",2000-04-07,18300,1904,-9,0
"69",2000-04-10,20100,2092,0,0
"70",2000-04-11,19200,1998,0,0
"71",2000-04-12,18900,1967,-6,0
"72",2000-04-14,18300,1904,0,0
"73",2000-04-17,15600,1623,-3,0
"74",2000-04-18,16380,1705,-32,0
"75",2000-04-19,16500,1717,-3,0
"76",2000-04-20,16800,1748,0,0
"77",2000-04-21,16800,1748,-137,0
"78",2000-04-24,16200,1686,-3,0
"79",2000-04-25,15480,1611,0,0
"80",2000-04-26,14760,1536,-3,0
"81",2000-04-27,14700,1530,0,0
"82",2000-04-28,14820,1542,0,0
"83",2000-05-02,14400,1498,-5,0
"84",2000-05-03,14760,1536,0,0
"85",2000-05-04,14760,1536,0,0
"86",2000-05-08,15000,1561,0,0
"87",2000-05-09,14400,1498,0,0
"88",2000-05-10,14070,1464,0,0
"89",2000-05-12,12660,1317,0,0
"90",2000-05-15,12810,1333,0,0
"91",2000-05-16,12600,1311,0,0
"92",2000-05-17,12600,1311,0,0
"93",2000-05-18,12180,1267,0,0
"94",2000-05-19,12180,1267,0,0
"95",2000-05-22,11580,1205,-2,-6
"96",2000-05-23,10800,1124,0,0
"97",2000-05-24,11160,1161,-13,0
"98",2000-05-25,12780,1330,-2,-6
"99",2000-05-26,11340,1180,0,0
"100",2000-05-29,11100,1155,0,0
"101",2000-05-30,11610,1208,12,0
"102",2000-05-31,12780,1330,-10,0
"103",2000-06-01,11640,1211,81,0
"104",2000-06-02,11160,1161,25,0
"105",2000-06-05,12600,1311,-9256,0
"106",2000-06-07,14370,1495,-4376,0
"107",2000-06-08,12960,1349,-3542,0
"108",2000-06-09,12600,1311,-35,0
"109",2000-06-12,12780,1330,-55,0
"110",2000-06-13,12000,1249,34,0
"111",2000-06-14,12300,1280,-43,0
"112",2000-06-15,11130,1158,0,0
"113",2000-06-16,11160,1161,-1307,0
"114",2000-06-19,10860,1130,-26,0
"115",2000-06-20,10830,1127,0,0
"116",2000-06-21,10830,1127,-66,0
"117",2000-06-22,11400,1186,10,-76
"118",2000-06-23,11160,1161,0,0
"119",2000-06-26,11280,1174,-15,0
"120",2000-06-27,11370,1183,5,0
"121",2000-06-28,11160,1161,-3411,-82
"122",2000-06-29,10980,1143,-2,0
"123",2000-06-30,10920,1136,9,0
"124",2000-07-03,11880,1236,-24,0
"125",2000-07-04,12690,1321,-4,0
"126",2000-07-05,14580,1517,-4,0
"127",2000-07-06,15000,1561,-1886,0
"128",2000-07-07,16140,1680,-1281,0
"129",2000-07-10,16140,1680,-3193,0
"130",2000-07-11,15720,1636,-2614,0
"131",2000-07-12,15150,1577,-447,0
"132",2000-07-13,14700,1530,-3,0
"133",2000-07-14,15000,1561,-309,0
"134",2000-07-18,14790,1539,-7540,0
"135",2000-07-19,12780,1330,0,0
"136",2000-07-20,12000,1249,-4,0
"137",2000-07-21,13200,1374,0,0
"138",2000-07-24,11700,1218,0,0
"139",2000-07-25,12600,1311,0,0
"140",2000-07-26,13170,1370,-2,0
"141",2000-07-27,12900,1342,-152,0
"142",2000-07-28,12000,1249,0,0
"143",2000-07-31,12270,1277,-2,0
"144",2000-08-01,13110,1364,-68,0
"145",2000-08-02,13500,1405,114,0
"146",2000-08-03,14160,1474,-16,0
"147",2000-08-04,15060,1567,61,0
"148",2000-08-07,13200,1374,0,0
"149",2000-08-08,13770,1433,-2,0
"150",2000-08-09,14280,1486,-2,0
"151",2000-08-10,14400,1498,-188,0
"152",2000-08-11,14400,1498,-29,450
"153",2000-08-14,14970,1558,-178,-450
"154",2000-08-16,15150,1577,-2,0
"155",2000-08-17,14100,1467,0,0
"156",2000-08-18,14520,1511,-2,0
"157",2000-08-21,14580,1517,0,0
"158",2000-08-22,14400,1498,-3,0
"159",2000-08-23,14460,1505,-5,0
"160",2000-08-24,14280,1486,49,0
"161",2000-08-25,15000,1561,0,0
"162",2000-08-28,14970,1558,-3,0
"163",2000-08-29,14520,1511,0,0
"164",2000-08-30,14400,1498,0,0
"165",2000-08-31,14010,1458,0,0
"166",2000-09-01,13680,1424,0,0
"167",2000-09-04,14430,1502,-2,0
"168",2000-09-05,14400,1498,0,0
"169",2000-09-06,15600,1623,0,0
"170",2000-09-07,15360,1598,0,0
"171",2000-09-08,14160,1474,-88,0
"172",2000-09-14,13560,1411,-12351,0
"173",2000-09-15,13800,1436,-28413,0
"174",2000-09-18,13350,1389,-2,0
"175",2000-09-19,12540,1305,0,0
"176",2000-09-20,13020,1355,-6,0
"177",2000-09-21,12780,1330,-2,0
"178",2000-09-22,11910,1239,0,0
"179",2000-09-25,12000,1249,0,0
"180",2000-09-26,11400,1186,0,0
"181",2000-09-27,11550,1202,-6,0
"182",2000-09-28,13260,1380,0,0
"183",2000-09-29,12840,1336,0,0
"184",2000-10-02,12060,1255,-37,0
"185",2000-10-04,12060,1255,-60,0
"186",2000-10-05,12060,1255,49,466
"187",2000-10-06,13860,1442,0,369
"188",2000-10-09,13140,1367,0,-775
"189",2000-10-10,12570,1308,0,0
"190",2000-10-11,12060,1255,-51,0
"191",2000-10-12,12180,1267,0,0
"192",2000-10-13,11670,1214,0,0
"193",2000-10-16,12060,1255,-2,0
"194",2000-10-17,11100,1155,0,0
"195",2000-10-18,10710,1114,-14,196
"196",2000-10-19,10380,1080,0,0
"197",2000-10-20,10260,1068,-2,0
"198",2000-10-23,9600,999,0,100
"199",2000-10-24,9780,1018,-2,64
"200",2000-10-25,10080,1049,0,-34
"201",2000-10-26,10200,1061,-2,0
"202",2000-10-27,9870,1027,132,0
"203",2000-10-30,8490,883,0,89
"204",2000-10-31,7260,755,0,72
"205",2000-11-01,7560,787,-7,114
"206",2000-11-02,8640,899,0,0
"207",2000-11-03,8700,905,0,0
"208",2000-11-06,8310,865,-1,-298
"209",2000-11-07,8220,855,-1,0
"210",2000-11-08,7620,793,0,0
"211",2000-11-09,7530,784,0,0
"212",2000-11-10,7500,780,0,0
"213",2000-11-13,7530,784,-1,197
"214",2000-11-14,8640,899,0,-143
"215",2000-11-15,9180,955,0,-160
"216",2000-11-16,8940,930,0,538
"217",2000-11-17,9060,943,0,0
"218",2000-11-20,8790,915,0,-30
"219",2000-11-21,8160,849,-1,0
"220",2000-11-22,7950,827,-23,-264
"221",2000-11-23,7650,796,0,-253
"222",2000-11-24,7860,818,-1,0
"223",2000-11-27,7740,805,-22,0
"224",2000-11-28,8100,843,-1,0
"225",2000-11-29,8070,840,0,0
"226",2000-11-30,7800,812,0,0
"227",2000-12-01,7920,824,0,0
"228",2000-12-04,7800,812,0,0
"229",2000-12-05,7710,802,0,0
"230",2000-12-06,7800,812,0,0
"231",2000-12-07,7350,765,-1,0
"232",2000-12-08,7560,787,0,256
"233",2000-12-11,7320,762,0,0
"234",2000-12-12,7410,771,-5,0
"235",2000-12-13,7320,762,0,0
"236",2000-12-14,7290,759,0,0
"237",2000-12-15,7200,749,0,0
"238",2000-12-18,7140,743,0,0
"239",2000-12-19,7380,768,-1,0
"240",2000-12-20,8460,880,-1,0
"241",2000-12-21,9720,1011,-5,-455
"242",2000-12-22,11160,1161,-8,0
"243",2000-12-26,9510,990,-4,21
"244",2001-01-02,8940,930,-20936,0
"245",2001-01-03,10260,1068,-2,1128
"246",2001-01-04,11790,1227,-11,-832
"247",2001-01-05,10680,1111,0,790
"248",2001-01-08,10800,1124,0,-870
"249",2001-01-09,11280,1174,-144,925
"250",2001-01-10,10020,1043,-4,0
"251",2001-01-11,10500,1093,0,0
"252",2001-01-12,10980,1143,0,0
"253",2001-01-15,11100,1155,-2,0
"254",2001-01-16,10590,1102,-4,-549
"255",2001-01-17,9900,1030,-7,0
"256",2001-01-18,9330,971,0,1562
"257",2001-01-19,9390,977,0,0
"258",2001-01-22,9960,1036,0,0
"259",2001-01-26,9600,999,-2,0
"260",2001-01-29,9840,1024,0,-166
"261",2001-01-30,9810,1021,0,0
"262",2001-01-31,9930,1033,0,0
"263",2001-02-01,9900,1030,-2,0
"264",2001-02-02,9960,1036,-2,0
"265",2001-02-05,9570,996,-2,0
"266",2001-02-06,9630,1002,0,0
"267",2001-02-07,9600,999,0,0
"268",2001-02-08,9510,990,0,0
"269",2001-02-09,9660,1005,0,0
"270",2001-02-12,9780,1018,-324,0
"271",2001-02-13,9750,1015,-365,0
"272",2001-02-14,10350,1077,-518,178
"273",2001-02-15,10230,1065,-358,0
"274",2001-02-16,9960,1036,-31,-171
"275",2001-02-19,11100,1155,-27,0
"276",2001-02-20,10620,1105,15357,195
"277",2001-02-21,11340,1180,1660,0
"278",2001-02-22,12300,1280,1812,0
"279",2001-02-23,12000,1249,-20529,169
"280",2001-02-26,12060,1255,-6,0
"281",2001-02-27,11700,1218,9801,1190
"282",2001-02-28,11280,1174,5288,-94
"283",2001-03-02,11100,1155,0,-1289
"284",2001-03-05,10320,1074,1759,0
"285",2001-03-06,10470,1090,2267,0
"286",2001-03-07,10200,1061,264,0
"287",2001-03-08,10380,1080,-2,0
"288",2001-03-09,10800,1124,2698,0
"289",2001-03-12,11610,1208,-63,0
"290",2001-03-13,11340,1180,0,0
"291",2001-03-14,12000,1249,0,0
"292",2001-03-15,11820,1230,-193,0
"293",2001-03-16,11820,1230,-4,0
"294",2001-03-19,11460,1193,0,0
"295",2001-03-20,11880,1236,0,0
"296",2001-03-21,11640,1211,56,0
"297",2001-03-22,11340,1180,-2,0
"298",2001-03-23,11730,1221,-2,0
"299",2001-03-26,12300,1280,-2,0
"300",2001-03-27,13260,1380,-71,2
"301",2001-03-28,11760,1224,-13,0
"302",2001-03-29,12390,1289,-2,0
"303",2001-03-30,11970,1246,0,876
"304",2001-04-02,12180,1267,0,0
"305",2001-04-03,11700,1218,-4,0
"306",2001-04-04,11310,1177,0,-210
"307",2001-04-06,11370,1183,-2,0
"308",2001-04-09,10710,1114,-2,0
"309",2001-04-10,10200,1061,-159,0
"310",2001-04-11,10410,1083,0,0
"311",2001-04-12,10920,1136,0,0
"312",2001-04-13,11100,1155,0,0
"313",2001-04-16,10830,1127,0,0
"314",2001-04-17,10860,1130,0,0
"315",2001-04-18,11130,1158,0,-558
"316",2001-04-19,11040,1149,-2,0
"317",2001-04-20,10680,1111,0,0
"318",2001-04-23,10140,1055,-11,0
"319",2001-04-24,10140,1055,0,0
"320",2001-04-25,8640,899,0,0
"321",2001-04-26,9600,999,-258,0
"322",2001-04-27,10500,1093,-1045,0
"323",2001-04-30,11070,1152,-14,0
"324",2001-05-02,12720,1324,-132,0
"325",2001-05-03,13200,1374,-10082,0
"326",2001-05-04,15180,1580,-18429,0
"327",2001-05-07,15000,1561,-23,0
"328",2001-05-08,14700,1530,-8,0
"329",2001-05-09,14700,1530,-5,0
"330",2001-05-10,15900,1655,-184,0
