"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,11071,4100,0,0
"4",2000-01-05,10693,3960,0,0
"5",2000-01-06,11071,4100,0,0
"6",2000-01-07,10990,4070,0,0
"7",2000-01-10,10936,4050,0,0
"8",2000-01-11,11071,4100,0,0
"9",2000-01-12,10801,4000,0,0
"10",2000-01-13,10801,4000,0,0
"11",2000-01-14,11125,4120,0,0
"12",2000-01-17,11611,4300,0,0
"13",2000-01-18,11071,4100,0,0
"14",2000-01-19,11341,4200,0,0
"15",2000-01-20,11341,4200,0,0
"16",2000-01-21,11071,4100,0,0
"17",2000-01-24,11341,4200,0,0
"18",2000-01-25,11503,4260,0,0
"19",2000-01-26,11206,4150,0,0
"20",2000-01-27,11368,4210,0,0
"21",2000-01-28,11233,4160,0,0
"22",2000-01-31,11301,4185,0,0
"23",2000-02-01,11044,4090,0,0
"24",2000-02-02,11152,4130,0,0
"25",2000-02-03,11355,4205,0,0
"26",2000-02-07,12259,4540,0,0
"27",2000-02-08,11395,4220,0,0
"28",2000-02-09,11098,4110,0,0
"29",2000-02-10,10936,4050,0,0
"30",2000-02-11,10531,3900,0,0
"31",2000-02-14,10261,3800,0,0
"32",2000-02-15,9856,3650,0,0
"33",2000-02-16,10261,3800,0,0
"34",2000-02-17,10261,3800,0,0
"35",2000-02-18,10004,3705,0,0
"36",2000-02-21,9721,3600,0,0
"37",2000-02-22,9451,3500,0,0
"38",2000-02-23,10868,4025,0,0
"39",2000-02-24,9505,3520,0,0
"40",2000-02-25,10922,4045,0,0
"41",2000-02-28,12556,4650,0,0
"42",2000-02-29,11368,4210,0,0
"43",2000-03-02,11854,4390,0,0
"44",2000-03-03,11260,4170,0,0
"45",2000-03-06,12421,4600,0,0
"46",2000-03-07,11746,4350,0,0
"47",2000-03-08,12124,4490,0,0
"48",2000-03-09,12421,4600,0,0
"49",2000-03-10,11503,4260,0,0
"50",2000-03-13,13218,4895,0,0
"51",2000-03-14,13150,4870,3195,0
"52",2000-03-15,12151,4500,0,0
"53",2000-03-16,12934,4790,0,0
"54",2000-03-17,12205,4520,-5,0
"55",2000-03-20,12178,4510,0,0
"56",2000-03-21,11611,4300,0,0
"57",2000-03-22,11530,4270,0,0
"58",2000-03-23,11611,4300,0,0
"59",2000-03-24,13353,4945,0,0
"60",2000-03-27,12799,4740,0,0
"61",2000-03-28,12556,4650,-27,0
"62",2000-03-29,12151,4500,0,0
"63",2000-03-30,11881,4400,0,0
"64",2000-03-31,11881,4400,0,0
"65",2000-04-03,11881,4400,0,0
"66",2000-04-04,11881,4400,-2516,0
"67",2000-04-06,11341,4200,0,0
"68",2000-04-07,11476,4250,0,0
"69",2000-04-10,11854,4390,0,0
"70",2000-04-11,11638,4310,0,0
"71",2000-04-12,11503,4260,0,0
"72",2000-04-14,11584,4290,0,0
"73",2000-04-17,10801,4000,0,0
"74",2000-04-18,10396,3850,0,0
"75",2000-04-19,11071,4100,0,0
"76",2000-04-20,11044,4090,0,0
"77",2000-04-21,10733,3975,-4,0
"78",2000-04-24,10828,4010,0,0
"79",2000-04-25,11071,4100,0,0
"80",2000-04-26,10828,4010,0,0
"81",2000-04-27,10787,3995,0,0
"82",2000-04-28,10801,4000,0,0
"83",2000-05-02,10801,4000,0,0
"84",2000-05-03,10855,4020,0,0
"85",2000-05-04,10666,3950,0,0
"86",2000-05-08,10990,4070,0,0
"87",2000-05-09,10801,4000,0,0
"88",2000-05-10,10585,3920,0,0
"89",2000-05-12,10531,3900,0,0
"90",2000-05-15,10234,3790,0,0
"91",2000-05-16,10396,3850,0,0
"92",2000-05-17,10369,3840,0,0
"93",2000-05-18,9937,3680,0,0
"94",2000-05-19,9451,3500,0,0
"95",2000-05-22,9802,3630,0,0
"96",2000-05-23,9289,3440,0,0
"97",2000-05-24,9694,3590,0,0
"98",2000-05-25,10099,3740,0,0
"99",2000-05-26,8789,3255,0,0
"100",2000-05-29,8911,3300,-3,0
"101",2000-05-30,8911,3300,0,0
"102",2000-05-31,9559,3540,0,0
"103",2000-06-01,8992,3330,0,0
"104",2000-06-02,9451,3500,0,0
"105",2000-06-05,9748,3610,0,0
"106",2000-06-07,10126,3750,0,0
"107",2000-06-08,10396,3850,0,0
"108",2000-06-09,10801,4000,0,0
"109",2000-06-12,10666,3950,0,0
"110",2000-06-13,10666,3950,0,0
"111",2000-06-14,10801,4000,0,0
"112",2000-06-15,10747,3980,0,0
"113",2000-06-16,10855,4020,0,0
"114",2000-06-19,10774,3990,0,0
"115",2000-06-20,9991,3700,0,0
"116",2000-06-21,10261,3800,0,0
"117",2000-06-22,10531,3900,0,0
"118",2000-06-23,9451,3500,0,0
"119",2000-06-26,10261,3800,0,0
"120",2000-06-27,10261,3800,0,0
"121",2000-06-28,10234,3790,0,0
"122",2000-06-29,10207,3780,0,0
"123",2000-06-30,10180,3770,0,0
"124",2000-07-03,10261,3800,0,0
"125",2000-07-04,10085,3735,0,0
"126",2000-07-05,10396,3850,0,0
"127",2000-07-06,10153,3760,0,0
"128",2000-07-07,10153,3760,0,0
"129",2000-07-10,10531,3900,0,0
"130",2000-07-11,10801,4000,0,0
"131",2000-07-12,10801,4000,0,0
"132",2000-07-13,10801,4000,0,0
"133",2000-07-14,10801,4000,-557,0
"134",2000-07-18,12421,4600,0,0
"135",2000-07-19,12421,4600,0,0
"136",2000-07-20,11611,4300,0,0
"137",2000-07-21,12124,4490,0,0
"138",2000-07-24,12394,4590,0,0
"139",2000-07-25,12543,4645,0,0
"140",2000-07-26,12151,4500,0,0
"141",2000-07-27,12151,4500,0,0
"142",2000-07-28,12097,4480,0,0
"143",2000-07-31,11746,4350,0,0
"144",2000-08-01,12097,4480,-181,0
"145",2000-08-02,12394,4590,0,0
"146",2000-08-03,12151,4500,0,0
"147",2000-08-04,12124,4490,0,0
"148",2000-08-07,12286,4550,0,0
"149",2000-08-08,12705,4705,0,0
"150",2000-08-09,12421,4600,-527,0
"151",2000-08-10,12421,4600,0,0
"152",2000-08-11,12718,4710,0,0
"153",2000-08-14,13204,4890,0,0
"154",2000-08-16,14041,5200,0,0
"155",2000-08-17,13852,5130,0,0
"156",2000-08-18,13447,4980,0,0
"157",2000-08-21,13312,4930,0,0
"158",2000-08-22,13366,4950,0,0
"159",2000-08-23,13218,4895,0,0
"160",2000-08-24,12286,4550,0,0
"161",2000-08-25,13069,4840,0,0
"162",2000-08-28,12961,4800,0,0
"163",2000-08-29,12421,4600,0,0
"164",2000-08-30,12691,4700,0,0
"165",2000-08-31,12556,4650,0,0
"166",2000-09-01,12421,4600,0,0
"167",2000-09-04,12691,4700,0,0
"168",2000-09-05,12556,4650,0,0
"169",2000-09-06,12840,4755,0,0
"170",2000-09-07,12583,4660,0,0
"171",2000-09-08,12556,4650,0,0
"172",2000-09-14,12502,4630,0,0
"173",2000-09-15,10801,4000,0,0
"174",2000-09-18,9721,3600,-4,0
"175",2000-09-19,11179,4140,0,0
"176",2000-09-20,11854,4390,0,0
"177",2000-09-21,11179,4140,-88,0
"178",2000-09-22,11125,4120,0,0
"179",2000-09-25,11071,4100,0,0
"180",2000-09-26,11476,4250,0,0
"181",2000-09-27,11733,4345,0,0
"182",2000-09-28,11841,4385,0,0
"183",2000-09-29,11611,4300,0,0
"184",2000-10-02,11395,4220,0,0
"185",2000-10-04,11935,4420,0,0
"186",2000-10-05,12961,4800,0,0
"187",2000-10-06,12367,4580,0,0
"188",2000-10-09,11422,4230,-5,0
"189",2000-10-10,11611,4300,0,0
"190",2000-10-11,11503,4260,0,0
"191",2000-10-12,11422,4230,0,0
"192",2000-10-13,10801,4000,0,0
"193",2000-10-16,11341,4200,0,0
"194",2000-10-17,10544,3905,0,0
"195",2000-10-18,10666,3950,-4,0
"196",2000-10-19,11611,4300,0,0
"197",2000-10-20,12705,4705,0,0
"198",2000-10-23,12151,4500,0,0
"199",2000-10-24,12664,4690,0,0
"200",2000-10-25,12408,4595,0,0
"201",2000-10-26,12529,4640,0,0
"202",2000-10-27,12151,4500,0,0
"203",2000-10-30,12678,4695,0,0
"204",2000-10-31,12934,4790,0,0
"205",2000-11-01,13906,5150,0,0
"206",2000-11-02,13852,5130,0,0
"207",2000-11-03,14581,5400,0,0
"208",2000-11-06,14176,5250,0,0
"209",2000-11-07,13501,5000,0,0
"210",2000-11-08,13501,5000,0,0
"211",2000-11-09,13407,4965,0,0
"212",2000-11-10,13609,5040,0,0
"213",2000-11-13,13636,5050,0,0
"214",2000-11-14,13528,5010,0,0
"215",2000-11-15,13501,5000,0,0
"216",2000-11-16,13501,5000,0,0
"217",2000-11-17,13407,4965,0,0
"218",2000-11-20,12691,4700,0,0
"219",2000-11-21,12475,4620,0,0
"220",2000-11-22,12448,4610,-102,0
"221",2000-11-23,12421,4600,0,0
"222",2000-11-24,12691,4700,0,0
"223",2000-11-27,13636,5050,0,0
"224",2000-11-28,13447,4980,-10,0
"225",2000-11-29,12961,4800,0,0
"226",2000-11-30,12934,4790,0,0
"227",2000-12-01,13744,5090,0,0
"228",2000-12-04,14311,5300,0,0
"229",2000-12-05,13245,4905,0,0
"230",2000-12-06,13771,5100,0,0
"231",2000-12-07,13501,5000,0,0
"232",2000-12-08,13420,4970,0,0
"233",2000-12-11,13231,4900,0,0
"234",2000-12-12,12961,4800,-5,0
"235",2000-12-13,13582,5030,0,0
"236",2000-12-14,13461,4985,0,0
"237",2000-12-15,13245,4905,0,0
"238",2000-12-18,13231,4900,0,0
"239",2000-12-19,14581,5400,0,0
"240",2000-12-20,13231,4900,0,0
"241",2000-12-21,12691,4700,0,0
"242",2000-12-22,13501,5000,0,0
"243",2000-12-26,12421,4600,0,0
"244",2001-01-02,13083,4845,0,0
"245",2001-01-03,13501,5000,0,0
"246",2001-01-04,13420,4970,0,0
"247",2001-01-05,14554,5390,0,0
"248",2001-01-08,15661,5800,0,0
"249",2001-01-09,14365,5320,0,0
"250",2001-01-10,13771,5100,0,0
"251",2001-01-11,13987,5180,0,0
"252",2001-01-12,14149,5240,0,0
"253",2001-01-15,13825,5120,0,0
"254",2001-01-16,13717,5080,0,0
"255",2001-01-17,13231,4900,-10,0
"256",2001-01-18,12840,4755,0,0
"257",2001-01-19,13771,5100,0,0
"258",2001-01-22,13771,5100,0,0
"259",2001-01-26,13771,5100,0,0
"260",2001-01-29,13771,5100,0,0
"261",2001-01-30,13852,5130,0,0
"262",2001-01-31,14041,5200,0,0
"263",2001-02-01,13771,5100,0,0
"264",2001-02-02,13906,5150,0,0
"265",2001-02-05,12988,4810,0,0
"266",2001-02-06,13312,4930,0,0
"267",2001-02-07,13123,4860,0,0
"268",2001-02-08,13555,5020,0,0
"269",2001-02-09,13528,5010,0,0
"270",2001-02-12,13258,4910,-726,0
"271",2001-02-13,13123,4860,-913,0
"272",2001-02-14,13069,4840,-1395,0
"273",2001-02-15,12556,4650,-164,0
"274",2001-02-16,13164,4875,-179,0
"275",2001-02-19,12961,4800,-62,0
"276",2001-02-20,13960,5170,-471,0
"277",2001-02-21,13420,4970,0,0
"278",2001-02-22,14014,5190,-5,0
"279",2001-02-23,13771,5100,-5,0
"280",2001-02-26,13825,5120,0,0
"281",2001-02-27,13879,5140,-153,0
"282",2001-02-28,13636,5050,-264,0
"283",2001-03-02,13015,4820,0,0
"284",2001-03-05,12934,4790,0,0
"285",2001-03-06,12853,4760,-5,0
"286",2001-03-07,12853,4760,0,0
"287",2001-03-08,13150,4870,0,0
"288",2001-03-09,13461,4985,0,0
"289",2001-03-12,13339,4940,0,0
"290",2001-03-13,12205,4520,0,0
"291",2001-03-14,13083,4845,0,0
"292",2001-03-15,12772,4730,-393,0
"293",2001-03-16,13123,4860,-146,0
"294",2001-03-19,13042,4830,0,193
"295",2001-03-20,12867,4765,0,0
"296",2001-03-21,12691,4700,0,0
"297",2001-03-22,12556,4650,0,151
"298",2001-03-23,12772,4730,0,-2
"299",2001-03-26,12691,4700,0,0
"300",2001-03-27,12421,4600,0,0
"301",2001-03-28,12394,4590,0,55
"302",2001-03-29,11881,4400,0,0
"303",2001-03-30,11476,4250,-4,0
"304",2001-04-02,10855,4020,0,0
"305",2001-04-03,10774,3990,0,-323
"306",2001-04-04,10207,3780,0,0
"307",2001-04-06,10423,3860,0,0
"308",2001-04-09,10126,3750,0,0
"309",2001-04-10,9991,3700,0,0
"310",2001-04-11,10301,3815,-248,0
"311",2001-04-12,10639,3940,0,0
"312",2001-04-13,10531,3900,0,0
"313",2001-04-16,10747,3980,0,0
"314",2001-04-17,10801,4000,0,0
"315",2001-04-18,10855,4020,0,0
"316",2001-04-19,10801,4000,-53,0
"317",2001-04-20,10787,3995,0,0
"318",2001-04-23,10531,3900,0,0
"319",2001-04-24,10598,3925,0,0
"320",2001-04-25,10531,3900,0,0
"321",2001-04-26,10693,3960,0,0
"322",2001-04-27,10666,3950,-4,0
"323",2001-04-30,10828,4010,0,0
"324",2001-05-02,10841,4015,-8,0
"325",2001-05-03,10841,4015,-4,0
"326",2001-05-04,10855,4020,0,0
"327",2001-05-07,10855,4020,0,0
"328",2001-05-08,10855,4020,0,0
"329",2001-05-09,10814,4005,0,0
"330",2001-05-10,11017,4080,-4,0
"331",2001-05-11,11341,4200,0,0
"332",2001-05-14,11449,4240,0,0
"333",2001-05-15,10936,4050,0,0
"334",2001-05-16,10868,4025,0,0
"335",2001-05-17,10868,4025,0,0
"336",2001-05-18,10895,4035,0,0
"337",2001-05-21,11044,4090,0,0
"338",2001-05-22,11328,4195,0,0
"339",2001-05-23,11341,4200,0,0
"340",2001-05-24,11733,4345,0,0
"341",2001-05-25,11692,4330,0,0
"342",2001-05-28,11544,4275,0,0
"343",2001-05-29,11557,4280,0,0
"344",2001-05-30,11476,4250,0,0
"345",2001-05-31,11071,4100,0,0
"346",2001-06-01,10990,4070,0,0
"347",2001-06-04,11206,4150,0,0
"348",2001-06-05,11206,4150,0,0
"349",2001-06-07,10963,4060,0,0
"350",2001-06-08,11071,4100,0,0
"351",2001-06-11,10936,4050,0,0
"352",2001-06-12,11003,4075,0,0
"353",2001-06-13,10990,4070,0,0
"354",2001-06-14,10936,4050,0,0
"355",2001-06-15,11017,4080,0,0
"356",2001-06-18,11071,4100,0,0
"357",2001-06-19,11476,4250,0,0
"358",2001-06-20,11098,4110,0,0
"359",2001-06-21,11003,4075,0,0
"360",2001-06-22,11017,4080,0,0
"361",2001-06-25,10936,4050,0,0
"362",2001-06-26,10558,3910,0,0
"363",2001-06-27,10720,3970,0,0
"364",2001-06-28,10463,3875,0,0
"365",2001-06-29,11030,4085,0,0
"366",2001-07-02,11071,4100,0,0
"367",2001-07-03,10990,4070,0,0
"368",2001-07-04,11017,4080,0,0
"369",2001-07-05,11125,4120,0,0
"370",2001-07-06,11341,4200,-4,0
"371",2001-07-09,10868,4025,0,0
"372",2001-07-10,11111,4115,0,0
"373",2001-07-11,12772,4730,0,0
"374",2001-07-12,12664,4690,0,0
"375",2001-07-13,13771,5100,0,0
"376",2001-07-16,13164,4875,0,0
"377",2001-07-18,11746,4350,0,0
"378",2001-07-19,10666,3950,0,0
"379",2001-07-20,10531,3900,0,0
"380",2001-07-23,9856,3650,0,0
"381",2001-07-24,9464,3505,0,0
"382",2001-07-25,9653,3575,0,0
"383",2001-07-26,9721,3600,-4,0
"384",2001-07-27,9991,3700,0,0
"385",2001-07-30,10018,3710,0,0
"386",2001-07-31,10126,3750,0,0
"387",2001-08-01,10153,3760,0,0
"388",2001-08-02,10234,3790,0,0
"389",2001-08-03,10058,3725,0,0
"390",2001-08-06,10261,3800,0,0
"391",2001-08-07,10234,3790,0,0
"392",2001-08-08,10261,3800,0,0
"393",2001-08-09,10180,3770,0,0
"394",2001-08-10,10369,3840,0,0
"395",2001-08-13,10504,3890,0,0
"396",2001-08-14,10396,3850,0,0
"397",2001-08-16,10666,3950,0,0
"398",2001-08-17,10801,4000,0,0
"399",2001-08-20,10436,3865,0,0
"400",2001-08-21,10274,3805,0,0
"401",2001-08-22,10261,3800,0,0
"402",2001-08-23,9991,3700,0,0
"403",2001-08-24,10072,3730,0,0
"404",2001-08-27,10261,3800,0,0
"405",2001-08-28,10180,3770,0,0
"406",2001-08-29,9950,3685,0,0
"407",2001-08-30,10126,3750,0,0
"408",2001-08-31,9721,3600,0,0
"409",2001-09-03,10072,3730,0,0
"410",2001-09-04,9991,3700,0,0
"411",2001-09-05,9883,3660,0,0
"412",2001-09-06,10045,3720,0,0
"413",2001-09-07,9991,3700,0,0
"414",2001-09-10,9856,3650,0,0
"415",2001-09-11,9869,3655,0,0
"416",2001-09-12,8398,3110,0,0
