"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,2460,7639996,0,0
"4",2000-01-05,2820,8758044,0,0
"5",2000-01-06,3240,10062434,0,0
"6",2000-01-07,3540,10994141,-1,0
"7",2000-01-10,3300,10248775,0,0
"8",2000-01-11,3510,10900970,0,0
"9",2000-01-12,3000,9317069,0,0
"10",2000-01-13,2850,8851215,0,0
"11",2000-01-14,2700,8385362,-2,0
"12",2000-01-17,2700,8385362,0,0
"13",2000-01-18,2850,8851215,0,0
"14",2000-01-19,2850,8851215,0,0
"15",2000-01-20,2730,8478532,0,0
"16",2000-01-21,2790,8664874,-1,0
"17",2000-01-24,2700,8385362,0,0
"18",2000-01-25,2640,8199020,0,0
"19",2000-01-26,2565,7966094,-1,0
"20",2000-01-27,2640,8199020,0,0
"21",2000-01-28,2700,8385362,0,0
"22",2000-01-31,2790,8664874,0,0
"23",2000-02-01,2730,8478532,0,0
"24",2000-02-02,2730,8478532,0,0
"25",2000-02-03,2730,8478532,0,0
"26",2000-02-07,2850,8851215,0,0
"27",2000-02-08,2760,8571703,0,0
"28",2000-02-09,2820,8758044,0,0
"29",2000-02-10,2670,8292191,0,0
"30",2000-02-11,2505,7779752,0,0
"31",2000-02-14,2400,7453655,0,0
"32",2000-02-15,2235,6941216,0,0
"33",2000-02-16,2400,7453655,0,0
"34",2000-02-17,2130,6615119,0,0
"35",2000-02-18,2280,7080972,0,0
"36",2000-02-21,2190,6801460,0,0
"37",2000-02-22,2040,6335607,0,0
"38",2000-02-23,2100,6521948,0,0
"39",2000-02-24,1920,5962924,-5,0
"40",2000-02-25,2010,6242436,0,33
"41",2000-02-28,2130,6615119,0,0
"42",2000-02-29,2130,6615119,0,0
"43",2000-03-02,2055,6382192,0,0
"44",2000-03-03,2265,7034387,0,0
"45",2000-03-06,2595,8059264,0,0
"46",2000-03-07,2910,9037557,0,0
"47",2000-03-08,2820,8758044,0,0
"48",2000-03-09,2790,8664874,0,0
"49",2000-03-10,2550,7919508,0,0
"50",2000-03-13,2850,8851215,0,0
"51",2000-03-14,3270,10155605,0,0
"52",2000-03-15,2790,8664874,0,0
"53",2000-03-16,2415,7500240,0,0
"54",2000-03-17,2160,6708289,-1,1
"55",2000-03-20,2475,7686582,0,0
"56",2000-03-21,2835,8804630,0,0
"57",2000-03-22,2520,7826338,0,0
"58",2000-03-23,2520,7826338,0,0
"59",2000-03-24,2520,7826338,-3,0
"60",2000-03-27,2430,7546826,0,0
"61",2000-03-28,2355,7313899,0,0
"62",2000-03-29,2400,7453655,0,0
"63",2000-03-30,2520,7826338,0,0
"64",2000-03-31,2415,7500240,-1,0
"65",2000-04-03,2190,6801460,0,0
"66",2000-04-04,2295,7127557,-1,0
"67",2000-04-06,2145,6661704,0,0
"68",2000-04-07,2160,6708289,0,0
"69",2000-04-10,2415,7500240,0,0
"70",2000-04-11,2205,6848045,0,0
"71",2000-04-12,2520,7826338,0,0
"72",2000-04-14,2895,8990971,0,0
"73",2000-04-17,2475,7686582,0,0
"74",2000-04-18,2835,8804630,0,0
"75",2000-04-19,3255,10109019,0,0
"76",2000-04-20,3450,10714629,0,0
"77",2000-04-21,2940,9130727,0,0
"78",2000-04-24,2835,8804630,0,0
"79",2000-04-25,3255,10109019,0,0
"80",2000-04-26,2790,8664874,0,0
"81",2000-04-27,2790,8664874,0,0
"82",2000-04-28,3000,9317069,0,0
"83",2000-05-02,2820,8758044,0,0
"84",2000-05-03,2985,9270483,0,0
"85",2000-05-04,3225,10015849,0,0
"86",2000-05-08,3000,9317069,-1,0
"87",2000-05-09,3360,10435117,0,0
"88",2000-05-10,3150,9782922,0,0
"89",2000-05-12,2910,9037557,0,0
"90",2000-05-15,2475,7686582,0,0
"91",2000-05-16,2475,7686582,0,0
"92",2000-05-17,2250,6987801,0,0
"93",2000-05-18,1980,6149265,0,0
"94",2000-05-19,2265,7034387,0,0
"95",2000-05-22,2490,7733167,0,0
"96",2000-05-23,2205,6848045,0,0
"97",2000-05-24,2460,7639996,0,0
"98",2000-05-25,2730,8478532,0,0
"99",2000-05-26,2700,8385362,0,0
"100",2000-05-29,2340,7267314,0,0
"101",2000-05-30,2370,7360484,0,0
"102",2000-05-31,2415,7500240,0,0
"103",2000-06-01,2445,7593411,0,0
"104",2000-06-02,2805,8711459,0,0
"105",2000-06-05,3225,10015849,-1,0
"106",2000-06-07,3705,11506580,0,0
"107",2000-06-08,3600,11180482,0,0
"108",2000-06-09,3720,11553165,0,0
"109",2000-06-12,3165,9829507,0,0
"110",2000-06-13,2820,8758044,0,0
"111",2000-06-14,2985,9270483,0,0
"112",2000-06-15,2700,8385362,0,0
"113",2000-06-16,2940,9130727,-25,0
"114",2000-06-19,2640,8199020,0,0
"115",2000-06-20,2820,8758044,0,0
"116",2000-06-21,2760,8571703,0,0
"117",2000-06-22,2565,7966094,0,0
"118",2000-06-23,2760,8571703,0,0
"119",2000-06-26,2730,8478532,0,0
"120",2000-06-27,2670,8292191,0,0
"121",2000-06-28,2670,8292191,0,0
"122",2000-06-29,2580,8012679,0,0
"123",2000-06-30,2670,8292191,0,0
"124",2000-07-03,2670,8292191,0,0
"125",2000-07-04,2760,8571703,0,0
"126",2000-07-05,2925,9084142,0,0
"127",2000-07-06,3345,10388532,0,0
"128",2000-07-07,3240,10062434,0,0
"129",2000-07-10,3240,10062434,0,0
"130",2000-07-11,3690,11459994,0,0
"131",2000-07-12,3615,11227068,-1,0
"132",2000-07-13,3735,11599750,0,0
"133",2000-07-14,3990,12391701,0,0
"134",2000-07-18,3600,11180482,0,0
"135",2000-07-19,3075,9549995,-103,0
"136",2000-07-20,3030,9410239,0,0
"137",2000-07-21,3030,9410239,0,0
"138",2000-07-24,2730,8478532,0,0
"139",2000-07-25,2730,8478532,-4,0
"140",2000-07-26,3000,9317069,0,0
"141",2000-07-27,2700,8385362,0,0
"142",2000-07-28,2745,8525118,0,0
"143",2000-07-31,2805,8711459,0,0
"144",2000-08-01,3210,9969263,0,0
"145",2000-08-02,3300,10248775,0,0
"146",2000-08-03,3150,9782922,-9,0
"147",2000-08-04,3000,9317069,0,0
"148",2000-08-07,2790,8664874,0,0
"149",2000-08-08,2700,8385362,0,0
"150",2000-08-09,2820,8758044,0,0
"151",2000-08-10,2715,8431947,0,0
"152",2000-08-11,2700,8385362,0,0
"153",2000-08-14,2790,8664874,0,0
"154",2000-08-16,2910,9037557,0,0
"155",2000-08-17,2715,8431947,-4,0
"156",2000-08-18,2730,8478532,0,0
"157",2000-08-21,2850,8851215,0,0
"158",2000-08-22,2985,9270483,0,2925
"159",2000-08-23,3420,10621458,0,228
"160",2000-08-24,3930,12205360,0,-198
"161",2000-08-25,4110,12764384,0,0
"162",2000-08-28,4170,12950725,-1,0
"163",2000-08-29,3600,11180482,-3,0
"164",2000-08-30,4140,12857555,0,0
"165",2000-08-31,4755,14767554,0,0
"166",2000-09-01,5460,16957065,-2,0
"167",2000-09-04,6270,19472673,-4,0
"168",2000-09-05,7200,22360965,0,0
"169",2000-09-06,8280,25715109,0,0
"170",2000-09-07,7050,21895111,0,-473
"171",2000-09-08,6150,19099991,0,0
"172",2000-09-14,7065,21941697,-2,0
"173",2000-09-15,8115,25202671,0,0
"174",2000-09-18,6900,21429258,-3,0
"175",2000-09-19,7935,24643646,0,0
"176",2000-09-20,9120,28323889,-8,0
"177",2000-09-21,8400,26087792,3,0
"178",2000-09-22,7410,23013159,0,0
"179",2000-09-25,8310,25808280,0,0
"180",2000-09-26,7500,23292672,0,0
"181",2000-09-27,7200,22360965,0,0
"182",2000-09-28,6840,21242916,0,0
"183",2000-09-29,7290,22640477,0,0
"184",2000-10-02,6210,19286332,0,0
"185",2000-10-04,5550,17236577,0,0
"186",2000-10-05,4800,14907310,0,0
"187",2000-10-06,5520,17143406,0,0
"188",2000-10-09,6345,19705600,0,0
"189",2000-10-10,6900,21429258,11,0
"190",2000-10-11,6120,19006820,0,0
"191",2000-10-12,6450,20031698,-5,0
"192",2000-10-13,6630,20590722,0,0
"193",2000-10-16,7245,22500721,0,0
"194",2000-10-17,7080,21988282,-7,0
"195",2000-10-18,8130,25249256,-10,304
"196",2000-10-19,8850,27485352,0,314
"197",2000-10-20,8850,27485352,-3,0
"198",2000-10-23,7530,23385842,-3,0
"199",2000-10-24,7530,23385842,0,-520
"200",2000-10-25,7230,22454135,0,0
"201",2000-10-26,7200,22360965,0,0
"202",2000-10-27,7680,23851696,0,0
"203",2000-10-30,7200,22360965,0,0
"204",2000-10-31,6120,19006820,0,0
"205",2000-11-01,5205,16165114,0,0
"206",2000-11-02,5985,18587552,0,0
"207",2000-11-03,5100,15839017,0,0
"208",2000-11-06,5760,17888772,0,0
"209",2000-11-07,5670,17609260,-2,0
"210",2000-11-08,5100,15839017,0,0
"211",2000-11-09,4410,13696091,0,0
"212",2000-11-10,4350,13509749,-2,0
"213",2000-11-13,4650,14441456,0,0
"214",2000-11-14,4950,15373163,-2,0
"215",2000-11-15,4650,14441456,0,0
"216",2000-11-16,4410,13696091,0,1500
"217",2000-11-17,4230,13137067,0,0
"218",2000-11-20,4050,12578043,0,0
"219",2000-11-21,3900,12112189,0,0
"220",2000-11-22,3750,11646336,0,0
"221",2000-11-23,4305,13369993,0,0
"222",2000-11-24,4065,12624628,0,0
"223",2000-11-27,3780,11739506,0,0
"224",2000-11-28,3660,11366824,-3,0
"225",2000-11-29,3255,10109019,0,0
"226",2000-11-30,3165,9829507,0,0
"227",2000-12-01,3210,9969263,0,10
"228",2000-12-04,3690,11459994,0,-1230
"229",2000-12-05,3750,11646336,0,0
"230",2000-12-06,3690,11459994,-1,0
"231",2000-12-07,3450,10714629,0,0
"232",2000-12-08,3420,10621458,0,0
"233",2000-12-11,3435,10668044,0,0
"234",2000-12-12,3540,10994141,0,0
"235",2000-12-13,3540,10994141,0,0
"236",2000-12-14,3450,10714629,0,0
"237",2000-12-15,3330,10341946,0,0
"238",2000-12-18,3105,9643166,0,0
"239",2000-12-19,3030,9410239,0,0
"240",2000-12-20,2700,8385362,0,383
"241",2000-12-21,3105,9643166,0,-414
"242",2000-12-22,2970,9223898,0,0
"243",2000-12-26,2790,8664874,0,0
"244",2001-01-02,3195,9922678,-1,0
"245",2001-01-03,3270,10155605,0,0
"246",2001-01-04,3240,10062434,-1,0
"247",2001-01-05,3480,10807800,0,0
"248",2001-01-08,3990,12391701,0,0
"249",2001-01-09,4575,14208530,0,-15
"250",2001-01-10,5250,16304870,0,0
"251",2001-01-11,6030,18727308,0,0
"252",2001-01-12,5550,17236577,0,0
"253",2001-01-15,6375,19798771,0,0
"254",2001-01-16,6600,20497551,0,0
"255",2001-01-17,5610,17422918,0,0
"256",2001-01-18,4770,14814139,0,0
"257",2001-01-19,4650,14441456,1090,0
"258",2001-01-22,5340,16584382,0,0
"259",2001-01-26,6135,19053405,0,0
"260",2001-01-29,6165,19146576,-198,0
"261",2001-01-30,7080,21988282,680,0
"262",2001-01-31,8130,25249256,-364,0
"263",2001-02-01,8850,27485352,-5,0
"264",2001-02-02,8700,27019499,-2208,0
"265",2001-02-05,8100,25156085,0,0
"266",2001-02-06,9300,28882913,0,0
"267",2001-02-07,8700,27019499,-6,0
"268",2001-02-08,8715,27066084,-3,0
"269",2001-02-09,8730,27112670,0,0
"270",2001-02-12,10035,31165595,0,0
"271",2001-02-13,9600,29814620,0,0
"272",2001-02-14,10320,32050716,-7,0
"273",2001-02-15,10170,31584863,0,0
"274",2001-02-16,9720,30187302,-3,0
"275",2001-02-19,9210,28603401,-3,0
"276",2001-02-20,9900,30746326,0,0
"277",2001-02-21,11250,34939007,-4,0
"278",2001-02-22,12000,37268274,-15,0
"279",2001-02-23,12300,38199981,0,469
"280",2001-02-26,13770,42765345,0,0
"281",2001-02-27,15270,47423879,0,0
"282",2001-02-28,17430,54132169,-11,0
"283",2001-03-02,16500,51243877,-6,0
"284",2001-03-05,15900,49380464,-28,0
"285",2001-03-06,16500,51243877,-11,0
"286",2001-03-07,17400,54038998,-6,0
"287",2001-03-08,16230,50405341,-6,0
"288",2001-03-09,15600,48448757,-5,0
"289",2001-03-12,17700,54970705,-5,0
"290",2001-03-13,17700,54970705,0,0
"291",2001-03-14,20340,63169725,-12,0
"292",2001-03-15,22500,69878015,-8,0
"293",2001-03-16,23970,74443378,0,0
"294",2001-03-19,21000,65219480,-36,0
"295",2001-03-20,21600,67082894,-14,0
"296",2001-03-21,20100,62424360,0,0
"297",2001-03-22,20340,63169725,0,0
"298",2001-03-23,21930,68107772,-66,0
"299",2001-03-26,21600,67082894,-44,0
"300",2001-03-27,21000,65219480,-7,0
"301",2001-03-28,19530,60654117,-7,0
"302",2001-03-29,18570,57672655,-7,0
"303",2001-03-30,17250,53573145,0,0
"304",2001-04-02,18030,55995582,0,0
"305",2001-04-03,18300,56834119,-25,0
"306",2001-04-04,21000,65219480,-6,0
"307",2001-04-06,21300,66151187,-14,0
"308",2001-04-09,21300,66151187,-7,0
"309",2001-04-10,21450,66617041,-7,0
"310",2001-04-11,21600,67082894,0,0
"311",2001-04-12,21900,68014601,0,0
"312",2001-04-13,22800,70809721,0,0
"313",2001-04-16,21570,66989723,0,0
"314",2001-04-17,21030,65312651,-15,0
"315",2001-04-18,21600,67082894,-7,0
"316",2001-04-19,21900,68014601,-58,9979
"317",2001-04-20,22050,68480454,-15,0
"318",2001-04-23,22800,70809721,-8,0
"319",2001-04-24,26100,81058497,-8,0
"320",2001-04-25,30000,93170686,-18,0
"321",2001-04-26,32400,100624341,0,-6048
"322",2001-04-27,30000,93170686,0,30
"323",2001-04-30,30300,94102393,-82,0
"324",2001-05-02,25800,80126790,-20,0
"325",2001-05-03,26730,83015081,0,0
"326",2001-05-04,27300,84785324,0,0
"327",2001-05-07,27630,85810202,-10,0
"328",2001-05-08,30000,93170686,-28,0
"329",2001-05-09,29700,92238979,-29,0
"330",2001-05-10,31800,98760927,0,0
"331",2001-05-11,35100,109009703,-12,0
"332",2001-05-14,34800,108077996,-12,0
"333",2001-05-15,34800,108077996,-23,0
"334",2001-05-16,33600,104351168,-11,0
"335",2001-05-17,33300,103419462,-11,0
"336",2001-05-18,32100,99692634,-11,0
"337",2001-05-21,30600,95034100,-10,0
"338",2001-05-22,31200,96897514,-41,0
"339",2001-05-23,30750,95499953,-10,0
"340",2001-05-24,30600,95034100,-10,0
"341",2001-05-25,28500,88512152,-20,0
"342",2001-05-28,32700,101556048,-10,0
"343",2001-05-29,30150,93636540,-11,2366
"344",2001-05-30,27000,83853618,2670,0
"345",2001-05-31,27000,83853618,0,0
"346",2001-06-01,27000,83853618,0,0
"347",2001-06-04,27000,83853618,0,0
"348",2001-06-05,27000,83853618,0,0
"349",2001-06-07,27000,83853618,0,0
"350",2001-06-08,27000,83853618,0,0
"351",2001-06-11,27000,83853618,0,0
"352",2001-06-12,27000,83853618,0,0
"353",2001-06-13,27000,83853618,0,0
"354",2001-06-14,27000,83853618,0,0
"355",2001-06-15,27000,83853618,0,0
"356",2001-06-18,27000,83853618,0,0
"357",2001-06-19,27000,83853618,0,0
"358",2001-06-20,27000,83853618,0,0
"359",2001-06-21,30078,96431660,0,0
"360",2001-06-22,30078,96431660,3152,-12252
"361",2001-06-25,25588,82036789,1172,0
"362",2001-06-26,21752,69738259,0,0
"363",2001-06-27,18526,59396312,0,0
"364",2001-06-28,15780,50591683,0,0
"365",2001-06-29,69221,47517050,9240,0
"366",2001-07-02,58838,40389492,814,0
"367",2001-07-03,50083,34379983,356,-402
"368",2001-07-04,50287,34519739,385,11
"369",2001-07-05,50083,34379983,-121,0
"370",2001-07-06,45604,31305351,-47,0
"371",2001-07-09,42754,29348766,-34,0
"372",2001-07-10,43161,29628278,-22,0
"373",2001-07-11,40515,27811450,0,0
"374",2001-07-12,46419,31864375,-5930,0
"375",2001-07-13,41940,28789742,0,0
"376",2001-07-16,40718,27951206,-20,0
"377",2001-07-18,38275,26274133,-21,0
"378",2001-07-19,33348,22892038,-9,0
"379",2001-07-20,31801,21829892,-8,0
"380",2001-07-23,27037,18559601,0,0
"381",2001-07-24,24431,16770724,0,0
"382",2001-07-25,28096,19286332,0,0
"383",2001-07-26,32290,22165306,0,0
"384",2001-07-27,35018,24038037,0,0
"385",2001-07-30,33593,23059745,-9,0
"386",2001-07-31,35873,24625012,-1518,0
"387",2001-08-01,41125,28230718,0,0
"388",2001-08-02,40718,27951206,-10,0
"389",2001-08-03,39456,27084718,-19,0
"390",2001-08-06,38723,26581597,0,0
"391",2001-08-07,37461,25715109,0,0
"392",2001-08-08,35832,24597061,0,261
