"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,23036081,36000,438712,-103137
"4",2000-01-05,21756299,34000,-11938,124395
"5",2000-01-06,22396190,35000,-2136544,3171095
"6",2000-01-07,23547994,36800,1143461,1406134
"7",2000-01-10,23420016,36600,382298,384926
"8",2000-01-11,23228049,36300,778477,-128900
"9",2000-01-12,23356027,36500,-451477,611464
"10",2000-01-13,23036081,36000,-237545,-153755
"11",2000-01-14,22812119,35650,642409,-570703
"12",2000-01-17,23100070,36100,1666144,-1070571
"13",2000-01-18,23228049,36300,197330,-794651
"14",2000-01-19,22402425,35000,154746,-1545317
"15",2000-01-20,23042495,36000,1621438,-181329
"16",2000-01-21,22210405,34700,-162302,-227220
"17",2000-01-24,22466432,35100,215720,93839
"18",2000-01-25,21410318,33450,139949,-1187653
"19",2000-01-26,21762356,34000,920094,20075
"20",2000-01-27,21666346,33850,159346,-257069
"21",2000-01-28,22306415,34850,753378,-258820
"22",2000-01-31,22210405,34700,-60109,-129978
"23",2000-02-01,21762356,34000,401686,-858144
"24",2000-02-02,22466432,35100,1271648,-751880
"25",2000-02-03,22914481,35800,1143923,70950
"26",2000-02-07,22402425,35000,1008946,-2710827
"27",2000-02-08,22210405,34700,670513,-117191
"28",2000-02-09,21186294,33100,-1959740,-5174394
"29",2000-02-10,20034169,31300,-6301233,-2176781
"30",2000-02-11,18498003,28900,-5687326,-1083517
"31",2000-02-14,17281871,27000,422403,-2108271
"32",2000-02-15,17377881,27150,-497542,-3859076
"33",2000-02-16,18241975,28500,508307,335046
"34",2000-02-17,19650127,30700,363320,3584959
"35",2000-02-18,17985947,28100,-1390476,-533981
"36",2000-02-21,17889937,27950,47071,483940
"37",2000-02-22,17282724,27000,773730,-889130
"38",2000-02-23,17538764,27400,-389340,-942695
"39",2000-02-24,18210870,28450,-504256,2641955
"40",2000-02-25,17666784,27600,-206913,337983
"41",2000-02-28,17922825,28000,-824128,3042405
"42",2000-02-29,18114855,28300,-1129834,1408228
"43",2000-03-02,18562925,29000,-96675,44414
"44",2000-03-03,17730794,27700,-337647,-1140526
"45",2000-03-06,17858814,27900,-728070,9856
"46",2000-03-07,17602774,27500,-302034,-570225
"47",2000-03-08,17986835,28100,152040,167450
"48",2000-03-09,17282724,27000,-2842204,-2102153
"49",2000-03-10,17442749,27250,-1103549,1113124
"50",2000-03-13,16258562,25400,-2350412,-396517
"51",2000-03-14,16546608,25850,-1124610,1411503
"52",2000-03-15,16066532,25100,-703237,228546
"53",2000-03-16,16642623,26000,-111595,1198111
"54",2000-03-17,17026683,26600,-317443,705138
"55",2000-03-20,17378739,27150,374899,889348
"56",2000-03-21,18626935,29100,2085119,2374504
"57",2000-03-22,18370895,28700,659924,1847250
"58",2000-03-23,18306885,28600,-1105076,2413564
"59",2000-03-24,18946986,29600,46746,2343659
"60",2000-03-27,18882976,29500,-56457,337655
"61",2000-03-28,19203026,30000,1812490,104425
"62",2000-03-29,19651097,30700,593019,457763
"63",2000-03-30,20515233,32050,488228,1675703
"64",2000-03-31,20163178,31500,-310686,1524605
"65",2000-04-03,21123329,33000,891904,1932512
"66",2000-04-04,21891450,34200,-1266260,5172819
"67",2000-04-06,20163178,31500,1007790,-203196
"68",2000-04-07,20483228,32000,-110073,338985
"69",2000-04-10,21283354,33250,-1970112,1889374
"70",2000-04-11,21283354,33250,1344734,-1285781
"71",2000-04-12,20227188,31600,190871,-210496
"72",2000-04-14,19651097,30700,239625,-335692
"73",2000-04-17,17442749,27250,3401309,-3507553
"74",2000-04-18,19075006,29800,-1762135,2069378
"75",2000-04-19,19971147,31200,-2159682,3731156
"76",2000-04-20,20163178,31500,486890,495544
"77",2000-04-21,19971147,31200,99375,190596
"78",2000-04-24,19107011,29850,275532,-499060
"79",2000-04-25,19843127,31000,-209762,958432
"80",2000-04-26,19843127,31000,-1644864,2724040
"81",2000-04-27,20483228,32000,-1618711,3789140
"82",2000-04-28,20803278,32500,-1420402,2910997
"83",2000-05-02,20483228,32000,-369799,312654
"84",2000-05-03,19971147,31200,55042,-200088
"85",2000-05-04,19683102,30750,670841,-690537
"86",2000-05-08,19587087,30600,46624,-160856
"87",2000-05-09,19843127,31000,-249413,294201
"88",2000-05-10,20099168,31400,657156,-121213
"89",2000-05-12,19715107,30800,-266296,383574
"90",2000-05-15,19779117,30900,317786,44052
"91",2000-05-16,20227188,31600,45612,248677
"92",2000-05-17,20035157,31300,-1180758,1592999
"93",2000-05-18,19779117,30900,700979,-316642
"94",2000-05-19,20131173,31450,642177,-211748
"95",2000-05-22,19203026,30000,650933,-1044693
"96",2000-05-23,20035157,31300,832838,210016
"97",2000-05-24,19971147,31200,-512336,646665
"98",2000-05-25,19555082,30550,-440331,-546424
"99",2000-05-26,18562925,29000,-681889,153570
"100",2000-05-29,18082850,28250,-18315,-749704
"101",2000-05-30,19010996,29700,-1087130,612537
"102",2000-05-31,19395057,30300,482607,708492
"103",2000-06-01,20195183,31550,176245,480442
"104",2000-06-02,20771273,32450,-195596,1079120
"105",2000-06-05,21251349,33200,381008,290173
"106",2000-06-07,20739268,32400,-7551097,2603443
"107",2000-06-08,20163178,31500,-2928934,253166
"108",2000-06-09,22627566,35350,-7910547,2087583
"109",2000-06-12,22115485,34550,-2258630,110514
"110",2000-06-13,21251349,33200,406956,711532
"111",2000-06-14,21443379,33500,-539983,666766
"112",2000-06-15,21315359,33300,-2344730,4366289
"113",2000-06-16,20995309,32800,1260505,22071
"114",2000-06-19,21123329,33000,-14589,1152937
"115",2000-06-20,21251349,33200,569600,-216081
"116",2000-06-21,21123329,33000,138954,-72021
"117",2000-06-22,20643253,32250,-350172,536347
"118",2000-06-23,20483228,32000,-785852,-76667
"119",2000-06-26,20611248,32200,562275,-333805
"120",2000-06-27,21027314,32850,475736,380062
"121",2000-06-28,21507389,33600,696468,328294
"122",2000-06-29,21699420,33900,809728,750329
"123",2000-06-30,22147490,34600,130230,3021950
"124",2000-07-03,23043632,36000,-1477725,4066008
"125",2000-07-04,23043632,36000,-1949799,4147709
"126",2000-07-05,23363682,36500,-1706145,3977857
"127",2000-07-06,23363682,36500,-1109863,1912060
"128",2000-07-07,22403531,35000,-14346153,8601954
"129",2000-07-10,21763430,34000,-1831052,1389056
"130",2000-07-11,21379369,33400,-1658999,953560
"131",2000-07-12,21795435,34050,-1098911,1516385
"132",2000-07-13,21987465,34350,-1346043,1515910
"133",2000-07-14,21091324,32950,-223673,-1488348
"134",2000-07-18,20803278,32500,-647633,395056
"135",2000-07-19,20835284,32550,-235997,690799
"136",2000-07-20,20835284,32550,227078,737713
"137",2000-07-21,21123329,33000,-278883,833867
"138",2000-07-24,20483228,32000,-596258,1265117
"139",2000-07-25,20707263,32350,178060,773399
"140",2000-07-26,21123329,33000,-1234379,1742817
"141",2000-07-27,21379369,33400,-128707,716946
"142",2000-07-28,20547238,32100,-598433,1385669
"143",2000-07-31,20611248,32200,446142,-41759
"144",2000-08-01,20483228,32000,-705654,54529
"145",2000-08-02,20931299,32700,-246747,995807
"146",2000-08-03,20227188,31600,-561289,-1006467
"147",2000-08-04,19843127,31000,-1119722,500686
"148",2000-08-07,19203026,30000,-629768,600833
"149",2000-08-08,18978991,29650,-490146,565056
"150",2000-08-09,20451223,31950,342979,1641450
"151",2000-08-10,21443379,33500,-1912317,3490997
"152",2000-08-11,21635410,33800,-1308975,2419953
"153",2000-08-14,21859445,34150,-908086,1570408
"154",2000-08-16,21443379,33500,-13122,589235
"155",2000-08-17,21635410,33800,-1559698,1570023
"156",2000-08-18,21251349,33200,-699972,806243
"157",2000-08-21,21027314,32850,-316356,416256
"158",2000-08-22,21667415,33850,844283,-98588
"159",2000-08-23,20803278,32500,-674406,-49047
"160",2000-08-24,20899294,32650,-554963,627725
"161",2000-08-25,21443379,33500,-822952,1691042
"162",2000-08-28,21155334,33050,-42786,48053
"163",2000-08-29,21315359,33300,102909,-113637
"164",2000-08-30,20995309,32800,-637360,628684
"165",2000-08-31,20867289,32600,-1942703,2116341
"166",2000-09-01,21123329,33000,171609,187391
"167",2000-09-04,21091324,32950,-779563,729954
"168",2000-09-05,21475384,33550,188592,445176
"169",2000-09-06,21251349,33200,-89169,564407
"170",2000-09-07,20803278,32500,-247849,-236671
"171",2000-09-08,18562925,29000,-2543578,-2241981
"172",2000-09-14,18370895,28700,-3342,-2177744
"173",2000-09-15,18114855,28300,-492105,-275812
"174",2000-09-18,17506759,27350,1106586,-329193
"175",2000-09-19,16322572,25500,164108,-525783
"176",2000-09-20,17346734,27100,-687477,-147018
"177",2000-09-21,17922825,28000,-58509,365210
"178",2000-09-22,17602774,27500,253265,-346134
"179",2000-09-25,18274880,28550,792256,-506590
"180",2000-09-26,18562925,29000,70945,109266
"181",2000-09-27,18754956,29300,112018,261278
"182",2000-09-28,18754956,29300,-655729,642173
"183",2000-09-29,18626935,29100,-436382,314463
"184",2000-10-02,17282724,27000,-238869,-2070080
"185",2000-10-04,17954830,28050,185719,245232
"186",2000-10-05,17890819,27950,-585612,228309
"187",2000-10-06,18114855,28300,395881,191680
"188",2000-10-09,17602774,27500,-1215227,388322
"189",2000-10-10,17730794,27700,-47354,193717
"190",2000-10-11,17346734,27100,-928427,1257339
"191",2000-10-12,17090693,26700,-1015236,1816123
"192",2000-10-13,16898663,26400,429444,-568865
"193",2000-10-16,17922825,28000,-21555,239799
"194",2000-10-17,17090693,26700,559634,-30613
"195",2000-10-18,16546608,25850,405609,-969161
"196",2000-10-19,16002522,25000,-659508,-289203
"197",2000-10-20,16034527,25050,1038188,-1146728
"198",2000-10-23,15874502,24800,-1154675,526711
"199",2000-10-24,16514603,25800,95607,370126
"200",2000-10-25,16386582,25600,-687241,41215
"201",2000-10-26,16482598,25750,-89190,108468
"202",2000-10-27,16258562,25400,1443208,-332811
"203",2000-10-30,15938512,24900,14324,-588877
